825e77134f0d5aac5291294930d74999b1c2e080fcde3eb13ae3a472f6ad4d83,5b880581871a06c0e2b42d30d79bc02a3b45289b9c0c14aec929d84996671601,1e45e1ff3a22dc44e0925a1f840a7f9f8201f5d5518ee362e44f6b1d352a1863,f85238f13d9952e5f3997d3acef19918c6607904bc1b737c126364dd55bbcf17,87eb61eea8109802dbc2d6a0df4c21bcb28f4d99cc81d79dae92a62c5d1ccb4e,8e1923c0c161a99ce85af2c60867580221b2270ce893c649f273ad16f73349a7,25d047fba0d084100083ab24ed2a1c95b1796c47b5aae8d82766711a59ced56d,5f270074b71853b09c362adf8266494e0e676cae23296418ca3d75c87318c4d5,ec43ac3f80fb0efb286791c50c6188680b33835b36d52165fa8cc6d3a07a1f7d,04f6e9bff9df7676c4af38db1df7356151031c830aca7d9657b02520d2b2d190
"1","0","0","30000","10","90001","12000","10000","1","90043"
"2","0","0","30000","20","90002","24000","10000","2","90047"
"3","0","0","30000","20","90002","24000","10000","3","90047"
"4","0","0","30000","20","90002","24000","10000","4","90047"
"5","0","0","30000","20","90002","24000","10000","5","90047"
"6","0","0","30000","20","90002","24000","10000","6","90047"
"7","0","0","30000","20","90002","24000","10000","7","90047"
"8","0","0","30000","20","90002","24000","10000","8","90047"
"9","0","0","30000","20","90002","24000","10000","9","90047"
"10","1","0","30000","20","90002","24000","10000","10","90047"
"11","2","90011","30000","40","90003","48000","10000","11","90051"
"12","3","90011","30000","40","90003","48000","10000","12","90051"
"13","4","90011","30000","40","90003","48000","10000","13","90051"
"14","5","90011","30000","40","90003","48000","10000","14","90051"
"15","6","90011","30000","40","90003","48000","10000","15","90051"
"16","7","90011","30000","40","90003","48000","10000","16","90051"
"17","8","90011","30000","40","90003","48000","10000","17","90051"
"18","9","90011","30000","40","90003","48000","10000","18","90051"
"19","10","90011","30000","40","90003","48000","10000","19","90051"
"20","11","90011","30000","40","90003","48000","10000","20","90051"
"21","12","90015","30000","60","90004","72000","10000","21","90055"
"22","13","90015","30000","60","90004","72000","10000","22","90055"
"23","14","90015","30000","60","90004","72000","10000","23","90055"
"24","15","90015","30000","60","90004","72000","10000","24","90055"
"25","16","90015","30000","60","90004","72000","10000","25","90055"
"26","17","90015","30000","60","90004","72000","10000","26","90055"
"27","18","90015","30000","60","90004","72000","10000","27","90055"
"28","19","90015","30000","60","90004","72000","10000","28","90055"
"29","20","90015","30000","60","90004","72000","10000","29","90055"
"30","21","90015","30000","60","90004","72000","10000","30","90055"
"31","22","90015","30000","80","90005","96000","10000","31","90059"
"32","23","90015","30000","80","90005","96000","10000","32","90059"
"33","24","90015","30000","80","90005","96000","10000","33","90059"
"34","25","90015","30000","80","90005","96000","10000","34","90059"
"35","26","90015","30000","80","90005","96000","10000","35","90059"
"36","27","90015","30000","80","90005","96000","10000","36","90059"
"37","28","90015","30000","80","90005","96000","10000","37","90059"
"38","29","90015","30000","80","90005","96000","10000","38","90059"
"39","30","90015","30000","80","90005","96000","10000","39","90059"
"40","31","90015","30000","80","90005","96000","10000","40","90059"
"41","33","90017","30000","120","90005","144000","10000","41","90063"
"42","35","90017","30000","120","90005","144000","10000","42","90063"
"43","37","90017","30000","120","90005","144000","10000","43","90063"
"44","39","90017","30000","120","90005","144000","10000","44","90063"
"45","41","90017","30000","120","90005","144000","10000","45","90063"
"46","43","90017","30000","120","90005","144000","10000","46","90063"
"47","45","90017","30000","120","90005","144000","10000","47","90063"
"48","47","90017","30000","120","90005","144000","10000","48","90063"
"49","49","90017","30000","120","90005","144000","10000","49","90063"
"50","51","90017","30000","120","90005","144000","10000","50","90063"
"51","53","90019","30000","150","90006","180000","10000","51","90067"
"52","55","90019","30000","150","90006","180000","10000","52","90067"
"53","57","90019","30000","150","90006","180000","10000","53","90067"
"54","59","90019","30000","150","90006","180000","10000","54","90067"
"55","61","90019","30000","150","90006","180000","10000","55","90067"
"56","63","90019","30000","150","90006","180000","10000","56","90067"
"57","65","90019","30000","150","90006","180000","10000","57","90067"
"58","67","90019","30000","150","90006","180000","10000","58","90067"
"59","69","90019","30000","150","90006","180000","10000","59","90067"
"60","71","90019","30000","150","90006","180000","10000","60","90067"
"61","74","90021","30000","180","90007","216000","10000","61","90071"
"62","77","90021","30000","180","90007","216000","10000","62","90071"
"63","80","90021","30000","180","90007","216000","10000","63","90071"
"64","83","90021","30000","180","90007","216000","10000","64","90071"
"65","86","90021","30000","180","90007","216000","10000","65","90071"
"66","89","90021","30000","180","90007","216000","10000","66","90071"
"67","92","90021","30000","180","90007","216000","10000","67","90071"
"68","95","90021","30000","180","90007","216000","10000","68","90071"
"69","98","90021","30000","180","90007","216000","10000","69","90071"
"70","101","90021","30000","180","90007","216000","10000","70","90071"
