b96ac4958addcf79cd37d779b1dee954c4115eeaa9c960086794dc72104ab7bf,4ac744f05d084b1c5993dbfccc3564b195690ac58b5d6739534b72f402992628,88959a09891ba39b09d0b5ef55018589ee0db3d0b8d109bf4b6d8ca0d09521eb,0a9f34e0cd443a03d94d0f1437e5e58e84ad34682bbdd7e18bcfa86360ddb6c4,c10e9ddb43d10f49e6145d52bfe639f515f2cd4eb2e3000763fd48aac87a75ea,8a1d15f4443e70ba579f11aade27455b7c90a2cf4ea2763e38dbe288c6927636,5349ecbd065f80a85241c4176fe5880257ff722a65ad9bfb3c5636f3ddc3f4ab,8388d999819d0f948bbc92237e0773546d1dc92b0e76882d2657f97b31fe33da,002bd759a5000dd01b35b04ee1944db27ffa936823f6d092adbdae55a6dc3bf6,810a542ef41594619f087e0f83f2e56f34dae06c3558ce29f2487e14f82b89fb,82104135d5febd07e062630e26ced7624e660c97e2cfde5126d2097a1b37e352
"se_travel_start_1pt","23","0","","111","","","","101110001","se_travel",""
"10010","31","0","1","111","1","","0","101110002","10010",""
"10011","31","0","1","111","1","","0","101110003","10011",""
"10020","31","0","0","111","1","","0","101110004","10020",""
"1001001","1","62","0.68","111","-150","0","-150","101110005","2","<weapon>_idle"
"1001002","1","61","0.68","111","-75","0","-250","101110006","2","<weapon>_idle"
"1001003","1","63","0.68","111","-180","0","-350","101110007","2","<weapon>_idle"
"1001004","1","61","0.68","111","-75","0","-450","101110008","2","<weapon>_idle"
"1001005","1","62","0.68","111","-150","0","-550","101110009","2","<weapon>_idle"
"1001001","31","-150","1","111","0.68","0","-150","101110010","10012",""
"1001002","31","-250","1","111","0.68","0","-75","101110011","10012",""
"1001003","31","-350","1","111","0.68","0","-180","101110012","10012",""
"1001004","31","-450","1","111","0.68","0","-75","101110013","10012",""
"1001005","31","-550","1","111","0.68","0","-150","101110014","10012",""
"10030","31","0","0","111","1","","0","101110015","10030",""
"10031","31","0","0","111","1","","0","101110016","10031",""
"0","91","","","111","","","","101110017","",""
"1","32","","","111","","","","101110018","10030",""
"0","91","","","111","","","","101110019","0",""
"<weapon>_run","3","1","0","111","0","","","101110020","1001001",""
"<weapon>_run","3","1","0","111","0","","","101110021","1001002",""
"<weapon>_run","3","1","0","111","0","","","101110022","1001003",""
"<weapon>_run","3","1","0","111","0","","","101110023","1001004",""
"<weapon>_run","3","1","0","111","0","","","101110024","1001005",""
"800","2","-150","","111","0","","3","101110025","1001001",""
"700","2","-75","","111","0","","3","101110026","1001002",""
"600","2","-180","","111","0","","3","101110027","1001003",""
"500","2","-75","","111","0","","3","101110028","1001004",""
"400","2","-150","","111","0","","3","101110029","1001005",""
"800","33","-150","","111","0","","3","101110030","1001001",""
"700","33","-75","","111","0","","3","101110031","1001002",""
"600","33","-180","","111","0","","3","101110032","1001003",""
"500","33","-75","","111","0","","3","101110033","1001004",""
"400","33","-150","","111","0","","3","101110034","1001005",""
"1","32","","","111","","","","101110035","10020",""
"0","93","","","111","","","","101110036","2.5",""
"1","32","","","111","","","","101110037","10031",""
"0","93","","","111","","","","101110038","0.4",""
"0","91","","","111","","","","101110039","0",""
"se_travel_start_2pt","23","0","","211","","","","102110001","se_travel",""
"10010","31","0","1","211","1","","0","102110002","10010",""
"10011","31","0","1","211","1","","0","102110003","10011",""
"10020","31","0","0","211","1","","0","102110004","10020",""
"1001001","1","62","0.68","211","-90","0","-100","102110005","2","<weapon>_idle"
"1001002","1","61","0.68","211","-15","0","-170","102110006","2","<weapon>_idle"
"1001003","1","63","0.68","211","-105","0","-240","102110007","2","<weapon>_idle"
"1001004","1","61","0.68","211","-15","0","-310","102110008","2","<weapon>_idle"
"1001005","1","62","0.68","211","-90","0","-380","102110009","2","<weapon>_idle"
"1001001","31","-100","1","211","0.68","0","-90","102110010","10012",""
"1001002","31","-170","1","211","0.68","0","-15","102110011","10012",""
"1001003","31","-240","1","211","0.68","0","-105","102110012","10012",""
"1001004","31","-310","1","211","0.68","0","-15","102110013","10012",""
"1001005","31","-380","1","211","0.68","0","-90","102110014","10012",""
"1002001","1","52","0.68","211","-240","0","-500","102110015","2","<weapon>_idle"
"1002002","1","51","0.68","211","-165","0","-570","102110016","2","<weapon>_idle"
"1002003","1","53","0.68","211","-255","0","-640","102110017","2","<weapon>_idle"
"1002004","1","51","0.68","211","-165","0","-710","102110018","2","<weapon>_idle"
"1002005","1","52","0.68","211","-240","0","-780","102110019","2","<weapon>_idle"
"1002001","31","-500","1","211","0.68","0","-240","102110020","10012",""
"1002002","31","-570","1","211","0.68","0","-165","102110021","10012",""
"1002003","31","-640","1","211","0.68","0","-255","102110022","10012",""
"1002004","31","-710","1","211","0.68","0","-165","102110023","10012",""
"1002005","31","-780","1","211","0.68","0","-240","102110024","10012",""
"10030","31","0","0","211","1","","0","102110025","10030",""
"10031","31","0","0","211","1","","0","102110026","10031",""
"0","91","","","211","","","","102110027","",""
"1","32","","","211","","","","102110028","10030",""
"0","91","","","211","","","","102110029","0",""
"<weapon>_run","3","1","0","211","0","","","102110030","1001001",""
"<weapon>_run","3","1","0","211","0","","","102110031","1001002",""
"<weapon>_run","3","1","0","211","0","","","102110032","1001003",""
"<weapon>_run","3","1","0","211","0","","","102110033","1001004",""
"<weapon>_run","3","1","0","211","0","","","102110034","1001005",""
"850","2","-90","","211","0","","3","102110035","1001001",""
"780","2","-15","","211","0","","3","102110036","1001002",""
"710","2","-105","","211","0","","3","102110037","1001003",""
