b662cd5ff5fa32553de9f467ab44cfaf121ad0bd0032c72f86a3587cd69dcef2,be4de560c52e1249b0bf88914e982316b624e9d169f99e54481e875a583f96c6,49d0cffd0ec94646805dbcaa3d903213b496a8fdad3478a8f749b2d0c777e98f,d7c7ecf59cd8480bb714dded979eed2954654d8fd68af2e2901a92a82df78883,ebf8a223517b28abf6423f0f5048a24fd8f4dd36a7740106f9a17bda79fff79b,ef93bc04cfd25b38da2da7ebf6edfab5a4471091101ee4c62e24ca54cefd695e,236b9abadaa579352d8408fadb5497986a57ec6ecd9a438b4cf70f1473af84c7,c79c7dd87ba608d3acb0c6e953134e91775935c23664ef5e78a0d4dc71031c90,cdd3f5b6feea31a5a950763d2c1a78c845e358a6b8c176dd3c88befe21142212,c244a68e6a1bc5af7862063076506cb1ad0382f8e7f7d302f0a1973908248e0d,768d1ba6b5e0fd58e6b8ad4f55b830c27b83946f30b1f118f62a5f461d9473c3,a1e43a4061d06489d36580b72bb0bb5b12fbc4c5826ddf8ef743ae38e8f0f265,b2297470d2cb4349db561ff144064f78e1dde7c14faf43a2227f2cbad4255673,c0e311763e74b18eb995d9702a02e7112c2ec04c9ce2b0c4bc7d38341f29cfa7,37657ac68ecf3f5668229f07a779646c49e262f9c75b4b95fb2eecedb5e87a64
"3200101","1004110","603","スペシャルダンジョンを1回登頂しよう","1st Round Clear！","80001","0","0","0","1","32001001","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200102","1004110","603","スペシャルダンジョンを2回登頂しよう","2nd Round Clear！","80001","0","0","0","2","32001002","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200103","1004110","603","スペシャルダンジョンを3回登頂しよう","3rd Round Clear！","80001","0","0","0","3","32001003","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200104","1004110","603","スペシャルダンジョンを4回登頂しよう","4th Round Clear！","80001","0","0","0","4","32001004","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200105","1004110","603","スペシャルダンジョンを5回登頂しよう","CONQUEST！","80001","0","0","0","5","32001005","32001","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200201","1004110","603","スペシャルダンジョンを1回登頂しよう","1st Round Clear！","80001","0","0","0","1","32001001","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200202","1004110","603","スペシャルダンジョンを2回登頂しよう","2nd Round Clear！","80001","0","0","0","2","32001002","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200203","1004110","603","スペシャルダンジョンを3回登頂しよう","3rd Round Clear！","80001","0","0","0","3","32001003","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200204","1004110","603","スペシャルダンジョンを4回登頂しよう","4th Round Clear！","80001","0","0","0","4","32001004","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
"3200205","1004110","603","スペシャルダンジョンを5回登頂しよう","CONQUEST！","80001","0","0","0","5","32001005","32002","1","2015/04/01 15:00:00","2030/04/01 14:59:59"
