cbb8432234366cf32b15613316da2c5850a6880676bbb55d2ada9eadf6f2d49a,cbf5cbf6422d4cb26810c4a91f9a274ae9dfc3a386d3018ad6dddbbfd8ea4e23,69ab8bd9c86f5265882bc0359370691528afbcad98dcdd94aece31a0779934ae,203dc2f1825d4b99ae3e635b693b5e1d4810009bd92e547df0b4cd08ae66f767,07569e853600141ef66f070ad2a33e75d4576cc186ddaf82982453da210666e0,a7851828d13078bcfe48a971401e9a2bbd9c4b5f12bf3f92cd6ec38029129f18,ec30dc7dd6f1a1f7a430fd7739763bbec02c542752de10dc27088cd1e612dc9e,47aaaecc34dcccf0fb4a402165653de14513a8ae681ccc55e7784448369b14c3,1f5c7a382f396e51c09ec919b3912bee81a547ea68fb01c2731d1be8f8258fa0,a148286a74e73dfc193780aca8e5717d58d15b2860ec1e8d9234c8d6cc660b8a,7e50cf649ef420dc82b9b7cb5be32f2cdd8eed2b83440d05bf44c4a846bc9962
"100","100211","0","1.7","1002011","1","0","1","1002011001","0","mhp_sit_idle"
"1","mhp_sit_talk_memory","","0.2","1002011","3","","100211","1002011002","",""
"0","vo_mhp_0401","","","1002011","21","0","vo_mhp","1002011003","",""
"6","ミツキさんと会うの\n久しぶりだな\nちょっと楽しみ♪","0","0","1002011","11","0","100211","1002011004","0","0"
"","","","","1002011","91","","0","1002011005","",""
"1","mhp_sit_idle_memory","","0.2","1002011","3","","100211","1002011006","",""
"100","100211","0","1.7","1002012","1","0","1","1002012001","0","mhp_sit_idle"
"1","mhp_sit_talk_sad","","0.2","1002012","3","","100211","1002012002","",""
"0","vo_mhp_0402","","","1002012","21","0","vo_mhp","1002012003","",""
"5","はぁ…なにか悪い\n病気だったら\nどうしよう…","0","0","1002012","11","0","100211","1002012004","0","0"
"","","","","1002012","91","","0","1002012005","",""
"1","mhp_sit_idle_sad","","0.2","1002012","3","","100211","1002012006","",""
"100","100211","0","1.7","1002013","1","0","1","1002013001","0","mhp_sit_idle"
"1","mhp_yui_sit_talk_wish","","0.2","1002013","3","","100211","1002013002","",""
"0","vo_mhp_0403","","","1002013","21","0","vo_mhp","1002013003","",""
"4","ついに診察結果が…\nド、ドキドキ\nしてきちゃった…！","0","0","1002013","11","0","100211","1002013004","0","0"
"","","","","1002013","91","","0","1002013005","",""
"1","mhp_sit_idle_sad","","0.2","1002013","3","","100211","1002013006","",""
"100","100211","0","1.7","1007401","1","-1000","1","1007401001","-240","mhp_idle_normal"
"100","117531","1","1.7","1007401","1","185","1","1007401002","-220","mhp_sit_idle"
"100","117631","1","1.7","1007401","1","365","1","1007401003","-200","mhp_sit_idle"
"-240","1","","1","1007401","31","-154","1","1007401004","0.85",""
"-230","123","","0","1007401","31","-18","23","1007401005","0.85",""
"110","11","0","1.7","1007401","5","-200","1","1007401006","-220","NoItem"
"105","12","0","1.7","1007401","5","-200","1","1007401007","-220","NoItem"
"110","21","1","1.7","1007401","5","185","1","1007401008","-220","NoItem"
"105","22","1","1.7","1007401","5","185","1","1007401009","-220","NoItem"
"1","1","0","0","1007401","6","1","11","1007401010","0",""
"1","1","0","0","1007401","6","1","12","1007401011","0",""
"1","1","0","0","1007401","6","1","21","1007401012","0",""
"1","1","0","0","1007401","6","1","22","1007401013","0",""
"110","31","0","1.7","1007401","5","-1000","1","1007401014","-220","NoItem"
"","","","","1007401","91","","0","1007401015","",""
"1","mhp_sit_talk_normal","","0.2","1007401","3","","117531","1007401016","",""
"0","vo_mhp_4001","","","1007401","21","0","vo_mhp_1007401","1007401017","",""
"8","次の方どうぞー","0","0","1007401","11","0","117531","1007401018","0","0.5"
"","","","","1007401","91","","0","1007401019","",""
"1","mhp_sit_idle","","0.2","1007401","3","","117531","1007401020","",""
"1","mhp_anna_walk_sad","","0.2","1007401","3","","100211","1007401021","",""
"-220","-200","","","1007401","2","4","100211","1007401022","0",""
"1","NoItem","","0.2","1007401","3","","31","1007401023","",""
"-220","-200","","","1007401","2","4","31","1007401024","0",""
"","","","","1007401","91","","0","1007401025","",""
"0","mhp_sit_in_sad","0.2","0.2","1007401","3","mhp_sit_idle_sad","100211","1007401026","1",""
"","","","","1007401","93","","1","1007401027","",""
"1","mhp_sit_talk_sad","","0.2","1007401","3","","100211","1007401028","",""
"0","vo_mhp_4002","","","1007401","21","0","vo_mhp_1007401","1007401029","",""
"7","え、ええっと……ご無沙汰してます。","0","0","1007401","11","1","100211","1007401030","0","0.5"
"","","","","1007401","91","","0","1007401031","",""
"1","mhp_sit_idle_sad","","0.2","1007401","3","","100211","1007401032","",""
"1","mhp_sit_talk_normal","","0.2","1007401","3","","117531","1007401033","",""
"0","vo_mhp_4003","","","1007401","21","0","vo_mhp_1007401","1007401034","",""
"6","久しぶりねユイちゃん。\n前にみんなでオーエド町に\n来た時以来ね。","0","0","1007401","11","1","117531","1007401035","0","0.5"
"","","","","1007401","91","","0","1007401036","",""
"1","mhp_sit_idle","","0.2","1007401","3","","117531","1007401037","",""
"1","mhp_sit_talk_memory","","0.2","1007401","3","","100211","1007401038","",""
"1","mhp_yui_sit_talk_memory","","0","1007401","3","","31","1007401039","",""
"0","vo_mhp_4004","","","1007401","21","0","vo_mhp_1007401","1007401040","",""
"4","そうですね。あの時は大変でしたけど\n楽しかったなぁ\n温泉とかまた行きたい――\nおん、せん……あ、ああ……","0","0","1007401","11","1","100211","1007401041","0","1.5"
"","1","","","1007401","93","","14","1007401042","",""
"1","mhp_yui_hot","","0.2","1007401","3","","100211","1007401043","",""
"1","mhp_yui_hot","","0.2","1007401","3","","31","1007401044","",""
"","1","","","1007401","32","","123","1007401045","",""
"","se_10031400_love","","","1007401","23","","se_10031400","1007401046","",""
"","","","","1007401","91","","1007401041","1007401047","",""
"","0","","","1007401","93","","3","1007401048","",""
"1","mhp_sit_talk_worry","","0.2","1007401","3","","117531","1007401049","",""
"0","vo_mhp_4005","","","1007401","21","0","vo_mhp_1007401","1007401050","",""
"7","どうしたの？　顔が真っ赤よ？","0","0","1007401","11","1","117531","1007401051","0","0.5"
"","","","","1007401","91","","0","1007401052","",""
"","0","","","1007401","32","","123","1007401053","",""
"1","mhp_sit_idle","","0.2","1007401","3","","117531","1007401054","",""
"1","mhp_yui_sit_talk_worry","","0.2","1007401","3","","100211","1007401055","",""
"1","NoItem","","0.2","1007401","3","","31","1007401056","",""
"0","vo_mhp_4006","","","1007401","21","0","vo_mhp_1007401","1007401057","",""
"5","そ、それが、ここのところ急に\n顔が火照ってしまうんです……\nこれって、何かの病気なんでしょうか？","0","0","1007401","11","1","100211","1007401058","0","0.5"
"","","","","1007401","91","","0","1007401059","",""
"1","mhp_yui_sit_idle_sad","","0.2","1007401","3","","100211","1007401060","0",""
"1","mhp_sit_talk_thinking","","0.2","1007401","3","","117531","1007401061","0",""
"0","vo_mhp_4007","","","1007401","21","0","vo_mhp_1007401","1007401062","",""
"5","今すぐ断定はできないわ\nでも、もしかしたら大きな病気\nそれも不治の病かもしれないわね。","0","0","1007401","11","1","117531","1007401063","0","0.5"
"","","","","1007401","91","","0","1007401064","",""
"1","mhp_sit_idle_thinking","","0.2","1007401","3","","117531","1007401065","",""
"1","mhp_yui_sit_talk_sad","","0.2","1007401","3","","100211","1007401066","",""
"0","vo_mhp_4008","","","1007401","21","0","vo_mhp_1007401","1007401067","",""
"8","そんな……","0","0","1007401","11","1","100211","1007401068","0","0.5"
"","","","","1007401","91","","0","1007401069","",""
"1","mhp_yui_sit_idle_sad","","0.2","1007401","3","","100211","1007401070","",""
"1","mhp_sit_talk_normal","","0.2","1007401","3","","117531","1007401071","",""
"0","vo_mhp_4009","","","1007401","21","0","vo_mhp_1007401","1007401072","",""
"6","普通なら命にかかわることはないけど\nこじらせると大変なことになるわ\nだから今日のところはひとまず――","0","0","1007401","11","1","117531","1007401073","0","0.5"
"","","","","1007401","91","","0","1007401074","",""
"","0","","","1007401","22","","0","1007401075","",""
"0","1007401079","","","1007401","103","","冷たいタオルをおでこに当てなさい。","1007401076","",""
"0","1007401125","","","1007401","103","","何も考えずゆっくり休みなさい。","1007401077","",""
"0","1007401142","","","1007401","103","","特製のカンポーを出しておくわ。","1007401078","",""
"0","mhp_sit_out","0","0.2","1007401","3","mhp_idle_normal","117531","1007401079","1",""
"","0","","","1007401","93","","0.6","1007401080","",""
"0","mhp_sit_out","0","0.2","1007401","3","mhp_idle_normal","100211","1007401081","1",""
"","0","","","1007401","93","","0.2","1007401082","",""
"1","mhp_walk","","0.2","1007401","3","","100211","1007401083","0",""
"-220","35","","","1007401","2","1.5","100211","1007401084","0",""
"-220","35","","","1007401","2","1.5","31","1007401085","0",""
"-220","35","","","1007401","2","1.5","11","1007401086","0",""
"-220","35","","","1007401","2","1.5","12","1007401087","0",""
"","0","","","1007401","93","","0.3","1007401088","",""
"0","mhp_handover_in","0","0.2","1007401","3","mhp_handover_loop","117531","1007401089","1",""
"1","1","0","0","1007401","6","1","21","1007401090","1",""
"1","1","0","0","1007401","6","1","22","1007401091","1",""
"0","mhp_handover_in","0","0.2","1007401","3","mhp_handover_loop","21","1007401092","1",""
"0","mhp_item_EX0015_handover_in","0","0.2","1007401","3","mhp_item_EX0015_handover_loop","22","1007401093","1",""
"","0","","","1007401","93","","1.2","1007401094","",""
"0","mhp_handover_receive_in","0","0.2","1007401","3","mhp_handover_receive_loop","100211","1007401095","1",""
"1","1","0","0","1007401","6","1","11","1007401096","1",""
"1","1","0","0","1007401","6","1","12","1007401097","1",""
"0","mhp_receive_yui_in","0","0.2","1007401","3","mhp_receive_yui_loop","11","1007401098","1",""
"0","mhp_item_EX0015_receive_in","0","0.2","1007401","3","mhp_item_EX0015_receive_loop","12","1007401099","1",""
"","0","","","1007401","93","","0.6","1007401100","",""
"1","1","0","0.4","1007401","6","1","22","1007401101","1",""
"","0","","","1007401","93","","0.4","1007401102","",""
"0","mhp_handover_out","0","0.2","1007401","3","mhp_idle_normal","117531","1007401103","1",""
"0","mhp_handover_out","0","0.2","1007401","3","NoItem_idle","21","1007401104","1",""
"0","mhp_item_EX0015_handover_out","0","0.2","1007401","3","NoItem_idle","22","1007401105","1",""
"","0","","","1007401","93","","0.4","1007401106","",""
"0","mhp_handover_receive_out","0","0.2","1007401","3","mhp_idle_normal","100211","1007401107","1",""
"0","mhp_receive_yui_out","0","0.2","1007401","3","NoItem_idle","11","1007401108","1",""
"0","mhp_item_EX0015_receive_out","0","0.2","1007401","3","NoItem_idle","12","1007401109","1",""
"","0","","","1007401","93","","2","1007401110","",""
"1","mhp_talk_worry","","0.2","1007401","3","","100211","1007401111","",""
"0","vo_mhp_4010","","","1007401","21","0","vo_mhp_1007401","1007401112","",""
"7","こ、これで治るんですか？","0","0","1007401","11","1","100211","1007401113","0","0.5"
"","","","","1007401","91","","0","1007401114","",""
"1","mhp_idle_worry","","0.2","1007401","3","","100211","1007401115","",""
"1","mhp_talk_normal","","0.2","1007401","3","","117531","1007401116","",""
"0","vo_mhp_4011","","","1007401","21","0","vo_mhp_1007401","1007401117","",""
"5","いいえ、単なる対処療法よ\nでも今はそれで十分\nまた何かあったら訪ねてきなさい。","0","0","1007401","11","1","117531","1007401118","0","0.5"
"","","","","1007401","91","","0","1007401119","",""
"","0","","","1007401","22","","0","1007401120","",""
"0","mhp_sit_in","0.2","0.2","1007401","3","mhp_sit_idle","117531","1007401121","1",""
"0","mhp_yui_pekori","","0.2","1007401","3","","100211","1007401122","",""
"","","","","1007401","91","","0","1007401123","",""
