437c289060d5665939a88bd832e64161c0c9f70374829ffd443f17cb3457ad8e,298cfa4b53fa7e6d4525dc64c23ab281fec6765004ad7358da4b4a1b9bc3ebc3,036607dda1002eb48fe85147d671d24a3ff4f17bf8da9e3277eb035d24959fc8,45e8a6fe237f0f91c3aacd35003b805d273979d9cffd0758253dd2a6110663bb,fa615aa963171e8c138d416a2f2499903a1f7bf188c7c45dfd286f6ffa45f739,96f6fb8809b699c8d2b342f19b638dd7d2f67ef0f1e8e9e0f0d0555792c50e03
"2999180","100111","1","3000","0","0"
"2999101","100112","1","10000","0","0"
"2999167","100121","1","10000","0","0"
"2999168","100122","1","10000","0","0"
"2999169","100123","1","10000","0","0"
"2999170","100124","1","10000","0","0"
"2999171","100125","1","10000","0","0"
"2999172","100131","1","5000","0","0"
"2999173","100132","1","5000","0","0"
"2999174","100133","1","5000","0","0"
"2999175","100134","1","5000","0","0"
"2999176","100135","1","5000","0","0"
"2999182","100211","1","10000","0","0"
"2999102","100221","1","100000","0","0"
"2999103","100231","1","40000","0","0"
"2999102","100232","1","100000","0","0"
"2999184","100311","1","10000","0","0"
"2999183","100321","1","200000","0","0"
"2999185","100331","1","1000000","0","0"
"2999186","100332","1","50000","0","0"
"2999187","100333","1","50000","0","0"
"2999188","100334","1","50000","0","0"
"2999189","100335","1","50000","0","0"
"2999104","100411","1","3000","0","0"
"2999177","100412","1","110","0","0"
"2999105","100421","1","5000","0","0"
"2999178","100422","1","130","0","0"
"2999106","100431","1","7000","0","0"
"2999179","100432","1","160","0","0"
"2999190","100511","1","3300","0","0"
"2999107","100521","1","20000","0","0"
"2999108","100522","1","20000","0","0"
"2999109","100523","1","20000","0","0"
"2999110","100524","1","20000","0","0"
"2999111","100525","1","20000","0","0"
"2999112","100531","1","20000","0","0"
"2999113","100532","1","20000","0","0"
"2999114","100533","1","20000","0","0"
"2999115","100534","1","20000","0","0"
"2999116","100535","1","20000","0","0"
"14","110011","14","5","0","0"
"2999117","110021","1","10000","0","0"
"2999120","110031","1","10000","0","0"
"16","110041","14","2","0","0"
"2999101","110051","1","1000","0","0"
"105","120011","14","2000","0","0"
"2999121","120021","1","5000","0","0"
"2999124","120031","1","5000","0","0"
"2999127","120041","1","1000","0","0"
"2999128","120051","1","1000","0","0"
"2999129","130011","1","1000","0","0"
"100","130021","14","1000","0","0"
"101","130022","14","1000","0","0"
"107","130031","14","3000","0","0"
"6","130041","14","1000","0","0"
"7","130042","14","1000","0","0"
"9","130051","14","10","0","0"
"108","140011","14","3000","0","0"
"2999132","140021","1","5000","0","0"
"2999133","140031","1","5000","0","0"
"2","140041","14","2000","0","0"
"4","140042","14","2000","0","0"
"3","140051","14","1000","0","0"
"5","140052","14","1000","0","0"
"110","150011","14","1000","0","0"
"1","150021","14","1000","0","0"
"2999134","150031","1","50000","0","0"
"2999135","150032","1","50000","0","0"
"2999136","150033","1","50000","0","0"
"2999137","150034","1","50000","0","0"
"2999138","150035","1","50000","0","0"
"2999149","150041","1","50000","0","0"
"2999150","150042","1","50000","0","0"
"2999151","150043","1","50000","0","0"
"2999152","150044","1","50000","0","0"
"2999153","150045","1","50000","0","0"
"2999164","150051","1","5000","0","0"
"14","210011","14","10","0","0"
"2999118","210021","1","20000","0","0"
"2999120","210031","1","20000","0","0"
"16","210041","14","4","0","0"
"2999101","210051","1","2000","0","0"
"105","220011","14","4000","0","0"
"2999122","220021","1","10000","0","0"
"2999125","220031","1","10000","0","0"
"2999127","220041","1","2000","0","0"
"2999128","220051","1","2000","0","0"
"2999129","230011","1","2000","0","0"
"100","230021","14","2000","0","0"
"101","230022","14","2000","0","0"
"107","230031","14","6000","0","0"
"6","230041","14","2000","0","0"
"7","230042","14","2000","0","0"
"9","230051","14","20","0","0"
"108","240011","14","6000","0","0"
"2999132","240021","1","10000","0","0"
"2999133","240031","1","10000","0","0"
"2","240041","14","4000","0","0"
"4","240042","14","4000","0","0"
"3","240051","14","2000","0","0"
"5","240052","14","2000","0","0"
"110","250011","14","2000","0","0"
"1","250021","14","2000","0","0"
"2999139","250031","1","100000","0","0"
"2999140","250032","1","100000","0","0"
"2999141","250033","1","100000","0","0"
"2999142","250034","1","100000","0","0"
"2999143","250035","1","100000","0","0"
"2999154","250041","1","100000","0","0"
"2999155","250042","1","100000","0","0"
"2999156","250043","1","100000","0","0"
"2999157","250044","1","100000","0","0"
"2999158","250045","1","100000","0","0"
"2999165","250051","1","10000","0","0"
"104","300011","14","10000","0","0"
"14","310011","14","15","0","0"
"2999119","310021","1","30000","0","0"
"2999120","310031","1","30000","0","0"
"16","310041","14","6","0","0"
"2999101","310051","1","3000","0","0"
"14","310061","14","100","0","0"
"105","320011","14","6000","0","0"
"2999123","320021","1","15000","0","0"
"2999126","320031","1","15000","0","0"
"2999127","320041","1","3000","0","0"
"2999128","320051","1","3000","0","0"
"2999192","320061","1","2500","0","0"
"2999129","330011","1","3000","0","0"
"100","330021","14","3000","0","0"
"101","330022","14","3000","0","0"
"107","330031","14","9000","0","0"
"6","330041","14","3000","0","0"
"7","330042","14","3000","0","0"
"9","330051","14","30","0","0"
"107","330061","14","50000","0","0"
"9","330062","14","50","0","0"
"108","340011","14","9000","0","0"
"2999132","340021","1","15000","0","0"
"2999133","340031","1","15000","0","0"
"2","340041","14","6000","0","0"
"4","340042","14","6000","0","0"
"3","340051","14","3000","0","0"
"5","340052","14","3000","0","0"
"2999191","340061","1","5000","0","0"
"110","350011","14","3000","0","0"
"1","350021","14","3000","0","0"
"2999144","350031","1","150000","0","0"
"2999145","350032","1","150000","0","0"
"2999146","350033","1","150000","0","0"
"2999147","350034","1","150000","0","0"
"2999148","350035","1","150000","0","0"
"2999159","350041","1","150000","0","0"
"2999160","350042","1","150000","0","0"
"2999161","350043","1","150000","0","0"
"2999162","350044","1","150000","0","0"
"2999163","350045","1","150000","0","0"
"2999166","350051","1","15000","0","0"
"1","350061","14","10000","0","0"
"1","400011","14","1500","0","0"
"102","400012","14","1500","0","0"
"103","400013","14","1500","0","0"
"104","400021","14","5000","0","0"
"10","400031","8","0","0","0"
"100","400041","14","5000","0","0"
"101","400042","14","5000","0","0"
"6","400043","14","-2500","0","0"
"7","400044","14","-2500","0","0"
"40005","400051","2","1","0","0"
"2","400061","14","1500","0","0"
"4","400062","14","1500","0","0"
"108","400063","14","1500","0","0"
"2999193","400071","1","50000","0","0"
"2999194","400081","1","50000","0","0"
"3000","400091","4","0","0","0"
"-30","400092","6","0","0","0"
"109","400101","14","2000","0","0"
"2","500011","14","400","25","1"
"4","500012","14","400","25","1"
"0","500021","12","0","0","0"
"107","500031","14","1","10000","30"
"2999130","500041","1","2500","0","0"
"50005","500051","3","1","0","0"
"2999195","500061","1","50000","0","0"
"2999196","500062","1","50000","0","0"
"2999197","500071","1","50000","0","0"
"2999198","500072","1","50000","0","0"
"2999199","500073","1","50000","0","0"
"2999200","500074","1","50000","0","0"
"2999201","500075","1","50000","0","0"
"2999202","500081","1","50000","0","0"
"100","500091","14","1","10000","30"
"101","500092","14","1","10000","30"
"2999203","500101","1","50000","0","0"
