e85b378aab77dccbfaca8b2a22a07c6b3db3982cfbc7a2bd6888df316673360c,7264bee7a520a14cc9a66881fffe183cc50e14ed00411cbef32a70907d6ea327,b682421d1cd0f6c4f017f873ed6900fff907308b7ac67440e457866c2c981a58,05067b70a63a06a1f6d1595cfefa908cd7c2dc0ae0c1655738ff06ec14287eaf,84ab98b55da24636d56e60431734998e9963c59dcd356bcb8b1de6d7c56ce232
"1048","1025","1037","1045","1"
"1004","1003","1062","1006","2"
"1007","1003","1029","1006","3"
"1045","1047","1025","1062","4"
"1013","1043","1003","1022","5"
"1004","1006","1048","1019","6"
"1033","1062","1037","1003","7"
"1053","1056","1050","1059","8"
"1011","1001","1030","1034","9"
"1023","1063","1046","1026","10"
"1038","1020","1014","1044","11"
"1049","1017","1008","1040","12"
"1044","1023","1017","1020","13"
"1038","1017","1001","1020","14"
"1048","1030","1036","1008","15"
"1038","1044","1004","1011","16"
"1011","1043","1005","1022","17"
"1016","1046","1042","1047","18"
"1028","1014","1041","1063","19"
"1055","1052","1061","1058","20"
"1001","1025","1031","1024","21"
"1063","1024","1064","1005","22"
"1000","1040","1066","1044","23"
"1038","1000","1076","1010","24"
"1019","1003","1077","1043","25"
"1069","1070","1071","1068","26"
"1091","1092","1089","1090","27"
"1100","1098","1097","1099","28"
"1104","1102","1101","1103","29"
"1108","1106","1105","1107","30"
"1006","1012","1083","1021","31"
"1085","1087","1086","1084","32"
"1095","1094","1093","1096","33"
