683e4b13619970ba258562a35981fcc631a15b37eaffcbd0c804a972cb4a99e9,764ad4bdecd49bafef990a63ec4e6b7da30c68cb31b6cff96c7168e690aa60e2,499b59c045b7dba2b17ee67178d14b904909dd92fa51954490389ad224dfe31c,6953d20a185867f0b6bf57ab2a68b217d83fd7736dc29f8eaeef3ce37ecbfd9c,293f6eacd91fea12f1de1de1f5cbcfcdbf1b7436a47ee59ced47672729aa9edd,cbcf8ba0ddcdfbb6315173424b1cc5fe808d9a6c260cc18254390e7f6810b011
"58002001","1","15","1","1001","10101001"
"58002002","1","15","2","1002","10101002"
"58002003","1","15","3","1003","10101003"
"56011001","1","15","4","1001","10201001"
"56011002","1","15","5","1002","10201002"
"56011003","1","15","6","1003","10201003"
"56011003","50","8","7","0","91002"
"56011004","1","15","8","1001","10201004"
"56011005","1","15","9","1002","10201005"
"56011006","1","15","10","1003","10201006"
"56011006","50","8","11","0","91002"
"56011007","1","15","12","1001","10201007"
"56011008","1","15","13","1002","10201008"
"56011009","1","15","14","1003","10201009"
"56011009","50","8","15","0","91002"
"56011010","1","15","16","1001","10201010"
"56011011","1","15","17","1002","10201011"
"56011012","1","15","18","1003","10201012"
"56011012","50","8","19","0","91002"
"56011013","1","15","20","1001","10201013"
"56011014","1","15","21","1002","10201014"
"56011015","1","15","22","1003","10201015"
"56011015","50","8","23","0","91002"
"56011016","1","15","24","1001","10201016"
"56011017","1","15","25","1002","10201017"
"56011018","1","15","26","1003","10201018"
"56011018","50","8","27","0","91002"
"56011019","1","15","28","1001","10201019"
"56011020","1","15","29","1002","10201020"
"56011021","1","15","30","1003","10201021"
"56011021","50","8","31","0","91002"
"56011022","1","15","32","1001","10201022"
"56011023","1","15","33","1002","10201023"
"56011024","1","15","34","1003","10201024"
"56011024","50","8","35","0","91002"
"56011025","1","15","36","1001","10201025"
"56011026","1","15","37","1002","10201026"
"56011027","1","15","38","1003","10201027"
"56011027","50","8","39","0","91002"
"56011028","1","15","40","1001","10201028"
"56011029","1","15","41","1002","10201029"
"56011030","1","15","42","1003","10201030"
"56011030","50","8","43","0","91002"
"56011031","1","15","44","1001","10201031"
"56011032","1","15","45","1002","10201032"
"56011033","1","15","46","1003","10201033"
"56011033","50","8","47","0","91002"
"56011034","1","15","48","1001","10201034"
"56011035","1","15","49","1002","10201035"
"56011036","1","15","50","1003","10201036"
"56011036","50","8","51","0","91002"
"56011037","1","15","52","1001","10201037"
"56011038","1","15","53","1002","10201038"
"56011039","1","15","54","1003","10201039"
"56011039","50","8","55","0","91002"
"56011040","1","15","56","1001","10201040"
"56011041","1","15","57","1002","10201041"
"56011042","1","15","58","1003","10201042"
"56011042","50","8","59","0","91002"
"56011043","1","15","60","1001","10201043"
"56011044","1","15","61","1002","10201044"
"56011045","1","15","62","1003","10201045"
"56011045","50","8","63","0","91002"
"56011046","1","15","64","1001","10201046"
"56011047","1","15","65","1002","10201047"
"56011048","1","15","66","1003","10201048"
"56011048","50","8","67","0","91002"
"56011049","1","15","68","1001","10201049"
"56011050","1","15","69","1002","10201050"
"56011051","1","15","70","1003","10201051"
"56011051","50","8","71","0","91002"
"56011052","1","15","72","1001","10201052"
"56011053","1","15","73","1002","10201053"
"56011054","1","15","74","1003","10201054"
"56011054","50","8","75","0","91002"
"56011055","1","15","76","1001","10201055"
"56011056","1","15","77","1002","10201056"
"56011057","1","15","78","1003","10201057"
"56011057","50","8","79","0","91002"
"56011058","1","15","80","1001","10201058"
"56011059","1","15","81","1002","10201059"
"56011060","1","15","82","1003","10201060"
"56011060","50","8","83","0","91002"
"56011061","1","15","84","1001","10201061"
"56011062","1","15","85","1002","10201062"
"56011063","1","15","86","1003","10201063"
"56011063","50","8","87","0","91002"
"56011064","1","15","88","1001","10201064"
"56011065","1","15","89","1002","10201065"
"56011066","1","15","90","1003","10201066"
"56011066","50","8","91","0","91002"
"56011067","1","15","92","1001","10201067"
"56011068","1","15","93","1002","10201068"
"56011069","1","15","94","1003","10201069"
"56011069","50","8","95","0","91002"
"56011070","1","15","96","1001","10201070"
"56011071","1","15","97","1002","10201071"
"56011072","1","15","98","1003","10201072"
"56011072","50","8","99","0","91002"
"56011073","1","15","100","1001","10201073"
"56011074","1","15","101","1002","10201074"
"56011075","1","15","102","1003","10201075"
"56011075","50","8","103","0","91002"
"56011076","1","15","104","1001","10201076"
"56011077","1","15","105","1002","10201077"
"56011078","1","15","106","1003","10201078"
"56011078","50","8","107","0","91002"
"56011079","1","15","108","1001","10201079"
"56011080","1","15","109","1002","10201080"
"56011081","1","15","110","1003","10201081"
"56011081","50","8","111","0","91002"
"56011082","1","15","112","1001","10201082"
"56011083","1","15","113","1002","10201083"
"56011084","1","15","114","1003","10201084"
"56011084","50","8","115","0","91002"
"56011085","1","15","116","1001","10201085"
"56011086","1","15","117","1002","10201086"
"56011087","1","15","118","1003","10201087"
"56011087","50","8","119","0","91002"
"56011088","1","15","120","1001","10201088"
"56011089","1","15","121","1002","10201089"
"56011090","1","15","122","1003","10201090"
"56011090","50","8","123","0","91002"
"56011091","1","15","124","1001","10201091"
"56011092","1","15","125","1002","10201092"
"56011093","1","15","126","1003","10201093"
"56011093","50","8","127","0","91002"
"56011094","1","15","128","1001","10201094"
"56011095","1","15","129","1002","10201095"
"56011096","1","15","130","1003","10201096"
"56011096","50","8","131","0","91002"
"56011097","1","15","132","1001","10201097"
"56011098","1","15","133","1002","10201098"
"56011099","1","15","134","1003","10201099"
"56011099","50","8","135","0","91002"
"56011100","1","15","136","1001","10201100"
"56011101","1","15","137","1002","10201101"
"56011102","1","15","138","1003","10201102"
"56011102","50","8","139","0","91002"
"56011103","1","15","140","1001","10201103"
"56011104","1","15","141","1002","10201104"
"56011105","1","15","142","1003","10201105"
"56011105","50","8","143","0","91002"
"56011106","1","15","144","1001","10201106"
