54e5d3068ee3459752cf58fb6aeb38673e87c6cc88758bf170891bf0488d98dd,6529a5bac9615760dd359824155f352b0399fd72a0c425a66ce32f17d29171c5,b1d6f4fec5e56571cd48b91604a441e8787bd43ade023829044dd2a4e42ad309,7a4f380463dc7f962cc0af3e933b722120d326ae7a81f7b419a5fac0e29b1e5a,a463b86b6ac9bb70200061a11c7741169d03e570510be3d51b3c982c716199ab,abab9b437a632ad77f20262711f99d4be70ffaaddaa9de11f3b2afe946f45ea0,0cd9cea0bc68e46af0c46940c4e8f151e324bf2d727457478c05c5c623b5c915,b7a11f70532d876872a3b41bc15378f3896e891bd328b0668ae046a8202491a9
"30050236","10050640","0","0","0","30050237","3000","10050650"
"30050413","10050659","0","0","0","30050414","3000","10050670"
"30050421","10050723","30050423","0","0","30050422","3000","10050735"
"30050424","10050818","30050426","0","0","30050425","3000","10050360"
"30060187","10060402","30060189","0","30060190","30060188","3000","10060413"
"30060191","10060480","30060193","0","0","30060192","3000","10060492"
"30060194","10060542","30060196","0","30060197","30060195","3000","10060545"
"30060208","10060591","30060210","30060212","30060211","30060209","3000","10060606"
"30070186","10070608","30070188","0","30070189","30070187","3000","10070626"
"30070198","10070914","30070200","30070202","30070201","30070199","3000","10070926"
"30070206","10071038","30070208","30070210","30070209","30070207","3000","10071052"
"30070193","10071117","30070195","0","30070196","30070194","3000","10071131"
"30080236","10080640","0","0","0","30080237","3000","10080650"
"30080413","10080659","0","0","0","30080414","3000","10080670"
"30080421","10080723","30080423","0","0","30080422","3000","10080735"
"30080424","10080818","30080426","0","0","30080425","3000","10080360"
"30090187","10090402","30090189","0","30090190","30090188","3000","10090413"
"30090191","10090480","30090193","0","0","30090192","3000","10090492"
"30090194","10090542","30090196","0","30090197","30090195","3000","10090545"
"30090208","10090591","30090210","30090212","30090211","30090209","3000","10090606"
"30100186","10100608","30100188","0","30100189","30100187","3000","10100626"
"30100198","10100914","30100200","30100202","30100201","30100199","3000","10100926"
"30100206","10101038","30100208","30100210","30100209","30100207","3000","10101052"
"30100193","10101117","30100195","0","30100196","30100194","3000","10101131"
