6831250654718fdf3ceee4e633b0eb4201f4f13eb5b917e8cc37405a15eb7df2,88d380fff3f79f264fbc0e145fdb7750730e5e2c640873481dfa8ebb4fbcb98d,23b8be48a81f4fdce41a2a5908e91b5aae5fd393eb27bbda7daa2430c64ec42a,0f0db590e48073179d0b9a894274e3f25cf6c65dfa0ddb83e22f7c7ab50f59d2,f4ecfc2410d971b56ca8aeb639397274de6d9f88d1b37df5c929c419c081632e,9e09a7d048c668ee98b186cfa036d711fed4b6ca8f6201ff9a25263515d2e83f,89104b609d7c27e155a285e709e7c6b4b88bd1dfe0b0c1ffc5d57389989c7da0,cebb7312776aab28324e446b19d3d1a7c23a0e3a188b356c1b078091803f6b9b,b8cc64fa2c49df9037fed3dacb9305adfc6682ebce905a2d68c98472922b04f1,ae935cb83bc709675d4c01164646adbb6e48ec010c4b17614dddb130088c4839,fe8ea953781d4e7d5985b0d7fd16e4473cd9c6adf8d9909b4e81b9ea5a9af679,336f79ef7201f1e1ad4d2a501647bd7b471212401557c90f3de5e1f2dd528537,458c6c6eb6500be6e852d93a7d60619c7f086cd9e0a63e2c4619dc4153c47b97,7faa3e0a19334e1b0d16422a3bf59d64980d16bef28a311785a412c15a379f1d
"8004","0","0","20001102","イベントクエスト1-1 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001001","72001001","9003","20001","2030/12/31 14:59:59","601","20001101"
"8004","0","0","20001102","イベントクエスト1-2 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001002","72001002","9003","20001","2030/12/31 14:59:59","601","20001102"
"8004","0","0","20001102","イベントクエスト1-3 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001003","72001003","9003","20001","2030/12/31 14:59:59","601","20001103"
"8004","0","0","20001102","イベントクエスト1-4 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001004","72001004","9003","20001","2030/12/31 14:59:59","601","20001104"
"8004","0","0","20001102","イベントクエスト1-5 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001005","72001005","9003","20001","2030/12/31 14:59:59","601","20001105"
"8004","0","0","20001102","イベントクエスト1-6 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001006","72001006","9003","20001","2030/12/31 14:59:59","601","20001106"
"8004","0","0","20001102","イベントクエスト1-7 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001007","72001007","9003","20001","2030/12/31 14:59:59","601","20001107"
"8004","0","0","20001102","イベントクエスト1-8 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001008","72001008","9003","20001","2030/12/31 14:59:59","601","20001108"
"8004","0","0","20001102","イベントクエスト1-9 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001009","72001009","9003","20001","2030/12/31 14:59:59","601","20001109"
"8004","0","0","20001102","イベントクエスト1-10 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001010","72001010","9003","20001","2030/12/31 14:59:59","601","20001110"
"8004","0","0","20001102","イベントクエスト1-11 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001011","72001011","9003","20001","2030/12/31 14:59:59","601","20001111"
"8004","0","0","20001102","イベントクエスト1-12 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001012","72001012","9003","20001","2030/12/31 14:59:59","601","20001112"
"8004","0","0","20001102","イベントクエスト1-13 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001013","72001013","9003","20001","2030/12/31 14:59:59","601","20001113"
"8004","0","0","20001102","イベントクエスト1-14 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001014","72001014","9003","20001","2030/12/31 14:59:59","601","20001114"
"8004","0","0","20001102","イベントクエスト1-15 (NORMAL)をクリアしよう","1","2018/01/01 12:00:00","72001015","72001015","9003","20001","2030/12/31 14:59:59","601","20001115"
