5e393c59c16d5f548dccfc13beed3f212e713a1861e07b60989d10cd5337460d,4cd2b8e1daf215f89f429aead7e5b2f18681f2c49991f41aecb529c8e5ca52d2,5f250eae96bc6eed2e482a5894994d7a5e5b7339e9a1cf8860071d058cb78697,17de9ff1e0bb3f7d54544cab6a2b9bfc9abc38c4b1e0b31dbdaf956a68f93eda,01412a81011d1675f7ac9a55616ab8c60fa484ed1a9cbfd4aaa6d447fab1877e,0cbf2cfc957e5f250ccfdaadd2aeee54b46a9ba17b39e2f5fa68cb93677751fc,b21121d67b9ed11e4358de5031e65a03d3b1d7e8545fb6b9cd84f845281ec0ae
"4","10064","1006401","20036104","0","0","開会式"
"3","10064","1006402","20036104","0","0","開会式"
"1","10064","1006403","20036104","1006402","0","徒競走"
"4","10064","1006404","20036104","1006402","0","徒競走"
"2","10064","1006405","20036104","1006402","0","徒競走"
"2","10064","1006406","20036104","1006405","0","騎馬戦"
"4","10064","1006407","20036104","1006405","0","騎馬戦"
"3","10064","1006408","20036106","1006406","0","昼休憩"
"4","10064","1006409","20036106","1006406","0","昼休憩"
"3","10064","1006410","20036106","1006408","0","学術文化出展各種"
"4","10064","1006411","20036106","1006408","0","学術文化出展各種"
"1","10064","1006412","20036106","1006408","0","学術文化出展各種"
"4","10064","1006413","20036108","1006410","0","侍女風給仕喫茶"
"3","10064","1006414","20036108","1006410","0","侍女風給仕喫茶"
"3","10064","1006415","20036113","1006414","0","総合リレー"
"4","10064","1006416","20036113","1006414","0","総合リレー"
"1","10064","1006417","0","1006415","2003601","セレモニーステージ"
"4","10064","1006418","0","1006415","2003601","セレモニーステージ"
"2","10064","1006419","0","1006415","2003601","セレモニーステージ"
"3","10064","1006420","0","1006419","2003601","閉会式"
"4","10064","1006421","0","1006419","2003601","閉会式"
"4","10064","1006422","0","1006420","2003601","コンプリート演出"
