868be88eaaff27462470dd9a15ec31f465e5fed05a7871808572754ab6069f24,898a82e070fcfb66d4f22b84eff96f2804ee57d954b78f815a7c160cb8112ff5,e846605bdc7b09f55a77c75bf1b16316049d8b65d4b1834fe9d5f4201d2ad04a,661765254c19fde6ec77e759e97139e0e5421c978ed6f4acce8797a698cec7c4,a61db79c382c9b9235a519314b426b3dc0863160897aa9410d521b0613fbd7a3,e4da90d4cc0999d6ef408d9fc07b4b0f43022d3466faba44d89251ace336d90e,8cd356496ecd1c4a7b86171e6080f0c8932e863ec3e0b22a846f815dd51c5f2e,ae30dc6c18d9928595349e3705bda7c98b205e9c7fa7f2ba38f2057e845e135a,cc4a3d8b63c3ee19e4d771b57b60b574f352290c9a9ab63a3c498b6b5d2d6541
"100101","2","1","2","1","6","2","3","3"
"100201","1","2","1","3","5","1","3","2"
"100301","2","3","3","1","7","1","2","3"
"100401","2","3","2","1","13","2","2","3"
"100501","3","2","2","2","18","2","3","1"
"100601","3","2","2","1","25","1","3","2"
"100701","1","2","3","3","26","2","3","2"
"100801","1","3","3","3","40","2","2","1"
"100901","3","2","3","1","34","1","2","3"
"101001","1","2","1","3","8","1","3","2"
"101101","1","2","2","2","56","3","3","2"
"101201","2","2","2","1","43","3","1","3"
"101301","3","3","2","1","33","1","3","1"
"101401","2","2","1","3","11","1","2","1"
"101501","1","3","1","3","42","1","2","2"
"101601","1","3","2","2","46","3","3","1"
"101701","2","2","2","1","10","3","3","1"
"101801","2","3","1","3","45","1","2","1"
"102001","2","1","1","2","12","2","3","3"
"102101","2","3","1","1","30","1","3","2"
"102201","2","3","1","1","24","3","1","2"
"102301","3","1","2","1","31","2","3","3"
"102501","1","2","1","3","29","3","2","1"
"102601","1","1","1","3","51","2","3","2"
"102701","1","3","3","2","36","2","1","3"
"102801","1","3","1","2","28","2","2","1"
"102901","1","2","1","2","52","2","3","2"
"103001","2","3","2","2","39","1","3","1"
"103101","1","1","3","3","27","2","2","3"
"103201","1","2","2","3","19","2","1","3"
"103301","2","1","2","2","48","1","3","3"
"103401","3","2","1","2","20","2","1","2"
"103601","3","2","3","3","14","2","1","1"
"103701","3","3","3","1","17","2","2","1"
"103801","3","1","3","3","49","1","2","2"
"104001","3","1","1","2","44","3","1","2"
"104201","2","2","3","3","53","2","2","1"
"104301","1","2","3","1","9","3","2","3"
"104401","2","1","3","3","23","1","2","3"
"104501","3","2","1","2","38","1","2","2"
"104601","1","1","2","3","21","3","2","2"
"104701","3","2","3","1","15","3","2","1"
"104801","2","3","3","1","22","3","1","2"
"104901","1","2","1","2","55","2","2","3"
"105001","2","2","1","2","47","3","3","1"
"105101","2","1","3","3","35","3","1","1"
"105201","1","2","2","2","50","2","3","2"
"105301","1","3","3","1","37","2","2","3"
"105401","1","1","2","2","54","3","3","2"
"105501","3","1","1","2","41","1","2","3"
"105601","1","2","3","1","32","3","3","2"
"105701","2","2","1","1","67","2","3","2"
"105801","1","2","2","2","1","2","3","2"
"105901","2","2","1","3","2","1","2","2"
"106001","3","1","3","2","3","3","2","1"
"106101","2","2","2","1","58","2","3","3"
"106301","2","1","1","1","68","2","3","3"
"106401","3","2","1","1","4","2","3","2"
"106501","3","2","3","1","61","2","3","1"
"106601","3","1","2","3","62","2","3","1"
"106701","2","2","3","2","60","1","2","1"
"106801","3","2","1","1","57","2","1","1"
"107001","2","1","3","3","59","1","1","2"
"107101","2","3","3","1","16","2","1","2"
"109201","2","2","1","2","70","1","2","2"
"109301","1","2","2","2","72","3","3","2"
"109401","2","3","3","1","71","3","2","1"
"110801","2","2","1","1","64","3","2","2"
"110901","1","3","2","2","65","2","2","1"
"111001","2","1","3","3","63","1","3","1"
"111401","3","1","2","2","69","3","2","2"
"118001","2","2","2","3","66","3","1","1"
