7493b55eee277081eddf465acd2dfe1b104d09d729dcffbb0cf3320393af349d,d4190025ed673dac7e7a9265b4f9f6fceb396ae2104ab515fe57cacb9617e022,a9cab3c09e67358d3740d0a35b061a56bcf049e47120de42af820c085cd07c57,9825160660b4ae7cee982173c942136de555ef226599cf94ce8de5674d64a2fd,98b99c4ff88dd6bd51b1220acebc4c14e8c5ea4fea7af76cae9c2bd92ad87290,7a8ea8d6efce4eb41e7ed1535364d27c629a0f3814d4a7f659689260be9c4722,e04e0fee6ca24701595f668c3ca9ff31462cd75d6e09a0f3f99c59c5447d7d42,f7aa2879a9b687a3897e8859172ba7aa7a7f092b45bb4b3a277b9bcd18427f30,1c79557dd528eb61fcf507e521857fad0bd6dac56efa9983ba859a52c4a58713
"7","10001","22","-1","6","1","8","53003","5"
"7","10002","22","-1","6","1","4","53002","5"
"6","10101","22","5","5","1","6","53003","4"
"6","10102","22","5","5","1","5","53002","4"
"5","10201","22","4","4","1","5","53003","3"
"5","10202","22","4","4","1","5","53002","3"
"4","10301","22","3","3","1","4","53003","3"
"4","10302","22","3","3","1","3","53002","3"
"3","10401","22","2","2","1","3","53003","2"
"3","10402","22","2","2","1","2","53002","2"
"2","10501","22","1","1","1","2","53003","1"
"2","10502","22","1","1","1","1","53002","1"
"1","10601","22","0","0","1","2","53002","1"
"7","10701","22","-1","6","2","8","53003","5"
"7","10702","22","-1","6","2","4","53002","5"
"6","10801","22","5","5","2","6","53003","4"
"6","10802","22","5","5","2","5","53002","4"
"5","10901","22","4","4","2","5","53003","3"
"5","10902","22","4","4","2","5","53002","3"
"4","11001","22","3","3","2","4","53003","3"
"4","11002","22","3","3","2","3","53002","3"
"3","11101","22","2","2","2","3","53003","2"
"3","11102","22","2","2","2","2","53002","2"
"2","11201","22","1","1","2","2","53003","1"
"2","11202","22","1","1","2","1","53002","1"
"1","11301","22","0","0","2","2","53002","1"
"7","11401","22","-1","6","3","8","53003","5"
"7","11402","22","-1","6","3","4","53002","5"
"6","11501","22","5","5","3","6","53003","4"
"6","11502","22","5","5","3","5","53002","4"
"5","11601","22","4","4","3","5","53003","3"
"5","11602","22","4","4","3","5","53002","3"
"4","11701","22","3","3","3","4","53003","3"
"4","11702","22","3","3","3","3","53002","3"
"3","11801","22","2","2","3","3","53003","2"
"3","11802","22","2","2","3","2","53002","2"
"2","11901","22","1","1","3","2","53003","1"
"2","11902","22","1","1","3","1","53002","1"
"1","12001","22","0","0","3","2","53002","1"
"7","12101","22","-1","6","4","8","53003","5"
"7","12102","22","-1","6","4","4","53002","5"
"6","12201","22","5","5","4","6","53003","4"
"6","12202","22","5","5","4","5","53002","4"
"5","12301","22","4","4","4","5","53003","3"
"5","12302","22","4","4","4","5","53002","3"
"4","12401","22","3","3","4","4","53003","3"
"4","12402","22","3","3","4","3","53002","3"
"3","12501","22","2","2","4","3","53003","2"
"3","12502","22","2","2","4","2","53002","2"
"2","12601","22","1","1","4","2","53003","1"
"2","12602","22","1","1","4","1","53002","1"
"1","12701","22","0","0","4","2","53002","1"
"7","12801","22","-1","6","5","8","53003","5"
"7","12802","22","-1","6","5","4","53002","5"
"6","12901","22","5","5","5","6","53003","4"
"6","12902","22","5","5","5","5","53002","4"
"5","13001","22","4","4","5","5","53003","3"
"5","13002","22","4","4","5","5","53002","3"
"4","13101","22","3","3","5","4","53003","3"
"4","13102","22","3","3","5","3","53002","3"
"3","13201","22","2","2","5","3","53003","2"
"3","13202","22","2","2","5","2","53002","2"
"2","13301","22","1","1","5","2","53003","1"
"2","13302","22","1","1","5","1","53002","1"
"1","13401","22","0","0","5","2","53002","1"
"7","13501","22","-1","6","6","8","53003","5"
"7","13502","22","-1","6","6","4","53002","5"
"6","13601","22","5","5","6","6","53003","4"
"6","13702","22","5","5","6","5","53002","4"
"5","13801","22","4","4","6","5","53003","3"
"5","13902","22","4","4","6","5","53002","3"
"4","14001","22","3","3","6","4","53003","3"
"4","14002","22","3","3","6","3","53002","3"
"3","14101","22","2","2","6","3","53003","2"
"3","14102","22","2","2","6","2","53002","2"
"2","14201","22","1","1","6","2","53003","1"
"2","14202","22","1","1","6","1","53002","1"
"1","14301","22","0","0","6","2","53002","1"
"7","14401","22","-1","6","7","8","53003","5"
"7","14402","22","-1","6","7","4","53002","5"
"6","14501","22","5","5","7","6","53003","4"
"6","14502","22","5","5","7","5","53002","4"
"5","14601","22","4","4","7","5","53003","3"
"5","14701","22","4","4","7","5","53002","3"
"4","14801","22","3","3","7","4","53003","3"
"4","14802","22","3","3","7","3","53002","3"
"3","14901","22","2","2","7","3","53003","2"
"3","14902","22","2","2","7","2","53002","2"
"2","15001","22","1","1","7","2","53003","1"
"2","15002","22","1","1","7","1","53002","1"
"1","15101","22","0","0","7","2","53002","1"
"7","15201","22","-1","6","8","8","53003","5"
"7","15202","22","-1","6","8","4","53002","5"
"6","15301","22","5","5","8","6","53003","4"
"6","15302","22","5","5","8","5","53002","4"
"5","15401","22","4","4","8","5","53003","3"
"5","15402","22","4","4","8","5","53002","3"
"4","15501","22","3","3","8","4","53003","3"
"4","15502","22","3","3","8","3","53002","3"
"3","15601","22","2","2","8","3","53003","2"
"3","15602","22","2","2","8","2","53002","2"
"2","15701","22","1","1","8","2","53003","1"
"2","15702","22","1","1","8","1","53002","1"
"1","15901","22","0","0","8","2","53002","1"
"7","16001","22","-1","6","9","8","53003","5"
"7","16002","22","-1","6","9","4","53002","5"
"6","16101","22","5","5","9","6","53003","4"
"6","16102","22","5","5","9","5","53002","4"
"5","16201","22","4","4","9","5","53003","3"
"5","16202","22","4","4","9","5","53002","3"
"4","16301","22","3","3","9","4","53003","3"
"4","16302","22","3","3","9","3","53002","3"
"3","16401","22","2","2","9","3","53003","2"
"3","16402","22","2","2","9","2","53002","2"
"2","16501","22","1","1","9","2","53003","1"
"2","16502","22","1","1","9","1","53002","1"
"1","16601","22","0","0","9","2","53002","1"
