5eaad30206855c95878521e031b5824a40e4c86a7a4f0ea5a9ad8cad43662f03,9870cd8d5cebc2a85815f63408b8ec904a7ac340db98a568f2055e76d40c0bd9,1c3077e91ec99658a12452b5f33ad1387a3bd81515e91926a14b213bf3e51822,b3da7871fa97d15fc352cf56241d7fab0922bfd80a6289707d9886e0af1e21a4,241e7fc391b711e877a686fbd8e836737176fb570373294ad9f4c0318a058aed,d1d2e65cb8c3be28b29664d17209762796033885516484b36d428e49a2b660b3,b0e44dd8042d9d8fbb4bf4738583062f46dea34987114b1547d63c02e449af94,2fa7276da0f79a41db693f9f911ed7ead27ad8a73760e38bd61599a05d8987e2,5d4d7fa3ff72b9492e6e364993bd8e82dfc10cfcca08550ea37b2752f8155515,7c836ff9f6bb4a375588476d47ce125f505b6c74922f4c05f68467f9aac5dbd5,eac26a56e0dde27d8ccb8da26c560c11e5677b357a41f6ac75b080d9e00002ba
"720","952","9500001","105801","0","0","796","1638","0","0","5"
"638","602","9500002","105901","22","60","565","1403","-36","34","3"
"663","905","9500003","106001","40","65","755","1533","-31","0","5"
"668","1196","9500004","106401","85","-44","959","1601","-5","-40","5"
"624","739","9500005","100101","45","91","716","1471","-19","23","4"
"631","852","9500006","100201","15","127","707","1523","-31","-20","5"
"660","849","9500007","100301","-40","-93","797","1788","-18","-60","9"
"627","1024","9500008","101101","150","220","955","1423","-36","60","4"
"628","1166","9500009","104901","-40","2","728","1824","-33","-60","10"
"749","1812","9500010","106801","-60","141","1130","1891","3","-70","9"
"668","824","9500011","102901","-50","-72","727","1529","-30","0","4"
"629","1441","9500012","104201","70","19","855","1576","-25","20","7"
"682","802","9500013","105401","-30","-95","735","1474","-49","40","4"
"653","781","9500014","100401","0","0","781","1322","0","57","2"
"806","613","9500015","102001","0","0","613","1372","-67","73","1"
"732","1024","9500016","103601","-21","20","865","1328","-60","51","1"
"703","931","9500017","101201","0","-36","931","1617","-17","0","6"
"621","805","9500018","101501","-88","-33","593","1605","-17","40","8"
"751","1241","9500019","104001","220","203","1068","1602","-40","0","4"
"649","1146","9500020","100601","-80","100","853","1522","-30","0","4"
"770","1024","9500021","100701","15","0","867","1376","-30","509","10"
"655","687","9500022","102201","60","100","687","1452","-30","50","3"
"625","939","9500023","103101","10","-93","707","1499","-29","40","6"
"763","1223","9500024","104401","-20","-80","1103","1465","-13","20","2"
"661","826","9500025","100501","-50","-109","780","1278","-38","60","1"
"654","696","9500026","103701","40","110","632","1650","-30","0","8"
"685","1156","9500027","104701","-150","-56","807","1914","0","-84","10"
"704","798","9500028","107101","10","12","753","1877","-30","-50","10"
