8192c8e857598f929d7d06988965c5e799f54f2f61ce9b5cdd62b39da4cef790,f3c65f5a4338575da1ce18db478f269243349e3720fa20a44c8bf0b06d8a1ad1,1c27615dc951af765a7a49a977b6f308540abbbc5cfe16aee75e9b6795b572c8,e4b2b2ca9fc42294f9708ca4fa8c89eb9ad2d3822c5ab35483a254e54966debf,a9a1a617ed07bc19e6f681223fcd9b9eeacd2f789a60fe2365bf43c8bcc1ef20,970bbf1f78db6c2f5aa14a0af271d6281a60dd1785061fd100ea87339e216fd7,d87364304ef2783989ea4cf556ae4d7713226b2e2f02416360c232bdae13e540
"1006401","0","開会式","20036104","4","0","10064"
"1006402","0","開会式","20036104","3","0","10064"
"1006403","0","徒競走","20036104","1","1006402","10064"
"1006404","0","徒競走","20036104","4","1006402","10064"
"1006405","0","徒競走","20036104","2","1006402","10064"
"1006406","0","騎馬戦","20036104","2","1006405","10064"
"1006407","0","騎馬戦","20036104","4","1006405","10064"
"1006408","0","昼休憩","20036106","3","1006406","10064"
"1006409","0","昼休憩","20036106","4","1006406","10064"
"1006410","0","学術文化出展各種","20036106","3","1006408","10064"
"1006411","0","学術文化出展各種","20036106","4","1006408","10064"
"1006412","0","学術文化出展各種","20036106","1","1006408","10064"
"1006413","0","侍女風給仕喫茶","20036108","4","1006410","10064"
"1006414","0","侍女風給仕喫茶","20036108","3","1006410","10064"
"1006415","0","総合リレー","20036113","3","1006414","10064"
"1006416","0","総合リレー","20036113","4","1006414","10064"
"1006417","2003601","セレモニーステージ","0","1","1006415","10064"
"1006418","2003601","セレモニーステージ","0","4","1006415","10064"
"1006419","2003601","セレモニーステージ","0","2","1006415","10064"
"1006420","2003601","閉会式","0","3","1006419","10064"
"1006421","2003601","閉会式","0","4","1006419","10064"
"1006422","2003601","コンプリート演出","0","4","1006420","10064"
