0326096eefe38e110c3b678f6f2212250a43bcc3a59f8d4c2c34ee16dd54f4ff,0eebffdbd119ebe64e4036ae0e178715e090a31085d944fe7aed4bae131bbfda,02ffa5c585fb48d2c4862e6ad246b7b75fde634520d8bfc168d09253b4e7b080,4b43b323b49caf208ce23c0deb24417e7290f86ac315c61a35e816782a83e1ad,bbcdf81ec2b73046e9700d9504aa2bde31b61f71868b788e569547a58728279c,ec07e3b8eee9a116bfe1e04cbcda4b8a437b89653fd5eff9dfe52939703618d9,d52645056264b8219f11c370e0d85e280d590000831af5fa0462aa851a12222d,3c3ca4348183bf006b09d53fa5485f1279d7889ce78b8fbdd0ae06a88f65bd15,93e958bc5a18da35becdc6b734a9ab44850d4c5ca6fc391b57506a2fa4a533d0,135a98d6efdd0b615046d2c0a8a6d178fca1e7cef04b49ae8ef5cb7df9424ad9,727bcb9d075188ba317285bdd390cc56b1730faf4137b96d8179a090f5be89c1
"1001","1","1","1.65","118511","taq_karin_idle","-194","100","1","72","1"
"1002","1","vo_minigame_1009","","vo_minigame_1009_top_001","","","0","21","0",""
"1003","1","118511","0","賞品も用意して\nいますので頑張って\nくださいね♪","0","0","8","11","0","0"
"1004","1","118511","0.2","taq_karin_talk_normal","","","1","3","",""
"1005","1","1003","","","","","","91","",""
"1006","1","118511","0.2","taq_karin_idle","","","1","3","",""
"2001","2","1","1.65","118511","taq_karin_idle","-194","100","1","72","1"
"2002","2","vo_minigame_1009","","vo_minigame_1009_top_002","","","0","21","0",""
"2003","2","118511","0","みなさんの知識が\n試されますよ","0","0","8","11","0","0"
"2004","2","118511","0.2","taq_karin_talk_thinking","","","1","3","",""
"2005","2","2003","","","","","","91","",""
"2006","2","118511","0.2","taq_karin_idle","","","1","3","",""
"3001","3","1","1.65","118511","taq_karin_idle","-194","100","1","72","1"
"3002","3","vo_minigame_1009","","vo_minigame_1009_top_003","","","0","21","0",""
"3003","3","118511","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","0","0","8","11","0","0"
"3004","3","118511","0.2","taq_karin_talk_surprise","","","1","3","",""
"3005","3","3003","","","","","","91","",""
"3006","3","118511","0.2","taq_karin_idle","","","1","3","",""
"4001","4","1","1.65","118511","taq_karin_idle","-194","100","1","72","1"
"4002","4","vo_minigame_1009","","vo_minigame_1009_top_004","","","0","21","0",""
"4003","4","118511","0","わからないときは\n勘に頼ってみても\nいいと思います","0","0","8","11","0","0"
"4004","4","118511","0.2","taq_karin_talk_normal2","","","1","3","",""
"4005","4","4003","","","","","","91","",""
"4006","4","118511","0.2","taq_karin_idle","","","1","3","",""
"5001","5","1","1.65","118511","taq_karin_idle","-194","100","1","72","1"
"5002","5","vo_minigame_1009","","vo_minigame_1009_top_005","","","0","21","0",""
"5003","5","118511","0","仲よく協力して\n全問正解を\n目指してくださいね♪","0","0","7","11","0","0"
"5004","5","118511","0.2","taq_karin_talk_joy3","","","1","3","",""
"5005","5","5003","","","","","","91","",""
"5006","5","118511","0.2","taq_karin_idle","","","1","3","",""
