4f5140c4244e91e6861562894e9364037a4694e35d27e9c697ecf246e80fdcf8,a86bc736acfbb8836ad63e5fe28c87962cf152738584f126e0aaafb352c4bb68,96452c229bcc959686191f9cbed12e57f6099a37a91e184e2385479a00659e54,8a54cb80027b5b1d14b702925db25591898d62454a221630a5b41ddd00b771db,8efce5e068d8a5dc935a1eb6b64bb1cd4fbf4a9410b791f72c5907438d782bb5,2a7643feb7cf32675e63489ba958ee519083e01c805761ab89b2cb42381b34c7,4a1b6c9aaa7c9e0191e2842776d7aa123a757f49fd8b2232552a7a262be47385,d089e27dcaadd7a9aaee8304fe20e49f62cead50a8ace3257deddee6d270599d,c585e256bc675e1af1e673b3709c8cd7dac0498932b6e56ebd15368888027f3c
"2","3","2","100101","2","3","1","1","6"
"1","2","1","100201","1","3","3","2","5"
"3","3","1","100301","2","2","1","3","7"
"2","3","2","100401","2","2","1","3","13"
"2","1","2","100501","3","3","2","2","18"
"2","2","1","100601","3","3","1","2","25"
"3","2","2","100701","1","3","3","2","26"
"3","1","2","100801","1","2","3","3","40"
"3","3","1","100901","3","2","1","2","34"
"1","2","1","101001","1","3","3","2","8"
"2","2","3","101101","1","3","2","2","56"
"2","3","3","101201","2","1","1","2","43"
"2","1","1","101301","3","3","1","3","33"
"1","1","1","101401","2","2","3","2","11"
"1","2","1","101501","1","2","3","3","42"
"2","1","3","101601","1","3","2","3","46"
"2","1","3","101701","2","3","1","2","10"
"1","1","1","101801","2","2","3","3","45"
"1","3","2","102001","2","3","2","1","12"
"1","2","1","102101","2","3","1","3","30"
"1","2","3","102201","2","1","1","3","24"
"2","3","2","102301","3","3","1","1","31"
"1","1","3","102501","1","2","3","2","29"
"1","2","2","102601","1","3","3","1","51"
"3","3","2","102701","1","1","2","3","36"
"1","1","2","102801","1","2","2","3","28"
"1","2","2","102901","1","3","2","2","52"
"2","1","1","103001","2","3","2","3","39"
"3","3","2","103101","1","2","3","1","27"
"2","3","2","103201","1","1","3","2","19"
"2","3","1","103301","2","3","2","1","48"
"1","2","2","103401","3","1","2","2","20"
"3","1","2","103601","3","1","3","2","14"
"3","1","2","103701","3","2","1","3","17"
"3","2","1","103801","3","2","3","1","49"
"1","2","3","104001","3","1","2","1","44"
"3","1","2","104201","2","2","3","2","53"
"3","3","3","104301","1","2","1","2","9"
"3","3","1","104401","2","2","3","1","23"
"1","2","1","104501","3","2","2","2","38"
"2","2","3","104601","1","2","3","1","21"
"3","1","3","104701","3","2","1","2","15"
"3","2","3","104801","2","1","1","3","22"
"1","3","2","104901","1","2","2","2","55"
"1","1","3","105001","2","3","2","2","47"
"3","1","3","105101","2","1","3","1","35"
"2","2","2","105201","1","3","2","2","50"
"3","3","2","105301","1","2","1","3","37"
"2","2","3","105401","1","3","2","1","54"
"1","3","1","105501","3","2","2","1","41"
"3","2","3","105601","1","3","1","2","32"
"1","2","2","105701","2","3","1","2","67"
"2","2","2","105801","1","3","2","2","1"
"1","2","1","105901","2","2","3","2","2"
"3","1","3","106001","3","2","2","1","3"
"2","3","2","106101","2","3","1","2","58"
"1","3","2","106301","2","3","1","1","68"
"1","2","2","106401","3","3","1","2","4"
"3","1","2","106501","3","3","1","2","61"
"2","1","2","106601","3","3","3","1","62"
"3","1","1","106701","2","2","2","2","60"
"1","1","2","106801","3","1","1","2","57"
"3","2","1","107001","2","1","3","1","59"
"3","2","2","107101","2","1","1","3","16"
"1","2","1","109201","2","2","2","2","70"
"2","2","3","109301","1","3","2","2","72"
"3","1","3","109401","2","2","1","3","71"
"1","2","3","110801","2","2","1","2","64"
"2","1","2","110901","1","2","2","3","65"
"3","1","1","111001","2","3","3","1","63"
"2","2","3","111401","3","2","2","1","69"
"2","1","3","118001","2","1","3","2","66"
