f77cacc0fa9ae9f6b787e397cde0e0825c7e62fdd3ddfa5876428ea5a1dcc450,17424e9643c59df383b8fc9deaf793f656fbeedac802e686cd510d2a9f1c69c7,20ab344af63c29f6cc74449b7be7d6a4ad22cc3a127f4c223a2d263cf7375ef0,f602b7035ccc6a17d55655762fb9339325256c005bf4cfae0731a995900013a5,8570d4e9c7ae4e4f9985461da07c175266bca78997a929b4454a0111678215ae,1b7c391185498177d604858bc64cded88f19353d1b0a58b77336d940b24940d0,8f359da71610b872c6e8e1e04b3dd62ce46e802653e850b429fbc851cafcb6c9,adf289c3c2f420d1f95870ed43c41922dcc19edc71fb0cbdd110f4ddda007ff6,b9ec707f617c95f5f208f5ee31e1e0ebb88c12ee00d5dd4eeebf25ba752e2146,2156c2fc5350e6fe89946b751515b2a0257291e3c000051da219a5c2abffa99b,6c12427feeb35158a231240f13af8aa3bc58ce3afefb7803476d0d37eb497a61,57b7bcfd3c8740b41e78644e1e62a0732f6f250953816b58da1eaed96ee0ac37
"0","0","1","1","4","0","1005801","0","0","0.8","0","100580101"
"vo_ske_0101","0","2","0","2","0","1005801","0","vo_ske","0","0","100580102"
"0","0","3","0","1","0.705","1005801","1","0","0","60","100580103"
"0","0","4","1","4","0","1005801","0","0","1.549","0","100580104"
"0","60","5","0","1","1.807","1005801","1","0","0","304","100580105"
"0","0","6","1","4","0","1005801","0","0","3.027","0","100580106"
"0","0","7","0","1","1.141","1005801","2","0","0","140","100580107"
"0","0","8","1","4","0","1005801","0","0","1.9","0","100580108"
"0","140","9","0","1","1.78","1005801","2","0","0","380","100580109"
"0","0","10","1","4","0","1005801","0","0","4.544","0","100580110"
"vo_ske_0102","0","11","0","2","0","1005801","0","vo_ske","0","0","100580111"
"0","0","12","0","1","1.322","1005801","3","0","0","195","100580112"
"0","0","13","1","4","0","1005801","0","0","2.917","0","100580113"
"vo_ske_0103","0","14","0","2","0","1005801","0","vo_ske","0","0","100580114"
"0","0","15","0","1","1.932","1005801","4","0","0","228","100580115"
"0","0","16","1","4","0","1005801","0","0","2.582","0","100580116"
"0","228","17","0","1","0.996","1005801","4","0","0","367","100580117"
"0","0","18","1","4","0","1005801","0","0","3.856","0","100580118"
"vo_ske_0104","0","19","0","2","0","1005801","0","vo_ske","0","0","100580119"
"0","0","20","0","1","0.67","1005801","5","0","0","102","100580120"
"0","0","21","1","4","0","1005801","0","0","1.785","0","100580121"
"0","102","22","0","1","2.253","1005801","5","0","0","364","100580122"
"0","0","23","1","4","0","1005801","0","0","2.253","0","100580123"
"0","0","24","0","1","0.962","1005801","6","0","0","120","100580124"
"0","0","25","1","4","0","1005801","0","0","2.244","0","100580125"
"0","120","26","0","1","1.707","1005801","6","0","0","334","100580126"
"0","0","27","1","4","0","1005801","0","0","4.225","0","100580127"
"vo_ske_0105","0","28","0","2","0","1005801","0","vo_ske","0","0","100580128"
"0","0","29","0","1","1.256","1005801","7","0","0","168","100580129"
"0","0","30","1","4","0","1005801","0","0","3.119","0","100580130"
"vo_ske_0106","0","31","0","2","0","1005801","0","vo_ske","0","0","100580131"
"0","0","32","0","1","0.702","1005801","8","0","0","89","100580132"
"0","0","33","1","4","0","1005801","0","0","1.386","0","100580133"
