f984420271d3f07f8214dd9860d63ad34eeb3b7ef55742c3ca4c60b25979e6f8,dd0197903836cb6f0411719179f12024b1015b2eda2dd4ed958a7c0113002799,ef211e5f22596f94ea1658c630bf7885961d0956d929fed210218b9943f57cfc,19af1b1f71c9b73ee259b99498b110024d7ab5a92b990a21b9224fa1d0be7968,05a4398c0712eba6749f29c8363e76ee239f6710e46580fe0867adcdd27515a1,32f714fda48bf32d21376fd49579d39d427839fe0874cd33146ba58f84e2d957,617a7ff3ac51745b884a7b1a2e148219a0803297109a8883c4a8be865932ebf4,c89073d0c514420e1e6586df72bc9508a049d00ebe095c7628abefb7f8d3d663,b596ff198e99fe56bd64e5ee7a6bc07dfdf2d6f9d6ba7627c82772db71d973c1,86e62ae5815cd607b51ab4873a5655f60fd2593358692db6976536aa7c197056,b57d0acd23a1875ad9d335fec8655db370d4ca0c9c2cf96e1d75e064bf7745d1,cb71e360003be992d10e242bba96e9784ba253990341f26d3eff85ce5e05a219,681729e9386770f60c396cd28f63b6c8f34e2bed2ef10dfb3fc1b57d42b580ca,70276c0ac6e678ffcc75335acdb3d991e097d5122a1bedeff7d40720af2661f0,cc2a34c0dcf0dc2bd40de8098bba41a52b82ec0c1cac0305133c200a663ef73f
"924073001","25","8","0","924072001","96","90","1","前哨クエスト","92407010","92407","0","6","92407020","924070100"
"924073002","25","8","0","924072002","96","90","2","前哨クエスト","92407020","92407","92407010","6","92407030","924070200"
"924073003","25","8","0","924072003","96","90","3","前哨クエスト","92407030","92407","92407020","6","0","924070300"
"924083001","25","25","0","924082001","540","90","1","前哨クエスト","92408010","92408","0","25","92408020","924080100"
"924083002","25","25","0","924082002","540","90","2","前哨クエスト","92408020","92408","92408010","25","92408030","924080200"
"924083003","25","25","0","924082003","540","90","3","前哨クエスト","92408030","92408","92408020","25","0","924080300"
"924093001","25","25","0","924092001","540","90","1","前哨クエスト","92409010","92409","0","25","92409020","924090100"
"924093002","25","25","0","924092002","540","90","2","前哨クエスト","92409020","92409","92409010","25","92409030","924090200"
"924093003","25","25","0","924092003","540","90","3","前哨クエスト","92409030","92409","92409020","25","0","924090300"
"924103001","25","25","0","924102001","540","90","1","前哨クエスト","92410010","92410","0","25","92410020","924100100"
"924103002","25","25","0","924102002","540","90","2","前哨クエスト","92410020","92410","92410010","25","92410030","924100200"
"924103003","25","25","0","924102003","540","90","3","前哨クエスト","92410030","92410","92410020","25","0","924100300"
