3244f5d0cee4d6edf741ee3b80e3fa5a77afd9a00af24b892c6ffa2018283073,477087b3b1eaee262f88213198e401ff9d50ad9a76016a5d064a4c1f1a3211da,87394c6e58c818db73594d64cde04a5d7f21fcd9139d04f1d6392e5f3e795821,0a021091a117886721188b1d08bd7041a7ff55c1511dd1a5cff4a680f4ee836f,51f68cd476eb513510dc3f9bd950b4bb1799eacb879177b8a1a1b64e4ae83211,cce55926e1bed4c15642c21ad8f7e6f4aabd94a134685d44f70dfc2ead0b06ef,cfeaa52591c380cca37dedd2099f6c48bb0b6849a67cdfcefd068e0749a3c011,1be9f106693ddade2de599ae13ce2646086e14606c9d088b6729428376142339,2bd684b1e6c18d97e44189e6f5d6b5c0b89299fd1218b9656830202f72b751d9,42ce5ccc8ed2396b5e606e2611dc4a33f665985864e54a71707d75a981625103,fb65e5b14118de9d3d887954d58190bb10dcb241bb9185065dfa5d932c90f877
"1","pkb_idle_normal","100","113511","1","1","-175","64","1","1010001","1.65"
"1","","1","pkb_talk_wish","","3","","","113511","1010002","0.2"
"1","","0","vo_minigame_1006_top_101","","21","","0","vo_minigame_1006","1010003",""
"1","0","8","今日も先生と一緒に\n頑張りましょうね～","0","11","0","0","113511","1010004","0"
"1","","","","","91","","","0","1010005",""
"1","","1","pkb_idle_normal","","3","","","113511","1010006","0.2"
"2","pkb_idle_normal","100","113511","1","1","-175","64","1","1020001","1.65"
"2","","1","pkb_talk_wish","","3","","","113511","1020002","0.2"
"2","","0","vo_minigame_1006_top_102","","21","","0","vo_minigame_1006","1020003",""
"2","0.5","6","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0","11","0","0","113511","1020004","0"
"2","","","","","93","","","6","1020005",""
"2","","0","pkb_talk_fun","","3","1","pkb_idle_normal","113511","1020006","0.2"
"2","","","","","91","","","1020004","1020007",""
"2","","1","pkb_idle_normal","","3","","","113511","1020008","0.2"
"3","pkb_idle_normal","100","113511","1","1","-175","64","1","1030001","1.65"
"3","","0","pkb_smile","0.2","3","1","pkb_idle_normal","113511","1030002","0.2"
"3","","0","vo_minigame_1006_top_103","","21","","0","vo_minigame_1006","1030003",""
"3","0","6","ケガには気を付けてね\n無理は禁物ですよ～♪","0","11","0","0","113511","1030004","0"
"3","","","","","93","","","2","1030005",""
"3","","1","pkb_talk_wish","","3","","","113511","1030006","0.2"
"3","","","","","91","","","1030004","1030007",""
"3","","1","pkb_idle_normal","","3","","","113511","1030008","0.2"
"4","pkb_idle_normal_l","100","3","1","5","-155","64","3","1040001","57"
"4","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","3","1040002","0.2"
"4","","0","vo_minigame_1006_top_601","","21","","0","vo_minigame_1006","1040003",""
"4","0","8","今日の練習も\n手加減しねえ！\nしっかりついてこい！","","11","0","0","3","1040004","0"
"4","","","","","91","","","0","1040005",""
"4","","1","pkb_idle_normal_l","","3","","","3","1040006","0.2"
"5","pkb_idle_normal_l","100","3","1","5","-155","64","3","1050001","57"
"5","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","3","1050002","0.2"
"5","","0","vo_minigame_1006_top_602","","21","","0","vo_minigame_1006","1050003",""
"5","0","8","おーし！\n気合いいれて\n練習すんぞー！","","11","0","0","3","1050004","0"
"5","","","","","93","","","2","1050005",""
"5","","0","pkb_talk_handsup_l","0.2","3","1","pkb_idle_normal_l","3","1050006","0.2"
"5","","","","","91","","","1050004","1050007",""
"5","","1","pkb_idle_normal_l","","3","","","3","1050008","0.2"
"6","pkb_idle_normal_l","100","3","1","5","-155","64","3","1060001","57"
"6","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","3","1060002","0.2"
"6","","0","vo_minigame_1006_top_603","","21","","0","vo_minigame_1006","1060003",""
"6","0","8","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","","11","0","0","3","1060004","0"
"6","","","","","93","","","3","1060005",""
"6","","0","pkb_talk_guts_l","","3","1","pkb_idle_guts_l","3","1060006","0.2"
"6","","","","","91","","","1060004","1060007",""
"6","","1","pkb_idle_normal_l","","3","","","3","1060008","0.2"
"7","pkb_idle_normal","100","113411","1","1","-175","64","1","1070001","1.65"
"7","","0","pkb_talk_fun","0.2","3","1","pkb_talk_joy1","113411","1070002","0.2"
"7","","0","vo_minigame_1006_top_201","","21","","0","vo_minigame_1006","1070003",""
"7","0","8","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","0","11","0","0","113411","1070004","0"
"7","","","","","93","","","3.4","1070005",""
"7","","0","pkb_talk_handsup","0.2","3","1","pkb_idle_normal","113411","1070006","0.2"
"7","","","","","91","","","1070004","1070007",""
"7","","1","pkb_idle_normal","","3","","","113411","1070008","0.2"
"8","pkb_idle_normal","100","113411","1","1","-175","64","1","1080001","1.65"
"8","","1","pkb_talk_joy2","","3","","","113411","1080002","0.2"
"8","","0","vo_minigame_1006_top_202","","21","","0","vo_minigame_1006","1080003",""
"8","-1","8","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","0","11","0","0","113411","1080004","0"
"8","","","","","93","","","3.6","1080005",""
"8","","0","pkb_hatsune_kiran","","3","","","113411","1080006","0.2"
"8","","","","","91","","","1080004","1080007",""
"8","","1","pkb_idle_normal","","3","","","113411","1080008","0.2"
"9","pkb_idle_normal","100","113411","1","1","-175","64","1","1090001","1.65"
"9","","1","pkb_talk_joy2","","3","","","113411","1090002","0.2"
"9","","0","vo_minigame_1006_top_203","","21","","0","vo_minigame_1006","1090003",""
"9","0","6","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","0","11","0","0","113411","1090004","0"
"9","","","","","93","","","3","1090005",""
"9","","0","pkb_surprise","0.2","3","1","pkb_idle_surprise1","113411","1090006","0.2"
"9","","","","","93","","","1","1090007",""
"9","","1","pkb_talk_joy3","","3","","","113411","1090008","0.2"
"9","","","","","91","","","1090004","1090009",""
"9","","1","pkb_idle_normal","","3","","","113411","1090010","0.2"
"10","pkb_idle_normal","100","106531","1","1","-175","64","1","1100001","1.65"
"10","","0","pkb_talk_arm_crossed","","3","1","pkb_idle_arm_crossed","106531","1100002","0.2"
"10","","0","vo_minigame_1006_top_301","","21","","0","vo_minigame_1006","1100003",""
"10","0","8","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","0","11","0","0","106531","1100004","0"
"10","","","","","93","","","2.8","1100005",""
"10","","1","pkb_talk_joy1","","3","","","106531","1100006","0.2"
"10","","","","","91","","","1100004","1100007",""
"10","","1","pkb_idle_normal","","3","","","106531","1100008","0.2"
"11","pkb_idle_normal","100","106531","1","1","-175","64","1","1110001","1.65"
"11","","1","pkb_talk_normal","","3","","","106531","1110002","0.2"
"11","","0","vo_minigame_1006_top_302","","21","","0","vo_minigame_1006","1110003",""
"11","0","8","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","0","11","0","0","106531","1110004","0"
"11","","","","","93","","","3.2","1110005",""
"11","","0","pkb_talk_arm_crossed","0.2","3","1","pkb_idle_arm_crossed","106531","1110006","0.2"
"11","","","","","91","","","1110004","1110007",""
"11","","1","pkb_idle_normal","","3","","","106531","1110008","0.2"
"12","pkb_idle_normal","100","106531","1","1","-175","64","1","1120001","1.65"
"12","","0","pkb_talk_arm_crossed","0.2","3","1","pkb_idle_arm_crossed","106531","1120002","0.2"
"12","","0","vo_minigame_1006_top_303","","21","","0","vo_minigame_1006","1120003",""
"12","0.5","8","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","0","11","0","0","106531","1120004","0"
"12","","","","","93","","","3.2","1120005",""
"12","","0","pkb_talk_doya","","3","1","pkb_idle_doya","106531","1120006","0.2"
"12","","","","","91","","","1120004","1120007",""
"12","","1","pkb_idle_normal","","3","","","106531","1120008","0.2"
"13","pkb_idle_normal","100","102311","1","1","-175","64","1","1130001","1.65"
"13","","0","pkb_talk_fun","0.4","3","1","pkb_talk_joy1","102311","1130002","0.2"
"13","","0","vo_minigame_1006_top_401","","21","","0","vo_minigame_1006","1130003",""
"13","0","8","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","0","11","0","0","102311","1130004","0"
"13","","","","","91","","","1130004","1130005",""
"13","","1","pkb_idle_normal","","3","","","102311","1130006","0.2"
"14","pkb_idle_normal","100","102311","1","1","-175","64","1","1140001","1.65"
"14","","1","pkb_talk_joy1","","3","","","102311","1140002","0.2"
"14","","0","vo_minigame_1006_top_402","","21","","0","vo_minigame_1006","1140003",""
"14","0","8","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","0","11","0","0","102311","1140004","0"
"14","","","","","93","","","3","1140005",""
"14","","0","pkb_talk_doya","","3","1","pkb_idle_doya","102311","1140006","0.2"
"14","","","","","91","","","1140004","1140007",""
"14","","1","pkb_idle_normal","","3","","","102311","1140008","0.2"
"15","pkb_idle_normal","100","102311","1","1","-175","64","1","1150001","1.65"
"15","","1","pkb_talk_wish","","3","","","102311","1150002","0.2"
"15","","0","vo_minigame_1006_top_403","","21","","0","vo_minigame_1006","1150003",""
"15","-0.5","8","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","0","11","0","0","102311","1150004","0"
"15","","","","","93","","","2.4","1150005",""
"15","","0","pkb_talk_fun","0.4","3","1","pkb_talk_joy1","102311","1150006","0.2"
"15","","","","","91","","","1150004","1150007",""
"15","","1","pkb_idle_normal","","3","","","102311","1150008","0.2"
"16","pkb_idle_normal_l","100","1","1","5","-155","64","1","1160001","57"
"16","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","1","1160002","0.2"
"16","","0","vo_minigame_1006_top_701","","21","","0","vo_minigame_1006","1160003",""
"16","0","8","全国大会を目指して\n今日も練習頑張ろう！","0","11","0","0","1","1160004","0"
"16","","","","","93","","","2.6","1160005",""
"16","","0","pkb_talk_doya_l","0.2","3","1","pkb_idle_doya_l","1","1160006","0.2"
"16","","","","","91","","","1160004","1160007",""
"16","","1","pkb_idle_normal_l","","3","","","1","1160008","0.2"
"17","pkb_idle_normal_l","100","1","1","5","-155","64","1","1170001","57"
"17","","0","pkb_talk_guts_l","","3","1","pkb_idle_guts_l","1","1170002","0.2"
"17","","0","vo_minigame_1006_top_702","","21","","0","vo_minigame_1006","1170003",""
"17","0","8","夢を叶えるために\n全力で練習に\n取り組もう！","0","11","0","0","1","1170004","0"
"17","","","","","91","","","0","1170005",""
"17","","1","pkb_idle_normal_l","","3","","","1","1170006","0.2"
"18","pkb_idle_normal_l","100","1","1","5","-155","64","1","1180001","57"
"18","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","1","1180002","0.2"
"18","","0","vo_minigame_1006_top_703","","21","","0","vo_minigame_1006","1180003",""
"18","0","8","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","0","11","0","0","1","1180004","0"
"18","","","","","93","","","2.9","1180005",""
"18","","0","pkb_talk_guts_l","","3","1","pkb_idle_guts_l","1","1180006","0.2"
"18","","","","","91","","","1180004","1180007",""
"18","","1","pkb_idle_normal_l","","3","","","1","1180008","0.2"
"19","pkb_idle_normal_l","100","2","1","5","-155","64","2","1190001","57"
"19","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","2","1190002","0.2"
"19","","0","vo_minigame_1006_top_801","","21","","0","vo_minigame_1006","1190003",""
"19","0","8","上達してるってとこ\n見せてやる\nオレだって選手なんだ","0","11","0","0","2","1190004","0"
"19","","","","","93","","","3.8","1190005",""
"19","","0","pkb_talk_guts_l","","3","1","pkb_idle_guts_l","2","1190006","0.2"
"19","","","","","91","","","1190004","1190007",""
"19","","1","pkb_idle_normal_l","","3","","","2","1190008","0.2"
"20","pkb_idle_normal_l","100","2","1","5","-155","64","2","1200001","57"
"20","","0","pkb_talk_guts_l","","3","1","pkb_idle_guts_l","2","1200002","0.2"
"20","","0","vo_minigame_1006_top_802","","21","","0","vo_minigame_1006","1200003",""
"20","0","8","今日もかっとばす\n遠慮せず全力で\nかかってこい","0","11","0","0","2","1200004","0"
"20","","","","","93","","","3.2","1200005",""
"20","","0","pkb_talk_doya_l","","3","1","pkb_idle_doya_l","2","1200006","0.2"
"20","","","","","91","","","1200004","1200007",""
"20","","1","pkb_idle_normal_l","","3","","","2","1200008","0.2"
"21","pkb_idle_normal_l","100","2","1","5","-155","64","2","1210001","57"
"21","","0","pkb_talk_arm_crossed_l","0.2","3","1","pkb_idle_arm_crossed_l","2","1210002","0.2"
"21","","0","vo_minigame_1006_top_803","","21","","0","vo_minigame_1006","1210003",""
"21","0","8","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","0","11","0","0","2","1210004","0"
"21","","","","","91","","","0","1210005",""
"21","","1","pkb_idle_normal_l","","3","","","2","1210006","0.2"
"22","pkb_idle_normal","100","113511","0","1","-150","-20","1","1220001","1.6"
"22","pkb_idle_normal","100","113411","1","1","-150","170","1","1220002","1.6"
"22","","1","pkb_talk_joy1","","3","","","113511","1220003","0.2"
"22","","0","vo_minigame_1006_top_talk_1_101","","21","","0","vo_minigame_1006","1220004",""
"22","-0.5","6","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","0","11","0","0","113511","1220005","0"
"22","","","","","91","","","0","1220006",""
"22","","1","pkb_idle_normal","","3","","","113511","1220007","0.2"
"22","","1","pkb_talk_joy1","","3","","","113411","1220008","0.2"
"22","","0","vo_minigame_1006_top_talk_1_202","","21","","0","vo_minigame_1006","1220009",""
"22","-0.5","6","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","0","11","0","0","113411","1220010","0"
"22","","","","","93","","","4","1220011",""
"22","","0","pkb_talk_handsup","0","3","1","pkb_idle_normal","113411","1220012","0.2"
"22","","","","","91","","","1220010","1220013",""
"22","","1","pkb_idle_normal","","3","","","113411","1220014","0.2"
"23","pkb_idle_normal","100","113411","1","1","-150","170","1","1230001","1.6"
"23","pkb_idle_normal","100","113511","0","1","-150","-20","1","1230002","1.6"
"23","","1","pkb_talk_normal","","3","","","113411","1230003","0.2"
"23","","0","vo_minigame_1006_top_talk_2_201","","21","","0","vo_minigame_1006","1230004",""
"23","-1.5","8","ミサト先生も一緒に\n応援しようよ！","0","11","0","0","113411","1230005","0"
"23","","","","","91","","","0","1230006",""
"23","","1","pkb_idle_normal","","3","","","113411","1230007","0.2"
"23","","1","pkb_talk_normal","","3","","","113511","1230008","0.2"
"23","","0","vo_minigame_1006_top_talk_2_102","","21","","0","vo_minigame_1006","1230009",""
"23","3","5","あらあら\n楽しそうね～♪\nフレーフレー！","0","11","0","0","113511","1230010","0"
"23","","","","","93","","","4","1230011",""
"23","","0","pkb_talk_fun","0.2","3","0","pkb_talk_fun","113511","1230012","0.2"
"23","","","","","93","","","2.7","1230013",""
"23","","0","pkb_idle_normal","0.2","3","1","pkb_talk_joy1","113511","1230014","0.2"
"23","","","","","91","","","1230010","1230015",""
"23","","1","pkb_idle_normal","","3","","","113511","1230016","0.2"
"24","pkb_idle_normal","100","113511","1","1","-150","170","1","1240001","1.6"
"24","pkb_idle_normal","100","3","0","5","-130","-20","3","1240002","55"
"24","","1","pkb_talk_joy3","","3","","","113511","1240003","0.2"
"24","","0","vo_minigame_1006_top_talk_3_101","","21","","0","vo_minigame_1006","1240004",""
"24","-1","6","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","0","11","0","0","113511","1240005","0"
"24","","","","","93","","","4","1240006",""
"24","","1","pkb_talk_wish","","3","","","113511","1240007","0.2"
"24","","","","","91","","","1240005","1240008",""
"24","","1","pkb_idle_normal","","3","","","113511","1240009","0.2"
"24","","1","pkb_talk_normal","","3","","","3","1240010","0.2"
"24","","0","vo_minigame_1006_top_talk_3_602","","21","","0","vo_minigame_1006","1240011",""
"24","-1","6","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","0","11","0","0","3","1240012","0"
"24","","","","","93","","","2","1240013",""
"24","","0","pkb_talk_doya","","3","1","pkb_idle_doya","3","1240014","0.2"
"24","","","","","91","","","1240012","1240015",""
"24","","1","pkb_idle_normal","","3","","","3","1240016","0.2"
"25","pkb_idle_normal","100","3","0","5","-130","-20","3","1250001","55"
"25","pkb_idle_normal","100","113511","1","1","-150","170","1","1250002","1.6"
"25","","0","pkb_talk_arm_crossed","0.2","3","1","pkb_idle_arm_crossed","3","1250003","0.2"
"25","","0","vo_minigame_1006_top_talk_4_601","","21","","0","vo_minigame_1006","1250004",""
"25","-0.5","8","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","0","11","0","0","3","1250005","0"
"25","","","","","93","","","3","1250006",""
"25","","0","pkb_talk_guts","","3","1","pkb_idle_guts","3","1250007","0.2"
"25","","","","","91","","","1250005","1250008",""
"25","","1","pkb_idle_normal","","3","","","3","1250009","0.2"
"25","","1","pkb_talk_wish","","3","","","113511","1250010","0.2"
"25","","0","vo_minigame_1006_top_talk_4_102","","21","","0","vo_minigame_1006","1250011",""
"25","1","6","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","0","11","0","0","113511","1250012","0"
"25","","","","","93","","","5.6","1250013",""
"25","","0","pkb_talk_handsup","0.2","3","1","pkb_idle_normal","113511","1250014","0.2"
"25","","","","","91","","","0","1250015",""
"25","","1","pkb_idle_normal","","3","","","113511","1250016","0.2"
"26","pkb_idle_normal","100","113511","1","1","-150","170","1","1260001","1.6"
"26","pkb_idle_normal","100","1","0","5","-130","-20","1","1260002","55"
"26","","1","pkb_talk_joy3","","3","","","113511","1260003","0.2"
"26","","0","vo_minigame_1006_top_talk_5_101","","21","","0","vo_minigame_1006","1260004",""
"26","0","6","ふふ、先生も\n練習のお手伝いを\nしますからね～","0","11","0","0","113511","1260005","0"
"26","","","","","91","","","0","1260006",""
"26","","1","pkb_idle_normal","","3","","","113511","1260007","0.2"
"26","","0","pkb_talk_guts","0.2","3","1","pkb_idle_guts","1","1260008","0.2"
"26","","0","vo_minigame_1006_top_talk_5_702","","21","","0","vo_minigame_1006","1260009",""
"26","-1","8","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","0","11","0","0","1","1260010","0"
"26","","","","","91","","","0","1260011",""
"26","","1","pkb_idle_normal","","3","","","1","1260012","0.2"
"27","pkb_idle_normal","100","1","0","5","-130","-20","1","1270001","55"
"27","pkb_idle_normal","100","113511","1","1","-150","170","1","1270002","1.6"
"27","","0","pkb_talk_arm_crossed","0.2","3","1","pkb_idle_arm_crossed","1","1270003","0.2"
"27","","0","vo_minigame_1006_top_talk_6_701","","21","","0","vo_minigame_1006","1270004",""
"27","-0.5","8","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","0","11","0","0","1","1270005","0"
"27","","","","","93","","","2.6","1270006",""
"27","","0","pkb_talk_guts","0.2","3","1","pkb_idle_guts","1","1270007","0.2"
"27","","","","","91","","","1270005","1270008",""
