f17c9b7ce4d0441e72281a216ea35128d6c40d2e8b56feb2d3aea80be3239083,2b452372258f219d82e8b22cfb04c3398f23991c5f35f40afc132b4d52590b1c,dcf4099594ab5be0993f3fc75b9b83e82db90f70900cbcd7ad02f8f9cc424d46,cdc028a19f88f1458213605a6d40842fd86b68bea8f630e40545c35adffa9e5b,87c02b41aa702ab320e4cd278098b5b285733c5747575a2bf713de41c6ee6c72,d55bf7b98876bcb41b3d07ad8a4f6be606746e6993692f54200313b9bc7490fc,dc664ecb4469afac9e563f244720b13768d6f15208bc91e365858b3aedc38ed3,aed50b741ef16081752900fe99a6339542b0882f41849bc2a9e3b534bdd5f9f1,6a4c678024dc14f4de75d6cbb9da3cfa34855460385c8302aba1bbd6f0e33241,5bd4b4d6d1a5b49662cc4ab3edcf897ac6af4a480b6e420f90cc532af0f1e94c,72671aeda27d9a7335f4158a12e3b570b1ac6d5e5e6c6d905dcb0aea83dfd952,d657c0f63d83bcc3a21649ff38508c1e0744f88f506a7bf841cac2e0ba229f95
"101","1","0","2","0","4","104","0","0","0","1","11041"
"201","2","0","3","0","2","14","0","0","1","2","10141"
"301","3","0","2","0","2","103","0","0","2","3","11031"
"401","4","0","1","0","1","102","0","0","3","4","11021"
"501","5","0","2","0","4","104","0","0","4","5","11041"
"601","6","0","3","0","1","1","0","0","5","6","10011"
"701","7","0","4","0","3","101","0","0","6","7","11011"
"801","8","0","3","0","1","100","0","0","7","8","11001"
"901","9","0","2","0","4","104","0","0","8","9","11041"
"1001","10","0","3","0","2","1","0","0","9","10","10011"
"1101","11","0","4","0","1","51","0","0","10","11","10511"
"1201","12","0","3","0","2","52","0","0","11","12","10521"
"1301","13","0","2","0","4","104","0","0","12","13","11041"
"1401","14","0","1","0","1","103","0","0","13","14","11031"
"1501","15","0","2","0","1","102","0","0","14","15","11021"
"1601","16","0","3","0","1","1","0","0","15","16","10011"
"1701","17","0","2","0","4","104","0","0","16","17","11041"
"1801","18","0","3","0","2","50","0","0","17","18","10501"
"1901","19","0","4","0","3","101","0","0","18","19","11011"
"2001","20","0","3","0","2","100","0","0","19","20","11001"
"2101","21","0","2","0","4","104","0","0","20","21","11041"
"2201","22","0","1","0","3","1","0","0","21","22","10011"
"2301","23","0","3","0","2","100","0","0","22","23","11001"
"2401","24","0","2","0","2","101","0","0","23","24","11011"
"2501","25","0","3","0","4","104","0","0","24","25","11041"
"2601","26","0","4","0","3","50","0","0","25","26","10501"
"2701","27","0","3","0","3","52","0","0","26","27","10521"
"2801","28","0","1","0","1","50","0","0","27","28","10501"
"2901","29","0","2","0","4","104","0","0","28","29","11041"
"3001","30","0","1","0","3","51","0","0","29","30","10511"
"3101","31","0","2","0","2","100","0","0","30","31","11001"
"3201","32","0","3","0","1","101","0","0","31","32","11011"
"3301","33","0","4","0","4","104","0","0","32","33","11041"
"3401","34","0","3","0","3","100","0","0","33","34","11001"
"3501","35","0","2","0","4","104","0","0","34","35","11041"
"3601","36","0","3","0","2","103","0","0","35","36","11031"
"3701","37","0","2","0","1","102","0","0","36","37","11021"
"3801","38","0","1","0","2","50","0","0","37","38","10501"
"3901","39","0","3","0","3","102","0","0","38","39","11021"
"4001","40","0","4","0","4","104","0","0","39","40","11041"
"4101","41","0","3","0","1","100","0","0","40","41","11001"
"4201","42","0","2","0","3","52","0","0","41","42","10521"
"4301","43","0","1","0","4","104","0","0","42","43","11041"
"4401","44","0","2","0","1","103","0","0","43","44","11031"
"4501","45","0","1","0","4","104","0","0","44","45","11041"
"4601","46","0","3","0","3","101","0","0","45","46","11011"
"4701","47","0","4","0","1","102","0","0","46","47","11021"
"4801","48","0","2","0","4","104","0","0","47","48","11041"
"4901","49","0","3","0","2","103","0","0","48","49","11031"
"5001","50","0","2","0","4","104","0","0","49","50","11041"
"5101","51","0","1","0","2","101","0","0","50","51","11011"
"5201","52","0","2","0","3","102","0","0","51","52","11021"
"5301","53","0","3","0","4","104","0","0","52","53","11041"
"5401","54","0","4","0","1","52","0","0","53","54","10521"
"5501","55","0","3","0","3","103","0","0","54","55","11031"
"5601","56","0","4","0","4","104","0","0","55","56","11041"
"5701","57","0","2","0","1","100","0","0","56","57","11001"
"5801","58","0","3","0","3","101","0","0","57","58","11011"
"5901","59","0","4","0","2","103","0","0","58","59","11031"
"6001","60","0","3","0","4","104","0","0","59","60","11041"
"6101","61","0","1","0","1","102","0","0","60","61","11021"
"6201","62","0","2","0","3","50","0","0","61","62","10501"
"6301","63","0","1","0","4","104","0","0","62","63","11041"
"6401","64","0","2","0","2","103","0","0","63","64","11031"
"6501","65","0","3","0","1","102","0","0","64","65","11021"
"6601","66","0","2","0","4","104","0","0","65","66","11041"
