5f71ac9287c646a79ec48944e3c520f68de66ddf7e0286752f92e5854161fc61,a55cd2c8c08686786eb690cf3d9f45aca45974ab338f0adb8805e9dbdc3455c2,e8b9583814cbe439411f97c7ed33e572cfca877fcc4a63164a77191dae6d104f,b5c4b70472309bef211928d046e66e632cb42342f832e5454b16ed67d7df9c6e,86e59fcf8d07facc4f73d19d1051cfbf97ead9c9a78dcd0413e8f72569f630d6,2426895972496fbdf335f1a98bee40b6a795442ef1a5dadb2ee2e7a700c32b55,e26208e1fb49bac57131dcbe390c593736cc7fee272329b8525510fe7ea71f61,e9fe1d439ee8169a76eaab6a83ae37d9829e3dfc311c1f5464401a72c46c8c29,9c1150021799089b021dcf8670aa6a8223507b0007f4e4b8e5641c465628008c,7e578c3e2662e692c0722af2e237c4f106dacb6232b2aae017929bfc8b32c995,5f6aa8b82dbfd16a5f87520c4530a2001b218a261d282fac65aed43e440c2ea6,35ea40022c36e70f4712a1252431ffe29c01303641c9531bc406ac7d7b4871f0,224a6ceeea887b00ec5379378d12a0ceb7d9ca861aa4a989fa1e314d7ef0b9bb,57316453634f110f1643b230cb94e7d441ea9964351dc28a848bc65d40d93422,56aa2a6a83ef849261ae7374d46b6078e76cbe820a756ff072b80be9e2386ecc
"1","1","1st Round Clear！","80001","32001","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001001","0","0","3200101"
"2","1","2nd Round Clear！","80001","32001","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001002","0","0","3200102"
"3","1","3rd Round Clear！","80001","32001","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001003","0","0","3200103"
"4","1","4th Round Clear！","80001","32001","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001004","0","0","3200104"
"5","1","CONQUEST！","80001","32001","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001005","0","0","3200105"
"1","1","1st Round Clear！","80001","32002","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001001","0","0","3200201"
"2","1","2nd Round Clear！","80001","32002","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001002","0","0","3200202"
"3","1","3rd Round Clear！","80001","32002","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001003","0","0","3200203"
"4","1","4th Round Clear！","80001","32002","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001004","0","0","3200204"
"5","1","CONQUEST！","80001","32002","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","2015/04/01 15:00:00","603","1004110","0","32001005","0","0","3200205"
