0e06697ede36037c2a43581e76ed458025a35f390787239b2950a1f528fd44e0,a5f89a893cc280fae4145b7e0d32925f508a50f6d7e1aaab47c8db7db1e90255,548ecf1b83d788fcca7090878ce5c413111da31e3e08d2ec0beb7662a14b75db,3ea31aec89f4387024e977c705f86edef72c0b74f3dcae3ca039c6db7a27bcf0,8c6043c0ef79dedcb1a9bcb003908cfbc32b0ebc86194f68fea4dec2fa9fb40c,245ebadf2c92bf279c624bc48682c36f89004041517bad5453e3065218aa0621,18ff0ab06eb7f60acfc3a9808c222d6b16b04dedf8acf97b8e33341ce627a7f2,5404b95bfbe1b92e209936bb125f30ffba21a77e4a4e682eb5e5066dff7bf9a8,3ab9a7f36c0b1101dc33e7d9e9294ca3839180a60ea5b6a8d6518411f3133eb8,7f3b4620eabd5a6fa65049b8124726342544eea8e313f28dc1f55aac969c1526,0c66e231c818b51542e5d095684740e88308d38d4026a5dc906eab6c6e69f500,6e793b291f5cb42de97f2775856547584b997b61789222e30ff4397190b4385d,6ee8494d99d384719dea2da0dcd81943653ab8e41896e7a3437d2b36d802ff09,a3f5681b491afd33e38a8f781a0c8c000fd55552f868cc187c54dfdc7eb624c3,5e98c00d5503fbc69ce7642ec2fd862d35e9b4911d047e46aaaee6189a38963e,31588a0b7a9cd296ad3a7ff231c3e5f0f1548b536ee753dd8aa2e8e6a1c4282f,035d5ed2ba35e00f7ffcafe74a17ba11fb7645c7bd6cfb217ca75d1e20d63460,bfc6b9e6d1ecf3fbdf9544ec825d538a507251be2b79175cf36380bb0c4213bf,9f159a91c27cadeac940e768af52ad99cdd46d714fbc02eeacc13324a90f256f,415d54a2db5cc72fca5377314df8d9efbf8a3091ca727800df62646ac4d0b894
"1001002","100100201","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100111","1001","1"
"1001008","100100801","0","0","0","0","-840","1","0","0","0","0","0","0","0","0","0","0","1001","1"
"1001011","100101101","0","1","0","0","0","0","0","0","0","0","0","1001011","0","0","0","100131","1001","1"
"1001011","100101102","0","1","0","0","0","0","0","0","0","0","0","1001011","0","0","0","100131","1001","1"
"1002001","100200101","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100211","1002","1"
"1002008","100200801","0","0","0","0","-920","1","0","0","0","0","0","0","0","0","0","0","1002","1"
"1002011","100201101","0","0","0","0","-920","1","0","0","0","0","0","0","0","0","0","0","1002","1"
"1002011","100201102","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100231","1002","1"
"1003003","100300301","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100311","1003","1"
"1003008","100300801","0","0","0","0","-820","1","0","0","0","0","0","0","0","0","0","0","1003","1"
"1003011","100301101","0","1","0","0","0","0","0","0","0","0","0","1003011","0","0","0","100332","1003","1"
"1003011","100301102","0","1","0","0","0","0","0","0","0","0","0","1003011","0","0","0","100332","1003","1"
"1004007","100400701","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100411","1004","1"
"1004008","100400801","0","0","0","0","-900","1","0","0","0","0","1","0","0","0","0","0","1004","1"
"1004011","100401101","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100431","1004","1"
"1005006","100500601","0","1","0","0","0","0","0","0","0","0","0","1005006","0","0","0","100511","1005","1"
"1005006","100500602","0","1","0","0","0","0","0","0","0","0","0","1005006","0","0","0","100511","1005","1"
"1005006","100500603","0","1","0","0","0","0","0","0","0","0","0","1005006","0","0","0","100511","1005","1"
"1005008","100500801","0","0","0","0","-840","1","0","0","0","0","1","0","0","0","0","0","1005","1"
"1005011","100501101","0","1","0","0","0","0","0","0","0","0","0","1005011","0","0","0","100531","1005","1"
"1005011","100501102","0","1","0","0","0","0","0","0","0","0","0","1005011","0","0","0","100531","1005","1"
"1006003","100600301","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100611","1006","1"
"1006008","100600801","0","0","0","0","-840","1","0","0","0","0","1","0","0","0","0","0","1006","1"
"1006011","100601101","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100631","1006","1"
"1007001","100700101","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100711","1007","1"
"1007008","100700801","0","0","0","0","-800","1","0","0","0","0","1","0","0","0","0","0","1007","1"
"1007011","100701101","0","1","0","0","0","0","0","0","0","0","0","1007011","0","0","0","100731","1007","1"
"1007011","100701102","0","1","0","0","0","0","0","0","0","0","0","1007011","0","0","0","100731","1007","1"
"1008001","100800101","0","1","0","0","0","0","0","0","0","0","0","1008001","0","0","0","100811","1008","1"
"1008001","100800102","0","1","0","0","0","0","0","0","0","0","0","1008001","0","0","0","100811","1008","1"
"1008004","100800401","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1008","1"
"1008011","100801101","0","1","0","0","0","0","0","0","0","0","0","1008011","0","0","0","100832","1008","1"
"1008011","100801102","0","1","0","0","0","0","0","0","0","0","0","1008011","0","0","0","100832","1008","1"
"1009001","100900101","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","100911","1009","1"
"1009008","100900801","0","0","0","0","-960","1","0","0","0","0","1","0","0","0","0","0","1009","1"
"1009011","100901101","0","1","0","100931","0","0","0","0","0","0","0","1009011","0","0","0","100011","1009","1"
"1009011","100901102","0","1","0","100931","0","0","0","0","0","0","0","1009011","0","0","0","100011","1009","1"
"1010006","101000601","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","101011","1010","1"
"1010008","101000801","0","0","0","0","-890","1","0","0","0","0","1","0","0","0","0","0","1010","1"
"1010011","101001101","0","1","0","0","0","0","0","0","0","0","0","1010011","0","0","0","101032","1010","1"
