e144b60c2b46e6ba311bf33ea71416ec6448d3492f3629d61b9cfd8484ec3fe2,acc0ef9b648295616d8f2e4931435000113d0e2e9daf7bdf7ffe2e800aefba8a,ef13d47f86c3499ddc36a32609093f8986ed9b2824d45ef0022c8eabb52f3791,d518f8dda6ede4523846aa477cc5bce6335cb8d4b2bbbabdd1635708b0dc7d4f,58df2aab3afc11474fa4fc80b2603a15f80909e91d2f865d266effcd0341b7ad,ce281268cb1987dc88c8406c1af8347ae6c582b90c4988198be852aef238db96
"2999180","0","1","3000","0","100111"
"2999101","0","1","10000","0","100112"
"2999167","0","1","10000","0","100121"
"2999168","0","1","10000","0","100122"
"2999169","0","1","10000","0","100123"
"2999170","0","1","10000","0","100124"
"2999171","0","1","10000","0","100125"
"2999172","0","1","5000","0","100131"
"2999173","0","1","5000","0","100132"
"2999174","0","1","5000","0","100133"
"2999175","0","1","5000","0","100134"
"2999176","0","1","5000","0","100135"
"2999182","0","1","10000","0","100211"
"2999102","0","1","100000","0","100221"
"2999103","0","1","40000","0","100231"
"2999102","0","1","100000","0","100232"
"2999184","0","1","10000","0","100311"
"2999183","0","1","200000","0","100321"
"2999185","0","1","1000000","0","100331"
"2999186","0","1","50000","0","100332"
"2999187","0","1","50000","0","100333"
"2999188","0","1","50000","0","100334"
"2999189","0","1","50000","0","100335"
"2999104","0","1","3000","0","100411"
"2999177","0","1","110","0","100412"
"2999105","0","1","5000","0","100421"
"2999178","0","1","130","0","100422"
"2999106","0","1","7000","0","100431"
"2999179","0","1","160","0","100432"
"2999190","0","1","3300","0","100511"
"2999107","0","1","20000","0","100521"
"2999108","0","1","20000","0","100522"
"2999109","0","1","20000","0","100523"
"2999110","0","1","20000","0","100524"
"2999111","0","1","20000","0","100525"
"2999112","0","1","20000","0","100531"
"2999113","0","1","20000","0","100532"
"2999114","0","1","20000","0","100533"
"2999115","0","1","20000","0","100534"
"2999116","0","1","20000","0","100535"
"14","0","14","5","0","110011"
"2999117","0","1","10000","0","110021"
"2999120","0","1","10000","0","110031"
"16","0","14","2","0","110041"
"2999101","0","1","1000","0","110051"
"105","0","14","2000","0","120011"
"2999121","0","1","5000","0","120021"
"2999124","0","1","5000","0","120031"
"2999127","0","1","1000","0","120041"
"2999128","0","1","1000","0","120051"
"2999129","0","1","1000","0","130011"
"100","0","14","1000","0","130021"
"101","0","14","1000","0","130022"
"107","0","14","3000","0","130031"
"6","0","14","1000","0","130041"
"7","0","14","1000","0","130042"
"9","0","14","10","0","130051"
"108","0","14","3000","0","140011"
"2999132","0","1","5000","0","140021"
"2999133","0","1","5000","0","140031"
"2","0","14","2000","0","140041"
"4","0","14","2000","0","140042"
"3","0","14","1000","0","140051"
"5","0","14","1000","0","140052"
"110","0","14","1000","0","150011"
"1","0","14","1000","0","150021"
"2999134","0","1","50000","0","150031"
"2999135","0","1","50000","0","150032"
"2999136","0","1","50000","0","150033"
"2999137","0","1","50000","0","150034"
"2999138","0","1","50000","0","150035"
"2999149","0","1","50000","0","150041"
"2999150","0","1","50000","0","150042"
"2999151","0","1","50000","0","150043"
"2999152","0","1","50000","0","150044"
"2999153","0","1","50000","0","150045"
"2999164","0","1","5000","0","150051"
"14","0","14","10","0","210011"
"2999118","0","1","20000","0","210021"
"2999120","0","1","20000","0","210031"
"16","0","14","4","0","210041"
"2999101","0","1","2000","0","210051"
"105","0","14","4000","0","220011"
"2999122","0","1","10000","0","220021"
"2999125","0","1","10000","0","220031"
"2999127","0","1","2000","0","220041"
"2999128","0","1","2000","0","220051"
"2999129","0","1","2000","0","230011"
"100","0","14","2000","0","230021"
"101","0","14","2000","0","230022"
"107","0","14","6000","0","230031"
"6","0","14","2000","0","230041"
"7","0","14","2000","0","230042"
"9","0","14","20","0","230051"
"108","0","14","6000","0","240011"
"2999132","0","1","10000","0","240021"
"2999133","0","1","10000","0","240031"
"2","0","14","4000","0","240041"
"4","0","14","4000","0","240042"
"3","0","14","2000","0","240051"
"5","0","14","2000","0","240052"
"110","0","14","2000","0","250011"
"1","0","14","2000","0","250021"
"2999139","0","1","100000","0","250031"
"2999140","0","1","100000","0","250032"
"2999141","0","1","100000","0","250033"
"2999142","0","1","100000","0","250034"
"2999143","0","1","100000","0","250035"
"2999154","0","1","100000","0","250041"
"2999155","0","1","100000","0","250042"
"2999156","0","1","100000","0","250043"
"2999157","0","1","100000","0","250044"
"2999158","0","1","100000","0","250045"
"2999165","0","1","10000","0","250051"
"104","0","14","10000","0","300011"
"14","0","14","15","0","310011"
"2999119","0","1","30000","0","310021"
"2999120","0","1","30000","0","310031"
"16","0","14","6","0","310041"
"2999101","0","1","3000","0","310051"
"14","0","14","100","0","310061"
"105","0","14","6000","0","320011"
"2999123","0","1","15000","0","320021"
"2999126","0","1","15000","0","320031"
"2999127","0","1","3000","0","320041"
"2999128","0","1","3000","0","320051"
"2999192","0","1","2500","0","320061"
"2999129","0","1","3000","0","330011"
"100","0","14","3000","0","330021"
"101","0","14","3000","0","330022"
"107","0","14","9000","0","330031"
"6","0","14","3000","0","330041"
"7","0","14","3000","0","330042"
"9","0","14","30","0","330051"
"107","0","14","50000","0","330061"
"9","0","14","50","0","330062"
"108","0","14","9000","0","340011"
"2999132","0","1","15000","0","340021"
"2999133","0","1","15000","0","340031"
"2","0","14","6000","0","340041"
"4","0","14","6000","0","340042"
"3","0","14","3000","0","340051"
"5","0","14","3000","0","340052"
"2999191","0","1","5000","0","340061"
"110","0","14","3000","0","350011"
"1","0","14","3000","0","350021"
"2999144","0","1","150000","0","350031"
"2999145","0","1","150000","0","350032"
"2999146","0","1","150000","0","350033"
"2999147","0","1","150000","0","350034"
"2999148","0","1","150000","0","350035"
"2999159","0","1","150000","0","350041"
"2999160","0","1","150000","0","350042"
"2999161","0","1","150000","0","350043"
"2999162","0","1","150000","0","350044"
"2999163","0","1","150000","0","350045"
"2999166","0","1","15000","0","350051"
"1","0","14","10000","0","350061"
"1","0","14","1500","0","400011"
"102","0","14","1500","0","400012"
"103","0","14","1500","0","400013"
"104","0","14","5000","0","400021"
"10","0","8","0","0","400031"
"100","0","14","5000","0","400041"
"101","0","14","5000","0","400042"
"6","0","14","-2500","0","400043"
"7","0","14","-2500","0","400044"
"40005","0","2","1","0","400051"
"2","0","14","1500","0","400061"
"4","0","14","1500","0","400062"
"108","0","14","1500","0","400063"
"2999193","0","1","50000","0","400071"
"2999194","0","1","50000","0","400081"
"3000","0","4","0","0","400091"
"-30","0","6","0","0","400092"
"109","0","14","2000","0","400101"
"2","1","14","400","25","500011"
"4","1","14","400","25","500012"
"0","0","12","0","0","500021"
"107","30","14","1","10000","500031"
"2999130","0","1","2500","0","500041"
"50005","0","3","1","0","500051"
"2999195","0","1","50000","0","500061"
"2999196","0","1","50000","0","500062"
"2999197","0","1","50000","0","500071"
"2999198","0","1","50000","0","500072"
"2999199","0","1","50000","0","500073"
"2999200","0","1","50000","0","500074"
"2999201","0","1","50000","0","500075"
"2999202","0","1","50000","0","500081"
"100","30","14","1","10000","500091"
"101","30","14","1","10000","500092"
"2999203","0","1","50000","0","500101"
