76a8e6933031c4e1374f0797e950bfd886fe976c71fa9a14097fd0eb3926b9f5,891f2f0a6cb052e56b34b07ba96419166b0eaa5a512ab60a4bc498c3dad49fc4,ae35a9ae8e196dd7858c10fb2c76dec1b719fb197a8b5167eca150c178db48d9
"1","114601","1"
"2","114701","2"
"3","115601","3"
"4","115801","5"
"5","116801","6"
"6","117401","7"
"7","117801","8"
"8","119201","9"
"9","120801","10"
"10","121201","12"
"11","122101","13"
"12","122401","14"
"13","122801","15"
"14","123501","16"
"15","124101","17"
"16","124701","20"
"17","124901","21"
"18","125701","22"
"19","126701","24"
"20","127001","25"
"21","128301","27"
"22","128801","28"
"23","105801","29"
"24","105901","30"
"25","106001","31"
"26","106401","32"
