63a5058001c9f3a337f74996151ba49b540d98ad99081d769ea1657b5e71b8f0,d4ee17c683f99f909153748837b325f101c10bf1e2219dd1277b55a53308d784,4a7676e7741f0d53803ca1de448526790187cab84f6094706bd0c41892e9ebf4,1c6c16b23200ca6b51ee3e843570e65df97cf086bd14990a91f650c078d93603,33cbccd19305c9e2ae3bb5de45d1b8bfda86b4520b443c73d929c726362f0bdf,aff445f2e64def5f5978e987ec0be3a96a999a6cecffc51b8132b26c1e62c94c,9cc3aade1544d57cbc58f1e447b232674986813972cd6054e8f8b5dbd3403912,ddf892491fe30e7a93d449fe9e065d16f3f0c6decf5978efbee809cc8f578aef,7b3abed053604f0a6e313419b41d58a0375a2431a3b83a33c2e14f305dd231ce,066ae74d555f7a311cc4c7678ca037c3f4d7b6ac787c6281bac5fc603b568026,06194a8f8c171062dae6f96d31640105d37f7e88bde17ea296cc0fa6d516a285,20ff79ef5660e3f045e27ca44c3772ee9e93453737c3772476df0433c8124b6f,9858cf94bd05c6080abd9c724aa6dacaff6c1393d1ef71da5ba4c58c0058ef78,4ebf2fb6fb0698f57c267620bf833cb6b6d75e36f2e2ee6eb5728778f678996a,4138af59d7badeb865e5bcb94092c7f9d0122f20669a65bd63c10f9e8e8a15e4,ff6a24d305e3c799d99868aec3ef8736b9e4560257e40942c956d31967a74e7b,39fcaf00a00230eb91ee6ac471035082ff040f4f77b293cd7897e3e34b328c5c,f04fd7e1d04ca22d96804a35b6ee93269292ce9901e93d43274d5b6e8b3743e6,3098a71d11cd24dc5a6e103d52ea70272304c6b53dd69ec3a48f5d63928cbe00,9c8d705e4d06f65427e1e14e26162ee82e911c2a2325e71a38ac4c10ce0e6fbb,0fdae240239147f1e25de167d64512d3c528a13592dbe7f4d950017d3d8e98d5
"1","30","0","0","1","90006","0","0","2","30","0","0","2","91002","5000","0","8","1","1001","5000","31043"
"2","100","0","0","31","90006","0","0","2","25","0","0","2","91002","4500","0","8","1","1001","4500","31043"
"3","300","0","0","101","90006","0","0","2","20","0","0","2","91002","4000","0","8","1","1001","4000","31043"
"4","1000","0","0","301","90006","0","0","2","18","0","0","2","91002","3500","0","8","1","1001","3500","31043"
"5","2000","0","0","1001","90006","0","0","2","16","0","0","2","91002","3000","0","8","1","1001","3000","31043"
"6","5000","0","0","2001","90006","0","0","2","14","0","0","2","91002","2000","0","8","1","1001","2000","31043"
"7","10000","0","0","5001","90006","0","0","2","12","0","0","2","91002","1500","0","8","1","1001","1500","31043"
"8","20000","0","0","10001","90006","0","0","2","10","0","0","2","91002","1000","0","8","1","1001","1000","31043"
"9","-1","0","0","20001","90006","0","0","2","5","0","0","2","91002","500","0","8","1","1001","500","31043"
"10","20","0","0","1","90006","0","0","2","30","0","0","2","91002","5000","0","8","1","1002","5000","31022"
"11","100","0","0","21","90006","0","0","2","25","0","0","2","91002","4500","0","8","1","1002","4500","31022"
"12","250","0","0","101","90006","0","0","2","20","0","0","2","91002","4000","0","8","1","1002","4000","31022"
"13","500","0","0","251","90006","0","0","2","18","0","0","2","91002","3500","0","8","1","1002","3500","31022"
"14","1000","0","0","501","90006","0","0","2","16","0","0","2","91002","3000","0","8","1","1002","3000","31022"
"15","2000","0","0","1001","90006","0","0","2","14","0","0","2","91002","2500","0","8","1","1002","2500","31022"
"16","3000","0","0","2001","90006","0","0","2","12","0","0","2","91002","2000","0","8","1","1002","2000","31022"
"17","5000","0","0","3001","90006","0","0","2","10","0","0","2","91002","1500","0","8","1","1002","1500","31022"
"18","10000","0","0","5001","90006","0","0","2","8","0","0","2","91002","1000","0","8","1","1002","1000","31022"
"19","-1","0","0","10001","90006","0","0","2","5","0","0","2","91002","500","0","8","1","1002","500","31022"
"20","20","0","0","1","90006","0","0","2","30","0","0","2","91002","5000","0","8","1","1003","5000","31042"
"21","100","0","0","21","90006","0","0","2","25","0","0","2","91002","4500","0","8","1","1003","4500","31042"
"22","250","0","0","101","90006","0","0","2","20","0","0","2","91002","4000","0","8","1","1003","4000","31042"
"23","500","0","0","251","90006","0","0","2","18","0","0","2","91002","3500","0","8","1","1003","3500","31042"
"24","1000","0","0","501","90006","0","0","2","16","0","0","2","91002","3000","0","8","1","1003","3000","31042"
"25","2000","0","0","1001","90006","0","0","2","14","0","0","2","91002","2500","0","8","1","1003","2500","31042"
"26","3000","0","0","2001","90006","0","0","2","12","0","0","2","91002","2000","0","8","1","1003","2000","31042"
"27","5000","0","0","3001","90006","0","0","2","10","0","0","2","91002","1500","0","8","1","1003","1500","31042"
"28","10000","0","0","5001","90006","0","0","2","8","0","0","2","91002","1000","0","8","1","1003","1000","31042"
"29","-1","0","0","10001","90006","0","0","2","5","0","0","2","91002","500","0","8","1","1003","500","31042"
"30","20","0","0","1","90006","0","0","2","30","0","0","2","91002","5000","0","8","1","1004","5000","31018"
