bee5d1b6d7aeb62eeb31a8ed3b5e7a293a95fd6bd3786326267c38f3186f3275,e08ba810f55404f29521e9b32c957277d3b3fd7c1ad9e2af1e251373399df397,0ea32a9c85385236c3ac8dd2f974e30606a1c4a947647feeeafa71bb7ae4ba39,16ce28418e77f7d989597cd1390c94bdc0020c867993e1fde0ab75ace12f7e87,a7fa44cf3e733a6d409d6e966220de6a1382274ff6a5d25a175da949e8e0b789
"1","1","50001","美食殿","105801"
"2","2","50002","トゥインクル\nウィッシュ","100101"
"7","3","50003","サレンディア救護院","102801"
"11","4","50004","王宮騎士団\n（NIGHTMARE）","104701"
"15","5","50005","ラビリンス","106801"
"3","6","50006","カルミナ","102901"
"5","7","50007","悪魔偽王国軍\n（ディアボロス）","104401"
"4","8","50008","牧場\n（エリザベスパーク）","103301"
"13","9","50009","メルクリウス財団","103201"
"9","10","50010","トワイライト\nキャラバン","105601"
