5e5d9b37b0eeb822d08cf00aaf5fb40822688aec59eb7036207879b1d3078f8b,bbd3551b562d192f534bac5ff718d098cfca122a4aa91ca8964226150ffc6e90,5f65637973f216beab0b10706bdb995eae3fdd2e6476ac689e8905b7790fdf41,f24f459224fb282b24e8ef8dd06a817e24889e08281071813e08fc4fbcff71ca,e10436b247b2f8bb37c031db952410404aa3891ccaa2dcba954018f76e085679
"2700","1","1","0","1"
"3600","2","1","0","2"
"5400","3","1","0","3"
"3600","4","1","1","1"
"5400","5","1","1","2"
"7200","6","1","1","3"
"1800","7","2","0","1"
"2700","8","2","0","2"
"3600","9","2","0","3"
"2700","10","2","1","1"
"4050","11","2","1","2"
"5400","12","2","1","3"
"1800","13","3","0","1"
"2700","14","3","0","2"
"3600","15","3","0","3"
"2700","16","3","1","1"
"4050","17","3","1","2"
"5400","18","3","1","3"
"1800","19","4","0","1"
"2700","20","4","0","2"
"3600","21","4","0","3"
"2700","22","4","1","1"
"4050","23","4","1","2"
"5400","24","4","1","3"
