2b14d6e0a5c994a5621a0979873972672ba521508c1edaa5dc57b32d5f1150bf,d0fafc794bc05848cf1b4bf013766e5fb5c94a3413921045e9d5ea10da14e1ab,fa1a2413b27b9db95c34b05cae0599f34667c604d8bbe2fa0ca61dd00cfb1c62,26e397622f41bc889fc16d1315b14afb862fece870387aeddb427efba52ff708
"1014601","0","0","10146"
"1014801","0","0","10148"
"1015001","0","0","10150"
"1015201","0","0","10152"
"0","5154007","0","10154"
"1016901","0","0","10169"
"1017001","0","0","10170"
"1017101","0","0","10171"
"1017201","0","0","10172"
"0","5154007","0","10173"
"2007701","0","0","20077"
"2007801","0","0","20078"
"2007901","0","0","20079"
