5da6397a0d351e4ab9a4f007e9aaddc17372001f868597b062ee5be7986b5a6f,d685172a71a639a5fdeee32e48a3d8d2a242e79c5f4c5e66cb71b69eaebadd77,b16cd9e0d62d34a8b2c3a8ada6f1013ca9bc14a5b471e7b63fa6f573a121a622,355146c03c27d2944e62098fb5cf2996054392bd21f998a1a5710e095fdd4bde,b4980b53cd425a168c918eff9e0692d79adf521060801a227eea13557a3dd7ab,61e043456406af32dd21ab6cd25da2c50804f91829007f069a060c42c8d103a1,5531dbe2208f58d6aa278e6af7fdff8c65fc7c80642fc14953ca2b12f7df28d7,6e65410d06556de08ae3f92aea55df0030065281c2d9ca08c15c9d1c5ba12961,708bfd3cc63ae2474348629af541ce57be2c555016c3ea94f75772f1417456b8,eb48493d5c7e572a9d3246ade397e02214449a9c49ac809a7062964a629e93eb,3418ee05e39295b89d0039d1c3f53bc6c29b600372c000e6489cadf95774628c
"31","8","281001001","25011","91002","1","25021","2","2","10","8"
"31","8","281001002","25011","91002","2","25021","2","2","10","8"
"32","8","281001003","25011","91002","3","25021","2","2","10","8"
"32","8","281001004","25011","91002","4","25021","2","2","10","8"
"33","8","281001005","25011","91002","5","25021","2","2","10","8"
"33","9","281001006","25011","91002","6","25021","2","2","10","8"
"34","9","281001007","25011","91002","7","25021","2","2","10","8"
"35","9","281001008","25011","91002","8","25021","2","2","10","8"
"35","9","281001009","25011","91002","9","25021","2","2","10","8"
"37","10","281001010","25011","91002","10","25021","2","2","30","8"
"41","10","281001011","25011","91002","11","25021","2","2","10","8"
"43","11","281001012","25011","91002","12","25021","2","2","10","8"
"46","11","281001013","25011","91002","13","25021","2","2","10","8"
"48","12","281001014","25011","91002","14","25021","2","2","10","8"
"50","12","281001015","25011","91002","15","25021","2","2","10","8"
"53","13","281001016","25011","91002","16","25021","2","2","10","8"
"55","14","281001017","25011","91002","17","25021","2","2","10","8"
"58","14","281001018","25011","91002","18","25021","2","2","10","8"
"60","15","281001019","25011","91002","19","25021","2","2","10","8"
"62","15","281001020","25011","91002","20","25021","2","2","30","8"
"68","16","281001021","25011","91002","21","25021","2","2","10","8"
"70","16","281001022","25011","91002","22","25021","2","2","10","8"
"72","16","281001023","25011","91002","23","25021","2","2","10","8"
"75","17","281001024","25011","91002","24","25021","2","2","10","8"
"77","18","281001025","25011","91002","25","25021","2","2","10","8"
"79","18","281001026","25011","91002","26","25021","2","2","10","8"
"82","19","281001027","25011","91002","27","25021","2","2","10","8"
"84","19","281001028","25011","91002","28","25021","2","2","10","8"
"86","19","281001029","25011","91002","29","25021","2","2","10","8"
"89","20","281001030","25011","91002","30","25021","2","2","30","8"
"94","20","281001031","25011","91002","31","25021","2","2","10","8"
"96","21","281001032","25011","91002","32","25021","2","2","10","8"
"99","21","281001033","25011","91002","33","25021","2","2","10","8"
"101","22","281001034","25011","91002","34","25021","2","2","10","8"
"103","22","281001035","25011","91002","35","25021","2","2","10","8"
"106","23","281001036","25011","91002","36","25021","2","2","10","8"
"108","23","281001037","25011","91002","37","25021","2","2","10","8"
"111","24","281001038","25011","91002","38","25021","2","2","10","8"
"113","25","281001039","25011","91002","39","25021","2","2","10","8"
"115","25","281001040","25011","91002","40","25021","2","2","30","8"
"121","26","281001041","25011","91002","41","25021","2","2","10","8"
"123","27","281001042","25011","91002","42","25021","2","2","10","8"
"125","28","281001043","25011","91002","43","25021","2","2","10","8"
"128","28","281001044","25011","91002","44","25021","2","2","10","8"
"130","29","281001045","25011","91002","45","25021","2","2","10","8"
"132","30","281001046","25011","91002","46","25021","2","2","10","8"
"135","30","281001047","25011","91002","47","25021","2","2","10","8"
"137","31","281001048","25011","91002","48","25021","2","2","10","8"
"139","31","281001049","25011","91002","49","25021","2","2","10","8"
"142","31","281001050","25011","91002","50","25021","2","2","30","8"
"144","32","281001051","25011","91002","51","25021","2","2","10","8"
"146","32","281001052","25011","91002","52","25021","2","2","10","8"
"149","32","281001053","25011","91002","53","25021","2","2","10","8"
"152","33","281001054","25011","91002","54","25021","2","2","10","8"
"155","33","281001055","25011","91002","55","25021","2","2","10","8"
"157","33","281001056","25011","91002","56","25021","2","2","10","8"
"160","34","281001057","25011","91002","57","25021","2","2","10","8"
"163","34","281001058","25011","91002","58","25021","2","2","10","8"
"166","34","281001059","25011","91002","59","25021","2","2","10","8"
"169","35","281001060","25011","91002","60","25021","2","2","30","8"
"171","35","281001061","25011","91002","61","25021","2","2","10","8"
"174","35","281001062","25011","91002","62","25021","2","2","10","8"
"177","36","281001063","25011","91002","63","25021","2","2","10","8"
"180","36","281001064","25011","91002","64","25021","2","2","10","8"
"182","36","281001065","25011","91002","65","25021","2","2","10","8"
"185","37","281001066","25011","91002","66","25021","2","2","10","8"
"187","37","281001067","25011","91002","67","25021","2","2","10","8"
"190","37","281001068","25011","91002","68","25021","2","2","10","8"
"193","38","281001069","25011","91002","69","25021","2","2","10","8"
"196","38","281001070","25011","91002","70","25021","2","2","30","8"
"200","39","281001071","25011","91002","71","25021","2","2","10","8"
"204","39","281001072","25011","91002","72","25021","2","2","10","8"
"208","40","281001073","25011","91002","73","25021","2","2","10","8"
"212","40","281001074","25011","91002","74","25021","2","2","10","8"
"216","41","281001075","25011","91002","75","25021","2","2","10","8"
"220","41","281001076","25011","91002","76","25021","2","2","10","8"
"224","42","281001077","25011","91002","77","25021","2","2","10","8"
"228","42","281001078","25011","91002","78","25021","2","2","10","8"
"232","43","281001079","25011","91002","79","25021","2","2","10","8"
"236","43","281001080","25011","91002","80","25021","2","2","30","8"
"240","44","281001081","25011","91002","81","25021","2","2","10","8"
"244","44","281001082","25011","91002","82","25021","2","2","10","8"
"248","45","281001083","25011","91002","83","25021","2","2","10","8"
"252","45","281001084","25011","91002","84","25021","2","2","10","8"
"256","46","281001085","25011","91002","85","25021","2","2","10","8"
"260","46","281001086","25011","91002","86","25021","2","2","10","8"
"264","47","281001087","25011","91002","87","25021","2","2","10","8"
"268","47","281001088","25011","91002","88","25021","2","2","10","8"
"272","48","281001089","25011","91002","89","25021","2","2","10","8"
"276","48","281001090","25011","91002","90","25021","2","2","30","8"
"280","49","281001091","25011","91002","91","25021","2","2","10","8"
"284","49","281001092","25011","91002","92","25021","2","2","10","8"
"288","50","281001093","25011","91002","93","25021","2","2","10","8"
"292","50","281001094","25011","91002","94","25021","2","2","10","8"
"296","51","281001095","25011","91002","95","25021","2","2","10","8"
"300","51","281001096","25011","91002","96","25021","2","2","10","8"
"304","52","281001097","25011","91002","97","25021","2","2","10","8"
"308","52","281001098","25011","91002","98","25021","2","2","10","8"
"312","53","281001099","25011","91002","99","25021","2","2","10","8"
"316","53","281001100","25011","91002","100","25021","2","2","30","8"
