add4c52eaf0caadbf285827f20740ddba3bd3a0039add8af0b47cda8c0bdddd7,25ee224b56213fffebeb027a48b04593994f0a47e5c1008b8f98e84f93438b25,1f41e5d442e099012814128f2d17fe97973d1fdc043039425f37032e2ffc67df,7000aa4e916a5ecbea39fd8272e984423ca62d11c98ef65063615eb47535c23d,2e82a7dcbf15a16560c307f53b99451e6c56e0450e3224588de6e77de3cc8720,955653a36ef65a6e4e3471e36367fb7a5561112145269dfa9999f99f3175cb43
"1","1","99001001","15","1001","11001001"
"10","2","99001001","8","0","91002"
"1","3","99001002","15","1001","11001002"
"10","4","99001002","8","0","91002"
"1","5","99001003","15","1002","11001003"
"20","6","99001003","8","0","91002"
"1","7","99001004","15","1003","11001004"
"30","8","99001004","8","0","91002"
"1","9","99001005","15","1001","11001005"
"10","10","99001005","8","0","91002"
"1","11","99001006","15","1001","11001006"
"10","12","99001006","8","0","91002"
"1","13","99001007","15","1002","11001007"
"20","14","99001007","8","0","91002"
"1","15","99001008","15","1003","11001008"
"30","16","99001008","8","0","91002"
"1","17","99001009","15","1001","11001009"
"10","18","99001009","8","0","91002"
"1","19","99001010","15","1001","11001010"
"10","20","99001010","8","0","91002"
"1","21","99001011","15","1002","11001011"
"20","22","99001011","8","0","91002"
"1","23","99001012","15","1003","11001012"
"30","24","99001012","8","0","91002"
"1","33","99001017","15","1001","11001017"
"30","34","99001017","8","0","91002"
"1","35","99001018","15","1001","11001018"
"30","36","99001018","8","0","91002"
"1","37","99001019","15","1002","11001019"
"30","38","99001019","8","0","91002"
"1","39","99001020","15","1003","11001020"
"30","40","99001020","8","0","91002"
"0","41","99001021","15","1001","11001021"
"0","42","99001022","15","1002","11001022"
"1","43","99001023","15","1001","11001023"
"30","44","99001023","8","0","91002"
"1","45","99001024","15","1001","11001024"
"30","46","99001024","8","0","91002"
"1","47","99001025","15","1002","11001025"
"30","48","99001025","8","0","91002"
"1","49","99001026","15","1003","11001026"
"30","50","99001026","8","0","91002"
"1","51","99001027","15","1001","11001027"
"30","52","99001027","8","0","91002"
"1","53","99001028","15","1001","11001028"
"30","54","99001028","8","0","91002"
"1","55","99001029","15","1002","11001029"
"30","56","99001029","8","0","91002"
"1","57","99001030","15","1003","11001030"
"30","58","99001030","8","0","91002"
"1","59","99001031","15","1001","11001031"
