c8dc4d5a851fa34032fe270460641f9abd4bbf8763c9a13f7e88f374b25c590e,5944745451026896124e2d39b8ce40923e6a6c5abc0c21e20dfee913fbab1b5e,08919b44f60ddce0544c7eb5b9ab7e7853f4006635995e1234aeae4c36fd160a,194f48f03b801628349e57b7641abeab83bc7c51dbc67d64505e725013938a74,6693853f9e5e72e8c41053419a48bfd52e86c0b09212714b1d397f01e841b4c3,753a4b20496e45cd83078c134043d86dd979772321ee5d448b6138141bbb966f,50881a15a6cb518af47fd73ae0bedbde62d2f59c4540deb49330c0707c5b7de0,b4e3d0aa43bf58f8406c2da2485eb61d0ad13ac20314778ac590d410fb9b0c3f,32178c6b167a25d182f93aeb2f30b611fa50f57891a8fbf54057b6030c14ab03,97c162bab3a8a80371e647d165f70942838a43e33c180537db6ed61fbd9a47ea,7b41e10fcd863431f74361bf66b28006492addd3ebbaca7e1e27300fc6502c9f,a90349df7c28fab2c13acc9ae818b1a04cfbcbda0153bba7b8bb042b88bb9ebc
"31000101","10","7003","0","1","1回バトルしよう","1000","2022/12/16 12:00:00","0","31000101","2022/12/23 11:59:59","3"
"31000102","10","7003","0","5","5回バトルしよう","1000","2022/12/16 12:00:00","0","31000102","2022/12/23 11:59:59","3"
"31000103","10","7003","0","10","10回バトルしよう","1000","2022/12/16 12:00:00","0","31000103","2022/12/23 11:59:59","3"
"31000104","10","7003","0","15","15回バトルしよう","1000","2022/12/16 12:00:00","0","31000104","2022/12/23 11:59:59","3"
"31000105","10","7003","0","20","20回バトルしよう","1000","2022/12/16 12:00:00","0","31000105","2022/12/23 11:59:59","3"
"31000106","10","7003","0","25","25回バトルしよう","1000","2022/12/16 12:00:00","0","31000106","2022/12/23 11:59:59","3"
"31000107","10","7003","0","30","30回バトルしよう","1000","2022/12/16 12:00:00","0","31000107","2022/12/23 11:59:59","3"
"31000108","10","7003","0","35","35回バトルしよう","1000","2022/12/16 12:00:00","0","31000108","2022/12/23 11:59:59","3"
"31000109","10","7003","0","40","40回バトルしよう","1000","2022/12/16 12:00:00","0","31000109","2022/12/23 11:59:59","3"
"31001101","10","7004","0","5000000","黒の王ジャバウォックに累積500万ダメージ与えよう","1001","2022/12/16 12:00:00","3001","31001101","2022/12/23 11:59:59","3"
"31001102","10","7004","0","7500000","黒の王ジャバウォックに累積750万ダメージ与えよう","1001","2022/12/16 12:00:00","3001","31001102","2022/12/23 11:59:59","3"
"31001103","10","7004","0","10000000","黒の王ジャバウォックに累積1000万ダメージ与えよう","1001","2022/12/16 12:00:00","3001","31001103","2022/12/23 11:59:59","3"
"31001111","11","7005","2500000","1","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","1001","2022/12/16 12:00:00","3001","31001111","2022/12/23 11:59:59","3"
"31001112","11","7005","5000000","1","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","1001","2022/12/16 12:00:00","3001","31001112","2022/12/23 11:59:59","3"
"31001201","20","7004","0","5000000","暴走のイノセントボウに累積500万ダメージ与えよう","1001","2022/12/16 12:00:00","3002","31001201","2022/12/23 11:59:59","3"
"31001202","20","7004","0","7500000","暴走のイノセントボウに累積750万ダメージ与えよう","1001","2022/12/16 12:00:00","3002","31001202","2022/12/23 11:59:59","3"
