4fc84ddbaf7c076a5cc15d8b72f1ab4e3802c95cb2f2bc2d288f0e0edcc73de6,786bd3741b9075e6cb11bef9f075f39887c4bed7557e1656517c829e1a741c4e,b75ea92d58a110bfe15481471b275464bddaed7ff67625361fbeff056d915a6a,55aaca5b94e72a49c8a6e59192f6733257238bb0f6c92f72ebfa93fcbe050bbc,a5d0180ea4c8e99e2b7c859503789eec5b069de2fa51d4b83a12afd458cc7e77
"1","300","1","135","1"
"2","-100","1","425","1"
"3","125","2","-100","1"
"4","-415","2","375","1"
"5","-50","3","25","1"
"6","-300","3","-25","1"
"7","-335","4","-195","1"
"8","-415","4","105","1"
"9","-160","5","135","1"
"10","-40","6","345","1"
"11","90","7","-230","1"
"12","-420","8","230","1"
"13","250","9","30","1"
"14","-245","10","280","1"
"15","-110","11","-150","1"
