c444a55078f8ac27d96ae60f868634ff0d0db8ef47308fd3c31967084241e78b,bfcdb4d1e10a9087f4edcdb1d58e03d859a158e21d386cb520618f5332624f1a,183dd19827990a9688cefd55b9fdcd06e6201d02a4eaae64893ff441de7e9456,63ee3d0ee9b3ca74b781a7d90189f9c053f1d5308d5ef104482390a942e9c16f,cb72b3dd9cd928b84f3c671160ce5f07a10332d3a12b92c603cafcb250837ab5,5d0bc69382e49da67663209fbc4658f8cde4f0e4d759fe700056f6e9029104dd,c17fd481b45a1468d996f1624b107541eeefa8712157eb9cc48359257dcee5cc,28779313d671a6f71095d9cd9f0bd15a8d8e733be056cdf4d60ba5e98adf643e,e1e8ef0fe473cf346d5fde21cb9da2b844e6cc7f82404f3640e013a9d871af4a,6f1823303416151dc596ac3d219e8281aff3214d6ad7613de7384511be2b687d,64447ba53c8803c2455c286745a54b9a99997f4b163bdddc99cbf4249b13606b
"50","2","empty","0","10001001","2","0","10001","-622","5","0.65"
"51","1","empty","0","10001002","1","0","10001","-622","5","0.65"
"1","1","","1","10001003","2","0","10001","0","6","0"
"1","1","","1","10001004","1","0","10001","0","6","0"
"0","10001","","0","10001005","10001","","10001","1","31","0"
"","0","","","10001006","0","","10001","","91",""
"1","1","","1","10001007","2","0","10001","1","6","0.2"
"1","1","","1","10001008","1","0","10001","1","6","0.2"
"-472","0","","0.3","10001009","2","0","10001","14","2",""
"-472","0","","0.3","10001010","1","0","10001","14","2",""
"0","limitedMission_congratulations","","","10001011","2","","10001","","3","0"
"0","limitedMission_congratulations","","","10001012","1","","10001","","3","0"
"","1","","","10001013","10001","","10001","","32",""
"","0","","","10001014","3","","10001","","93",""
"1","1","","1","10001015","2","0","10001","0","6","0.2"
"1","1","","1","10001016","1","0","10001","0","6","0.2"
"","0","","","10001017","0.2","","10001","","93",""
