b1c13dd0a2e9d140e89426948d0c40aa5943b8303e957e6c855284c7fabf6ec3,dc14f5f637cf3b9607a1628d6e0c8eddcd1972fb388424d37315b29082e2cf93,ebbc4979f173d48fe3968782253270561ac5743c2d65da5bafeca61314a5a467,ec4c26319ef91e4cfd69698391699283cd32b7d9ff6fd2122abc434ce3aad0d1,2da97340ed1b1af527d7abfb3d9daf8b9dc8a6772f8bbc0ef046f74f925d62ba,94b0c6cc6c2bcce69959540dad13b6845748af5cebb8e94fcb8ad2bc90b9241d,11c25413dcac9cba2fa48719557b83333e29d76c6ffdd8d008c8994ca029c1d4,fa84cbe7f9535fa57ee5483030a42df97416187f5de07055f73d0449ee76bc36,428d1baf2c11478ccaf8ca42b80b254550f0153353c74bfb97935e685f0f0775,648ffbaf3b65b44d133b3216d7c518938b6365a0b6ba758133ff7143182fd7a2,7737e48a4704d51ec94be003b34a0b18ab6f7459a8bf6d40e33980b5242b7a88,832376dd777257b2ce289f22e5834d5a82f237a4cdc2b8637a421ce770c99d58
"1","12","1","4","0","1120001","0","0","0","0","3","0"
"2","12","0","2","0","1120002","0","vo_nyx","0","0","0","vo_nyx_0101"
"3","12","0","1","2.698","1120003","1","0","0","280","0","0"
"4","12","3.334","4","0","1120004","0","0","0","0","1","0"
"5","12","0","2","0","1120005","0","vo_nyx","0","0","0","vo_nyx_0102"
"6","12","0","1","1.055","1120006","1","0","280","382","0","0"
"7","12","1.055","4","0","1120007","0","0","0","0","1","0"
"8","12","0","1","0.732","1120008","2","0","0","88","0","0"
"9","12","1.05","4","0","1120009","0","0","0","0","1","0"
"10","12","0","1","2.42","1120010","2","0","88","365","0","0"
"11","12","3.5","4","0","1120011","0","0","0","0","1","0"
"12","12","2","4","0","1120012","0","0","0","0","3","0"
"13","12","0","2","0","1120013","0","vo_nyx","0","0","0","vo_nyx_0103"
"14","12","0","1","0.815","1120014","3","0","0","82","0","0"
"15","12","1.157","4","0","1120015","0","0","0","0","1","0"
"16","12","0","1","2.763","1120016","3","0","82","372","0","0"
"17","12","2.763","4","0","1120017","0","0","0","0","1","0"
"18","12","0","1","2.388","1120018","4","0","0","250","0","0"
"19","12","3.338","4","0","1120019","0","0","0","0","1","0"
"20","12","0","2","0","1120020","0","vo_nyx","0","0","0","vo_nyx_0104"
"21","12","0","1","0.778","1120021","5","0","0","71","0","0"
"22","12","1.214","4","0","1120022","0","0","0","0","1","0"
"23","12","0","1","3.167","1120023","5","0","71","375","0","0"
"24","12","3.61","4","0","1120024","0","0","0","0","1","0"
"25","12","0","1","2.618","1120025","6","0","0","256","0","0"
"26","12","3.198","4","0","1120026","0","0","0","0","1","0"
"27","12","0","2","0","1120027","0","vo_nyx","0","0","0","vo_nyx_0105"
"28","12","0","1","1.4","1120028","6","0","256","392","0","0"
"29","12","1.448","4","0","1120029","0","0","0","0","1","0"
"30","12","0","1","2.927","1120030","7","0","0","296","0","0"
"31","12","3.811","4","0","1120031","0","0","0","0","1","0"
"32","12","3","4","0","1120032","0","0","0","0","3","0"
"33","12","0","2","0","1120033","0","vo_nyx","0","0","0","vo_nyx_0106"
"34","12","0","1","0.506","1120034","7","0","296","360","0","0"
"35","12","1.175","4","0","1120035","0","0","0","0","1","0"
"36","12","3","4","0","1120036","0","0","0","0","3","0"
"37","12","0","2","0","1120037","0","vo_nyx","0","0","0","vo_nyx_0107"
"38","12","0","1","1.439","1120038","8","0","0","159","0","0"
"39","12","1.439","4","0","1120039","0","0","0","0","1","0"
"40","12","0","1","1.462","1120040","8","0","159","315","0","0"
"41","12","2.178","4","0","1120041","0","0","0","0","1","0"
"42","12","0","2","0","1120042","0","vo_nyx","0","0","0","vo_nyx_0108"
"43","12","0","1","3.765","1120043","9","0","0","400","0","0"
"44","12","4.495","4","0","1120044","0","0","0","0","1","0"
"45","12","0","2","0","1120045","0","vo_nyx","0","0","0","vo_nyx_0109"
"46","12","0","1","1.137","1120046","10","0","0","132","0","0"
"47","12","1.484","4","0","1120047","0","0","0","0","1","0"
"48","12","0","1","2.686","1120048","10","0","132","395","0","0"
"49","12","2.686","4","0","1120049","0","0","0","0","1","0"
"50","12","0","1","0.736","1120050","11","0","0","85","0","0"
"51","12","1.06","4","0","1120051","0","0","0","0","1","0"
"52","12","0","2","0","1120052","0","vo_nyx","0","0","0","vo_nyx_0110"
"53","12","0","1","0.353","1120053","11","0","85","133","0","0"
"54","12","1.137","4","0","1120054","0","0","0","0","1","0"
"55","12","0","2","0","1120055","0","vo_nyx","0","0","0","vo_nyx_0111"
"56","12","0","1","2.51","1120056","12","0","0","333","0","0"
"57","12","3.164","4","0","1120057","0","0","0","0","1","0"
"58","12","0","2","0","1120058","0","vo_nyx","0","0","0","vo_nyx_0112"
"59","12","0","1","1.532","1120059","13","0","0","145","0","0"
"60","12","1.62","4","0","1120060","0","0","0","0","1","0"
"61","12","0","1","1.367","1120061","13","0","145","336","0","0"
"62","12","2.245","4","0","1120062","0","0","0","0","1","0"
"63","12","0","2","0","1120063","0","vo_nyx","0","0","0","vo_nyx_0113"
"64","12","0","1","1.116","1120064","14","0","0","85","0","0"
"65","12","1.735","4","0","1120065","0","0","0","0","1","0"
"66","12","0","1","1.048","1120066","14","0","85","185","0","0"
"67","12","2.848","4","0","1120067","0","0","0","0","1","0"
"1","13","1","4","0","1130001","0","0","0","0","3","0"
"2","13","0","2","0","1130002","0","vo_nyx","0","0","0","vo_nyx_0201"
"3","13","0","1","0.382","1130003","1","0","0","40","0","0"
"4","13","0.672","4","0","1130004","0","0","0","0","1","0"
"5","13","0","1","0.65","1130005","1","0","40","82","0","0"
"6","13","1.115","4","0","1130006","0","0","0","0","1","0"
"7","13","0","1","2.158","1130007","1","0","82","286","0","0"
"8","13","2.541","4","0","1130008","0","0","0","0","1","0"
"9","13","0","1","0.914","1130009","1","0","286","365","0","0"
"10","13","0.914","4","0","1130010","0","0","0","0","1","0"
"11","13","0","1","1.72","1130011","2","0","0","220","0","0"
"12","13","1.5","4","0","1130012","0","0","0","0","1","0"
"13","13","2","4","0","1130013","0","0","0","0","3","0"
"14","13","1.726","4","0","1130014","0","0","0","0","1","0"
"15","13","0","2","0","1130015","0","vo_nyx","0","0","0","vo_nyx_0202"
"16","13","0","1","2.838","1130016","3","0","0","335","0","0"
"17","13","3.334","4","0","1130017","0","0","0","0","1","0"
"18","13","0","1","2.491","1130018","4","0","0","300","0","0"
"19","13","3.427","4","0","1130019","0","0","0","0","1","0"
"20","13","3","4","0","1130020","0","0","0","0","3","0"
"21","13","0","2","0","1130021","0","vo_nyx","0","0","0","vo_nyx_0203"
"22","13","0","1","0.475","1130022","5","0","0","47","0","0"
"23","13","0.872","4","0","1130023","0","0","0","0","1","0"
"24","13","0","1","1.001","1130024","5","0","47","119","0","0"
"25","13","1.492","4","0","1130025","0","0","0","0","1","0"
"26","13","0","1","1.73","1130026","5","0","119","310","0","0"
"27","13","2.045","4","0","1130027","0","0","0","0","1","0"
"28","13","0","1","0.87","1130028","5","0","310","395","0","0"
"29","13","1.949","4","0","1130029","0","0","0","0","1","0"
"30","13","0","2","0","1130030","0","vo_nyx","0","0","0","vo_nyx_0204"
"31","13","0","1","1.885","1130031","6","0","0","174","0","0"
"32","13","2.37","4","0","1130032","0","0","0","0","1","0"
"33","13","0","1","0.939","1130033","6","0","174","293","0","0"
"34","13","1.12","4","0","1130034","0","0","0","0","1","0"
"35","13","0","1","0.5","1130035","6","0","293","388","0","0"
"36","13","1.435","4","0","1130036","0","0","0","0","1","0"
"37","13","0","2","0","1130037","0","vo_nyx","0","0","0","vo_nyx_0205"
"38","13","0","1","0.58","1130038","7","0","0","34","0","0"
"39","13","0.976","4","0","1130039","0","0","0","0","1","0"
"40","13","0","1","1.425","1130040","7","0","34","176","0","0"
"41","13","1.683","4","0","1130041","0","0","0","0","1","0"
"42","13","0","1","0.85","1130042","7","0","176","275","0","0"
"43","13","1.9","4","0","1130043","0","0","0","0","1","0"
"44","13","4","4","0","1130044","0","0","0","0","3","0"
"45","13","0","2","0","1130045","0","vo_nyx","0","0","0","vo_nyx_0206"
"46","13","0","1","0.43","1130046","7","0","275","327","0","0"
"47","13","1.105","4","0","1130047","0","0","0","0","1","0"
"48","13","0","1","0.759","1130048","7","0","327","396","0","0"
"49","13","0.759","4","0","1130049","0","0","0","0","1","0"
"50","13","0","1","1.136","1130050","8","0","0","112","0","0"
"51","13","1.533","4","0","1130051","0","0","0","0","1","0"
"52","13","0","1","1.347","1130052","8","0","112","248","0","0"
"53","13","1.518","4","0","1130053","0","0","0","0","1","0"
