8862fe3a7844429dcd4459835e46b23cb13a1324b49a1713198f7f6800ed1120,f2b33ab39d8fd7fafbe05e847ea692d114598d7ff5ac7d3c4ca717d8d4b95263,35d716547e3aeb77607a83430bff44005e25cbb92b7bb39d12d8a388990f4754,5843a6e02c8655d67028ffb71d1148ec0c59097ef1dd988cd006af710878a2b5,55dbd5ffb4a883b6a53f9701f2d605960bc81c4b0733aabedbbde9f460a2bcde,798e8b7cab201d24809d434b7fc13a34823480e42805ebfae591fc9b892732fb,c5664ab20ae3ce7e8e2acb4967f68fbc25fa4023b6b858dba06d131606089016,41d39eb40e20458b1b4d01f326c90600cbba0131cdff2bad07a2970bb25c48fc,51fa8a651537bd8b5880b6499e5f9a25db8023e69290e7f544d1fcff833d4974,0f6b057f70512a7ec84117459281592735e858720cf97b8ec9001bba652488a5
"1000","2","2","vo_minigame_1013_icon_2_002_001","1","vo_minigame_1013_icon_1_002_001","訓練はまだ\nここからですわ","3000","2","調子が上がって\nきたなっ"
"5000","2","2","vo_minigame_1013_icon_2_003_001","2","vo_minigame_1013_icon_1_003_001","クスクス、悪くない\n流れですわね","3000","2","ほらほら、\nまだいけるだろ？"
"10000","2","3","vo_minigame_1013_icon_2_004_001","3","vo_minigame_1013_icon_1_004_001","すばらしい\n記録ですわ","3000","2","へへっ、おまえら\nやるじゃねえか！"
"10000","2","3","vo_minigame_1013_icon_2_005_001","4","vo_minigame_1013_icon_1_005_001","乗りに乗って\nいますわね","3000","3","あたしたちはまだ\n止まらねえぜ！"
"10000","2","3","vo_minigame_1013_icon_2_005_002","5","vo_minigame_1013_icon_1_005_002","まだまだ行きます\nついてきなさい","3000","3","見てろよ！\nマコト班の快進撃だ！"
"10000","2","3","vo_minigame_1013_icon_2_005_003","6","vo_minigame_1013_icon_1_005_003","エリコ班の\n本領発揮ですわ！","3000","3","うおぉぉっ！\n絶好調だぜ！"
"0","2","3","vo_minigame_1013_icon_2_006_001","7","vo_minigame_1013_icon_1_006_001","ここからは\n前人未到の領域です！","3000","4","どこまで行けるか\n楽しみだなっ！"
"1","3","4","vo_minigame_1013_icon_2_007_001","8","vo_minigame_1013_icon_1_007_001","厄介でしたわ…","1000","5","まだ諦めんなよっ"
"1","3","4","vo_minigame_1013_icon_2_007_002","9","vo_minigame_1013_icon_1_007_002","油断大敵です","1000","5","冷やっとしたぜ…！"
"1","3","4","vo_minigame_1013_icon_2_007_003","10","vo_minigame_1013_icon_1_007_003","忌々しいっ…","1000","5","弱音を吐くなっ"
"99","4","3","vo_minigame_1013_icon_2_008_001","11","vo_minigame_1013_icon_1_008_001","大所帯ですわね","1500","6","マコト班集合！"
"99","4","3","vo_minigame_1013_icon_2_008_002","12","vo_minigame_1013_icon_1_008_002","エリコ班へようこそ","1500","6","連携してくぞ！"
"0","1","6","vo_minigame_1013_icon_2_020_001","13","vo_minigame_1013_icon_1_020_001","ナナカちゃんに\nお任せあれ","3000","8","みんなに力を！"
"0","1","7","vo_minigame_1013_icon_2_022_001","14","vo_minigame_1013_icon_1_022_001","はっはっは！\n任せろ！","3000","9","任せてくれたまえ"
"0","1","8","vo_minigame_1013_icon_2_023_001","15","vo_minigame_1013_icon_1_023_001","どんどんいくわよ","3000","10","ほな、いきまひょか"
