5edd9b931b8abdf3101d19739abae12eb4405e9dacf0a28a46bc6a3a2f5e8430,e5b24a90dd0ed860d8a20c3a86c4fe8bc27fa512c7c51993127ee4e6733a5313,4eb3df0ae40c3ad8e4c70cbfd2f038c327c3f3c76e24aa144ba060d64f143a95,4065485b3252f2a812c0b6add12baeb07092254daf2eb96c6358ca0d09ef0208,12f7cf35f8edb9413956f2d4a5f2a03e1279045e133e559c6279c080910c539e,5a9afcf4c138ae2d57152d3604076b1cc655ef492d9ce1485cacf8b1af378d1b,e100d96aba119be82600ca905165ed71affe6d6fb69861a52ab25092da65745a,67f3ef2dc2caeb3f36c3f0d3282cd648f039d6865399039347d79dfb736cb38c,e2d5e5fe4201d17ec5f9b4c72a872cb42e6524aeac4f3401191fcf37902f3101,61fb323f06cad94433400bad840d3f9d62e7678357faa648935327a431b79f33,d0c936f7285f4c4618b5dce6147874a6f3d1e864b272100dfb46f9f25ef1ffc9,d61c1c906e3c058b428f3f1c3dc674778b8c651b44f5f5a65863a89e1fe8214a,a3adee1342247b774c7c7773b76300e19a3310f8949c15c4b722fc911c8af23a,da02f1d5d3b91a0f59c1b598c8aeed8f9a319d3c197ca7ddb2ba7a8be5191289,47210cf48b85a7640957e9b85fb8c05a71f6c6209d2cb16677409b6ddb9d4ee6,6d1ca22685f4f44f23246276dab8afd604a57e7f8328abaac994ad7f1d2ea8ad,aaec0cfc11ba6d5f3cd481efc6b3899cea8ce11fe2b8395d9a751ff7c8d82ae8,40633c9c2eae7a74a23ae759f353b7503b0c8df4cae6e29bafd8630b8d5b55e5,79f2646ccb21865f59187089d66fa4a4b4ca0cbd992ed47e61320a5e39e82848,3b0ae81fe6b0341f56bd2d59ba566c3290b9785ab903eb208f6e1cc816e7998c,102d8e6e0ede3f872b9765fb034b219fc163f3263d9c8cfc31148f6b66d9d856,e9e991280c3fa5ff6e677441ab81979eb8b542026ce4d127b11c2ca55414d729,4b032324764d5af159e40a636380b42d3b5e5c8a1914d36ba4379334930e19c3,87ff900e62780f80be0e7d58c15d801bda18b5200df31cc659bace0c5cbfe582,c7dad9a97533c9984686f7a0c670f7bc9ed6f9dc24b27247f0c485f6e421f436
"1","1","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","303301","105801","0","0","0","0","0","0"
"2","1","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","301206","105801","0","0","0","0","0","0"
"3","1","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","303306","105801","0","0","0","0","0","0"
"4","1","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","319604","105801","0","0","0","0","0","0"
"5","1","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","312505","105801","0","0","0","0","0","0"
"1","2","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","306604","100101","0","0","0","0","0","0"
"2","2","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","303301","100101","0","0","0","0","0","0"
"3","2","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","301206","100101","0","0","0","0","0","0"
"4","2","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","303306","100101","0","0","0","0","0","0"
"5","2","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","319604","100101","0","0","0","0","0","0"
"1","3","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","312505","102801","0","0","0","0","0","0"
"2","3","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","306604","102801","0","0","0","0","0","0"
"3","3","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","303301","102801","0","0","0","0","0","0"
"4","3","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","301206","102801","0","0","0","0","0","0"
"5","3","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","303306","102801","0","0","0","0","0","0"
"1","4","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","319604","104701","0","0","0","0","0","0"
"2","4","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","312505","104701","0","0","0","0","0","0"
"3","4","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","306604","104701","0","0","0","0","0","0"
"4","4","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","302501","104701","0","0","0","0","0","0"
"5","4","0","0","0","0","1","103123","0","0","0","0","0","0","0","0","0","301701","104701","0","0","0","0","0","0"
