f2c03a5318bded7be1ea782ef9675da826190ab409cea8097ce8e9c6c49f7bd0,17a2f1120093076d3bccca845bd4977af2c3874ae827e511afb1fa6fa7e0f66f,93d7ff6b152720ea66c73da590f785c12e7767798b857a3181e989e3015126a2,3b6eb80234cabe4606d98887b6183feaf53dee72d1dc1224c0c5b1c903373333,8ca248981b1a2b43631fd9f5f73ddf65912551c9db37cfe7e41277d36773eef3,d7372bcb206084b7c4438ccf75ac1f6efc8a6a347549681c137a9edc6d79c86b,6b8957c9d669b10dd20167192fcf346a7a21edcc3c080c6d2c66bdccaabd4e9b,faa4936e1b5b0ae6900f73a64507f5344487e83df980d01beecb909d4b3f5893,a5ecc5db5cd7952db20ec7df0ce3224fcb943cc3587a5d8b0c2679bc25f12d60,35ce0f3eb1b83f56ad383ec3a5aad580fd55a7cf318b6ad86822afd538d7455c,9cd4f33826dc3c34b2435d54c1fd484ba711e1f56a049ed4e85c46223e002047,c6c1964ebb1b499ec4c76cbae2377bc4ee5ad2bb24887827e4d89f360b9f7b6a,2eecb9b7c9c67b9ea13fef2a376610ae5fffc28969ff2596d04b390d236adaa2,3796873293e9a3cc1b98d4fe13e8318fbfa45fb73b3a718f68d73b54e454c684
"-1","19","0","1","1","-1","0","-1","-1","1","-1","-1","180","180"
"-1","19","0","1","2","-1","0","-1","-1","1","-1","-1","180","180"
"-1","19","0","1","3","-1","0","-1","-1","1","-1","-1","180","180"
"-1","19","0","0","4","-1","0","-1","-1","1","-1","-1","180","180"
"-1","19","0","1","5","-1","0","-1","-1","1","-1","-1","180","180"
"-1","19","0","1","6","-1","0","-1","-1","1","-1","-1","180","180"
"-1","19","0","1","7","-1","0","-1","-1","1","-1","-1","180","180"
"-1","19","0","1","8","-1","0","-1","-1","1","-1","-1","180","180"
"-1","23","0","1","9","-1","0","-1","-1","1","-1","-1","215","215"
"-1","23","0","1","10","-1","0","-1","-1","1","-1","-1","215","215"
"-1","23","0","0","11","-1","0","-1","-1","1","-1","-1","215","215"
"-1","23","0","1","12","-1","0","-1","-1","1","-1","-1","215","215"
"-1","23","0","1","13","-1","0","-1","-1","1","-1","-1","215","215"
"-1","23","0","1","14","-1","0","-1","-1","1","-1","-1","215","215"
"-1","23","0","1","15","-1","0","-1","-1","1","-1","-1","215","215"
"-1","23","0","1","16","-1","0","-1","-1","1","-1","-1","215","215"
"-1","26","0","1","17","-1","0","-1","-1","1","-1","-1","250","250"
"-1","26","0","0","18","-1","0","-1","-1","1","-1","-1","250","250"
"-1","26","0","1","20","-1","0","-1","-1","1","-1","-1","250","250"
"-1","26","0","1","21","-1","0","-1","-1","1","-1","-1","250","250"
"-1","26","0","1","22","-1","0","-1","-1","1","-1","-1","250","250"
"-1","28","0","0","23","-1","0","-1","-1","1","-1","-1","260","260"
"-1","26","0","1","24","-1","0","-1","-1","1","-1","-1","250","250"
"-1","26","0","1","25","-1","0","-1","-1","1","-1","-1","250","250"
"-1","29","0","0","26","-1","0","-1","-1","1","-1","-1","280","280"
"-1","29","0","1","27","-1","0","-1","-1","1","-1","-1","280","280"
"-1","29","0","1","28","-1","0","-1","-1","1","-1","-1","280","280"
"-1","29","0","1","29","-1","0","-1","-1","1","-1","-1","280","280"
"-1","29","0","1","30","-1","0","-1","-1","1","-1","-1","280","280"
"-1","29","0","1","31","-1","0","-1","-1","1","-1","-1","280","280"
"-1","29","0","1","32","-1","0","-1","-1","1","-1","-1","280","280"
