4977034308d6ea7b9038c70634a30e74cbfb7ba336c601b954b5e600221f0616,de3779dd8857c4189feff79d0fc959d08b4dcad3b349455cab3f35243ada9583,c6ad295dedf9eef4320a2f93188d216f9102a90822ed0cb8aae618e923aee7d0,24aab2937f46a22c9b05bd80e2ee82a0a45fcc50ea4b59531a7757b99906e9cd,2d6135ecdb2cdf916087e62a8f73d5cabc75a5e3241ea08f65bcd0f075f7c466,52cd7c15f9d3ce320a627b5eabcc2600cbc0c76d6e4adb413fec07e47f11891f,a997a394d013b0cbce388ae0448d0d083f09fbc7bb4e118866772b88d142d768,2976b68f4af1e630fa2140f66730185c073dddeb5d4d47dd401b0ef4af476743
"1","182","-401","71","1","1","170","-90"
"2","182","-401","81","2","1","170","-90"
"3","182","-255","121","3","1","255","90"
"4","182","-255","131","4","1","255","90"
"5","182","-255","141","5","1","255","90"
"6","176","-107","191","6","1","229","-80"
"7","176","-107","201","7","1","229","-80"
"8","151","136","271","8","1","218","-85"
"9","151","136","281","9","1","218","-85"
"10","151","136","291","10","1","218","-85"
"11","219","280","331","11","1","156","80"
"12","219","280","341","12","1","156","80"
"13","219","280","351","13","1","156","80"
"14","183","417","401","14","1","213","-97"
"15","183","417","411","15","1","213","-97"
"1","229","-259","451","2","2","242","-73"
"2","179","-222","481","4","2","226","124"
"3","192","-101","501","6","2","219","-67"
"4","190","-26","521","8","2","168","-27"
"5","260","117","551","11","2","192","-50"
"6","138","241","601","14","2","159","120"
"7","138","241","611","14","2","159","120"
"8","229","243","621","14","2","224","-71"
"1","43","-353","781","1","3","71","32"
"2","268","-228","801","2","3","235","-30"
"3","45","-243","831","3","3","80","144"
"4","225","20","851","4","3","221","-76"
"5","222","230","861","5","3","211","-74"
"6","136","-100","891","6","3","115","44"
"7","136","-100","901","7","3","115","44"
"8","250","116","991","8","3","306","76"
"9","250","116","1001","9","3","306","76"
"10","250","116","1011","10","3","306","76"
"11","188","322","1041","11","3","96","40"
"12","188","322","1051","12","3","96","40"
"1","272","-211","1091","1","4","294","-6"
"2","115","-288","1101","2","4","92","129"
"3","115","-288","1111","3","4","92","129"
"4","174","-58","1121","4","4","135","128"
"5","184","143","1151","5","4","222","133"
"6","98","-277","1161","6","4","134","-129"
"7","98","-277","1171","7","4","134","-129"
"8","70","-60","1211","8","4","67","-12"
"9","70","-60","1221","9","4","67","-12"
"10","185","116","1231","10","4","132","-55"
"11","89","-17","1261","11","4","93","-103"
"12","89","-17","1271","12","4","93","-103"
"13","239","232","1311","13","4","150","23"
"1","72","-289","1391","1","5","114","-161"
"2","72","-289","1401","2","5","114","-161"
"3","248","-261","1411","3","5","228","80"
"4","211","-103","1431","4","5","223","-91"
"5","181","-87","1471","5","5","186","95"
"6","176","69","1551","6","5","132","-122"
"7","176","69","1561","7","5","132","-122"
"8","184","54","1611","8","5","143","91"
"9","247","204","1641","9","5","211","45"
"10","167","308","1651","10","5","137","141"
"11","174","282","1661","11","5","175","-46"
"1","240","-252","1741","1","6","222","-11"
"2","245","-19","1761","2","6","311","-96"
"3","221","-46","1771","3","6","261","95"
"4","237","152","1781","4","6","166","83"
"5","229","227","1782","5","6","183","-100"
"1","183","-249","1811","1","7","223","-46"
"2","247","-159","1881","2","7","337","54"
"3","191","30","1921","3","7","202","-70"
"4","215","173","1941","4","7","176","0"
"5","236","292","1981","5","7","204","77"
"1","254","-472","2001","1","8","209","89"
"2","282","-375","2031","2","8","250","-77"
"3","223","-280","2051","3","8","241","110"
"4","270","-148","2101","4","8","243","-85"
"5","264","3","2131","5","8","274","74"
"6","302","155","2171","6","8","321","-36"
"7","277","283","2201","7","8","199","82"
"8","344","374","2271","8","8","349","0"
"1","301","-275","2321","1","9","240","-30"
"2","108","-132","2361","2","9","106","-115"
"3","108","-132","2371","3","9","106","-115"
"4","246","-73","2381","4","9","202","32"
"5","84","-43","2411","5","9","114","-140"
"6","84","-43","2421","6","9","114","-140"
"7","84","50","2461","8","9","86","65"
"8","84","50","2471","9","9","86","65"
"9","137","80","2481","10","9","185","-110"
"10","137","80","2491","11","9","185","-110"
"11","377","131","2521","7","9","301","24"
"12","305","280","2531","12","9","190","-50"
"1","145","-527","2601","3","10","123","-137"
"2","145","-527","2611","4","10","123","-137"
"3","295","-379","2621","1","10","408","35"
"4","192","-299","2622","2","10","171","103"
"5","244","-138","2623","6","10","342","-64"
"6","254","-47","2701","5","10","224","9"
"7","204","131","2781","8","10","253","-88"
"8","139","89","2791","9","10","110","23"
"9","139","89","2801","10","10","110","23"
"10","249","275","2811","7","10","292","42"
"11","151","274","2821","11","10","126","-120"
"12","151","274","2831","12","10","126","-120"
"13","316","448","2841","13","10","276","-17"
"1","203","-292","2901","1","11","158","-87"
"2","187","-224","3011","2","11","256","123"
"3","225","-65","3031","3","11","144","-80"
"4","214","80","3111","4","11","149","-84"
"5","194","227","3131","5","11","201","112"
"6","111","159","3141","6","11","161","-111"
"7","111","159","3151","7","11","161","-111"
"8","209","307","3171","8","11","166","-80"
"1","206","-185","3211","3","12","364","-106"
"2","277","-304","3221","1","12","160","34"
"3","275","-107","3231","2","12","249","45"
"4","233","31","3321","5","12","167","-46"
"5","130","135","3381","7","12","174","-122"
"6","130","135","3391","8","12","174","-122"
"7","223","127","3431","4","12","244","101"
"8","246","254","3441","6","12","235","-24"
"9","156","303","3461","9","12","167","-114"
"10","156","303","3471","10","12","167","-114"
"11","94","338","3491","11","12","108","152"
"12","94","338","3501","12","12","108","152"
"1","270","-286","3531","3","13","210","-48"
"2","103","-310","3541","2","13","92","144"
"3","219","-152","3551","3","13","228","-90"
"4","103","-148","3561","4","13","94","99"
"5","71","-12","3571","5","13","110","-157"
"6","274","-5","3581","1","13","209","-2"
"7","292","141","3691","6","13","219","-72"
"8","104","146","3701","7","13","88","143"
"9","135","299","3741","8","13","160","131"
"10","135","299","3751","9","13","160","131"
"11","268","301","3791","10","13","179","-82"
"1","286","-470","3801","2","14","197","6"
"2","89","-520","3811","3","14","134","-123"
"3","236","-369","3821","1","14","204","103"
"4","241","-283","3861","5","14","176","-74"
"5","236","-151","3891","6","14","156","-83"
"6","226","-174","3911","4","14","219","108"
"7","96","-51","3921","10","14","107","-130"
"8","251","-5","3931","9","14","179","50"
"9","102","100","3941","11","14","113","-106"
"10","317","268","3951","12","14","242","-41"
"11","240","138","3961","7","14","209","79"
"12","240","138","3971","8","14","209","79"
"13","93","441","4021","14","14","125","-125"
"14","279","485","4031","13","14","219","22"
