ddf70c340351a2126e105b03e0c219cff21738661c9345955a66dd8fb313dc6b,7bb1485b5b532ea7d20fff5403df631fdd4d6a87aee163fffa7ca175ef87db00,b11fdf98b706297ca382a968b0133f0b0363c055b06547720a500274a7776b11,43a60f735223c4297083edad8abf9deeae4650507a877cbc21a154219161b57b,3ae6a27c298996cdd12ac3432b4a7ae64322fcb55a146dc2e84441b25159ce6c,00f7e1292ef3cbeec1e5449ccff033fe0b0c60743486e627190e759e0e43ebd4,2043ea6bc911be64728f476e1efa92470ba0d333044166d61764bc595cac9f65,0c81707f4f8d97ccd6695bcc7aafb6a71152ecdd7a05f520b188f3d94ab55139,54bd65e887f3a2ee4ce22a768ccc24bd3dd997d58ecc52d9eec768bc98d75664,79a8fe8cb3c92383578b8ce3f468a1d2cab62e152efe36d8da2d0c5dc7a103a6,3437c134e501fb763988824612a9934e623e4e1bb94e2f1cce55df99edb87677
"1","1","1","1001","-103","1","5","-216","idle_normal","100","1.4"
"1","13","","1002","1","13","31","-140","","-57","0"
"1","14","","1003","1","14","31","-140","","-57","0"
"1","0","","1004","","0","91","","","",""
"1","1","0","1005","1","top_luis_arm_crossed_in","3","top_luis_arm_crossed_idle","","0","0.2"
"1","4","","1006","","0","93","","","",""
"1","1","0","1007","1","top_luis_approach_in","3","top_luis_approach_idle","","0","0.2"
"1","3.5","","1008","","0","93","","","",""
"1","1","","1009","","top_luis_thinking","3","","","1","0.2"
"1","3.5","","1010","","0","93","","","",""
"1","1","","1011","","top_luis_walk_think","3","","","1","0.2"
"1","1","","1012","0","-495","2","2","","-103",""
"1","2","","1013","","0","93","","","",""
"1","1","","1014","","0","4","","","",""
"1","1","","1015","0","-216","2","2","","-103",""
"1","2","","1016","","0","93","","","",""
"1","1","","1017","","top_luis_notice","3","","","1","0"
"1","1","","1018","","0","93","","","",""
"1","1","","1019","","top_luis_walk_jog","3","","","1","0.2"
"1","1","","1020","0","-100","2","0.5","","-130",""
"1","0.5","","1021","","0","93","","","",""
"1","1","","1022","","1","4","","","",""
"1","1","0","1023","1","top_luis_sit_in","3","top_luis_sit_idle","","0","0.2"
"1","0.1","","1024","","0","93","","","",""
"1","1","","1025","0","-57","2","0.4","","-140",""
"1","1","","1026","","0","93","","","",""
"1","1","","1027","","top_luis_experiment_failer_in","3","","","0","0.2"
"1","2.3","","1028","","0","93","","","",""
"1","1","","1029","","top_luis_experiment_failer_mix","3","","","0","0.1"
"1","2.7","","1030","","0","93","","","",""
"1","13","","1031","","1","32","","","",""
"1","1","","1032","","top_luis_experiment_failer_burst","3","","","0","0.1"
"1","2.7","","1033","","0","93","","","",""
"1","1","","1034","","top_luis_experiment_failer_out","3","","","0","0.1"
"1","1.1","","1035","","0","93","","","",""
"1","1","0","1036","1","top_luis_sit_out","3","idle_normal","","0","0.2"
"1","1","","1037","0","-100","2","0.3","","-130",""
"1","1","","1038","","0","93","","","",""
"1","1","","1039","","walk_normal","3","","","0","0.2"
"1","1","","1040","0","-216","2","1","","-103",""
"1","1","","1041","","0","93","","","",""
"1","1","","1042","","idle_normal","3","","","0","0.1"
"1","0.8","","1043","","0","93","","","",""
"1","13","","1044","","0","32","","","",""
"1","1","0","1045","1","top_luis_arm_crossed_in","3","top_luis_arm_crossed_idle","","0","0.2"
"1","4","","1046","","0","93","","","",""
"1","1","0","1047","1","top_luis_approach_in","3","top_luis_approach_idle","","0","0.2"
"1","3.5","","1048","","0","93","","","",""
"1","1","","1049","","top_luis_thinking","3","","","1","0.2"
"1","3.5","","1050","","0","93","","","",""
"1","1","","1051","","top_luis_walk_think","3","","","1","0.2"
"1","1","","1052","0","-495","2","2","","-103",""
"1","2","","1053","","0","93","","","",""
"1","1","","1054","","0","4","","","",""
"1","1","","1055","0","-216","2","2","","-103",""
"1","2","","1056","","0","93","","","",""
"1","1","","1057","","top_luis_notice","3","","","1","0"
"1","1","","1058","","0","93","","","",""
"1","1","","1059","","top_luis_walk_jog","3","","","1","0.2"
"1","1","","1060","0","-100","2","0.5","","-130",""
"1","0.5","","1061","","0","93","","","",""
"1","1","","1062","","1","4","","","",""
"1","1","0","1063","1","top_luis_sit_in","3","top_luis_sit_idle","","0","0.2"
"1","0.1","","1064","","0","93","","","",""
"1","1","","1065","0","-57","2","0.4","","-140",""
"1","1","","1066","","0","93","","","",""
"1","1","","1067","","top_luis_experiment_success_in","3","","","0","0.2"
"1","2.3","","1068","","0","93","","","",""
"1","1","","1069","","top_luis_experiment_success_mix","3","","","0","0.1"
"1","2.7","","1070","","0","93","","","",""
"1","14","","1071","","1","32","","","",""
"1","1","","1072","","top_luis_experiment_success_burst","3","","","0","0.1"
"1","2.7","","1073","","0","93","","","",""
"1","1","","1074","","top_luis_experiment_success_out","3","","","0","0.1"
"1","1.1","","1075","","0","93","","","",""
"1","1","0","1076","1","top_luis_sit_out","3","idle_normal","","0","0.2"
"1","1","","1077","0","-100","2","0.3","","-130",""
"1","1","","1078","","0","93","","","",""
"1","1","","1079","","walk_normal","3","","","0","0.2"
"1","1","","1080","0","-216","2","1","","-103",""
"1","1","","1081","","0","93","","","",""
"1","1","","1082","","idle_normal","3","","","0","0.1"
"1","0.8","","1083","","0","93","","","",""
"1","14","","1084","","0","32","","","",""
"1","1005","","1085","","","101","0","","0",""
"2","2","1","2001","-130","2","5","400","top_iroha_read","100","1.43"
"2","11","1","2002","130","11","5","980","butterfly","101","1.4"
"2","11","","2003","1","11","31","-130","","400","0"
"2","0","","2004","","0","91","","","",""
"2","2","","2005","","top_iroha_read","3","","","1","0.2"
"2","9","","2006","","0","93","","","",""
"2","11","","2007","","1","4","","","",""
"2","11","","2008","0","-980","2","7","","130",""
"2","2.5","","2009","","0","93","","","",""
"2","2","","2010","","top_iroha_read_notice","3","","","0","0.2"
"2","0.6","","2011","","0","93","","","",""
"2","2","0","2012","1","top_iroha_notice_to_run","3","top_iroha_run","","0","0"
"2","0.4","","2013","","0","93","","","",""
"2","11","","2014","","1","32","","","",""
"2","11","","2015","","smokeR","37","","","",""
"2","11","","2016","0","-980","33","4.2","","-130",""
"2","2","","2017","0","-980","2","4.2","","-130",""
"2","4.2","","2018","","0","93","","","",""
"2","11","","2019","","0","32","","","",""
"2","1","","2020","","0","93","","","",""
"2","11","","2021","","0","4","","","",""
"2","11","","2022","0","980","2","7","","130",""
"2","1.5","","2023","","0","93","","","",""
"2","11","","2024","","1","32","","","",""
"2","11","","2025","","smokeL","37","","","",""
"2","11","","2026","0","980","33","5.964","","-130",""
"2","2","","2027","","top_iroha_run_joy","3","","","1","0"
"2","2","","2028","","0","4","","","",""
"2","2","","2029","0","980","2","5.964","","-130",""
"2","5.964","","2030","","0","93","","","",""
"2","11","","2031","","0","32","","","",""
"2","2","","2032","","0","93","","","",""
"2","2","","2033","","top_iroha_walk","3","","","1","0"
"2","2","","2034","","1","4","","","",""
"2","2","","2035","0","400","2","3","","-130",""
"2","11","","2036","0","400","33","3","","-130",""
"2","3","","2037","","0","93","","","",""
"2","2","0","2038","1","top_iroha_walk_out","3","idle_normal","","0","0.2"
"2","0.4","","2039","","0","93","","","",""
"2","2","0.2","2040","","top_iroha_sit_in","3","","","0","0.2"
"2","4","","2041","","0","93","","","",""
"2","2005","","2042","","","101","","","",""
"3","3","1","3001","-130","3","5","350","top_sono_readPaper","100","1.38"
"3","10","","3002","1","10","31","-18","","475","1"
"3","0","","3003","","0","91","","","",""
"3","3","","3004","","top_sono_readPaper","3","","","1","0.2"
"3","13.6","","3005","","0","93","","","",""
"3","3","0","3006","1","top_sono_sit_out","3","top_sono_stretch","","0","0.2"
"3","3.5","","3007","","0","93","","","",""
"3","3","","3008","","top_sono_drink","3","","","1","0.2"
"3","10.5","","3009","","","93","","","",""
"3","3","","3010","","top_sono_sit_in","3","","","0","0.2"
"3","2.6","","3011","","0","93","","","",""
"3","3004","","3012","","","101","","","",""
"4","2","1","4001","-130","2","5","400","top_iroha_read","101","1.43"
"4","1","1","4002","-103","1","5","-216","top_luis_thinking","100","1.4"
"4","11","1","4003","130","11","5","980","butterfly","102","1.4"
"4","11","","4004","1","11","31","-130","","400","0"
"4","0","","4005","","0","91","","","",""
"4","1","","4006","","top_luis_thinking","3","","","1","0.2"
"4","2","","4007","","top_iroha_read","3","","","1","0.2"
"4","9","","4008","","0","93","","","",""
"4","11","","4009","","1","4","","","",""
"4","11","","4010","0","-980","2","7","","130",""
"4","2.5","","4011","","0","93","","","",""
"4","2","","4012","","top_iroha_read_notice","3","","","0","0.2"
"4","0.6","","4013","","0","93","","","",""
"4","2","0","4014","1","top_iroha_notice_to_run","3","top_iroha_run","","0","0"
"4","0.4","","4015","","0","93","","","",""
"4","11","","4016","","1","32","","","",""
"4","11","","4017","","smokeR","37","","","",""
"4","11","","4018","0","-980","33","4.2","","-130",""
"4","2","","4019","0","-980","2","4.2","","-130",""
"4","1.9","","4020","","0","93","","","",""
"4","1","0","4021","1","top_luis_surprise_in","3","top_luis_surprise_idle","","0","0.2"
"4","2.3","","4022","","0","93","","","",""
"4","11","","4023","","0","32","","","",""
"4","1","","4024","","0","93","","","",""
"4","11","","4025","","0","4","","","",""
"4","11","","4026","0","980","2","7","","130",""
"4","1.5","","4027","","0","93","","","",""
"4","11","","4028","","1","32","","","",""
"4","11","","4029","","smokeL","37","","","",""
"4","11","","4030","0","980","33","5.964","","-130",""
"4","2","","4031","","top_iroha_run_joy","3","","","1","0"
"4","2","","4032","","0","4","","","",""
"4","2","","4033","0","980","2","5.964","","-130",""
"4","2.2","","4034","","0","93","","","",""
