ae615ce7f0f7c04536ee0996722fd0e557b2a2a8eb3f3e8bc526fe8a5037b81c,0353b67dc728f1ef790be4b7729f234b88d7cb757b4a984e42513155a2b69688,8a6f3e613423d0ff7edf614ba580d5ed1f89427f245efe81c7b094a4aba6579c,7efa0f0f657ee29114565e8fbddf8d2e216ece4a9dd00eee1a45ea3cdf5e9049,29877f0904597cf3069a68a3787c45235520113202ab1ba6d710f1383c9a5df0,1032c5d8594b33a1ebbf4d238e580b3bfce04692a82d012669e2eb30c245fc07,af078e4213c1e84cc8433c5fc8380c7d4bbf0b96af8043edf2d534de96530bd1
"1","2018/12/24 5:00:00","2018/12/25 4:59:59","400","0","70000","0"
"2","2018/12/25 5:00:00","2018/12/26 4:59:59","401","0","70000","0"
"3","0","0","410","0","70001","1"
"4","0","0","411","0","70001","2"
"5","0","0","412","0","70001","3"
"6","2019/12/24 5:00:00","2019/12/25 4:59:59","400","0","70002","0"
"7","2019/12/25 5:00:00","2019/12/26 4:59:59","401","0","70002","0"
"8","0","0","413","0","70003","1"
"9","0","0","414","0","70003","2"
"10","0","0","415","0","70003","3"
"21","2020/12/24 5:00:00","2020/12/25 4:59:59","400","0","70004","0"
"22","2020/12/25 5:00:00","2020/12/26 4:59:59","401","0","70004","0"
"23","0","0","416","0","70005","1"
"24","0","0","417","0","70005","2"
"25","0","0","418","0","70005","3"
"26","2021/01/30 5:00:00","2021/01/31 4:59:59","9002001","0","80004","3"
"27","2021/01/31 5:00:00","2021/02/01 4:59:59","9002002","0","80004","3"
"28","2021/02/01 5:00:00","2021/02/02 4:59:59","9002003","0","80004","3"
"29","2021/02/02 5:00:00","2021/02/03 4:59:59","9002004","0","80004","3"
"30","2021/02/03 5:00:00","2021/02/04 4:59:59","9002005","0","80004","3"
"31","2021/02/04 5:00:00","2021/02/05 4:59:59","9002006","0","80004","3"
"32","2021/02/05 5:00:00","2021/02/06 4:59:59","9002007","0","80004","3"
"33","2021/02/06 5:00:00","2021/02/07 4:59:59","9002008","0","80004","3"
"34","2021/02/07 5:00:00","2021/02/08 4:59:59","9002009","0","80004","3"
"35","2021/02/08 5:00:00","2021/02/09 4:59:59","9002010","0","80004","3"
"36","2021/02/09 5:00:00","2021/02/10 4:59:59","9002011","0","80004","3"
"37","2021/02/10 5:00:00","2021/02/11 4:59:59","9002012","0","80004","3"
"38","2021/02/11 5:00:00","2021/02/12 4:59:59","9002013","0","80004","3"
"39","2021/02/12 5:00:00","2021/02/13 4:59:59","9002014","0","80004","3"
"40","2021/02/13 5:00:00","2021/02/14 4:59:59","9002015","0","80004","3"
"41","2021/02/14 5:00:00","2021/02/15 4:59:59","9002016","0","80004","3"
"42","2021/02/15 5:00:00","2021/02/16 4:59:59","9002017","1","80004","3"
"43","2021/12/24 5:00:00","2021/12/25 4:59:59","400","0","70006","0"
"44","2021/12/25 5:00:00","2021/12/26 4:59:59","401","0","70006","0"
"45","2022/01/30 5:00:00","2022/01/31 4:59:59","9004001","0","80006","3"
"46","2022/01/31 5:00:00","2022/02/01 4:59:59","9004002","0","80006","3"
"47","2022/02/01 5:00:00","2022/02/02 4:59:59","9004003","0","80006","3"
"48","2022/02/02 5:00:00","2022/02/03 4:59:59","9004004","0","80006","3"
"49","2022/02/03 5:00:00","2022/02/04 4:59:59","9004005","0","80006","3"
"50","2022/02/04 5:00:00","2022/02/05 4:59:59","9004006","0","80006","3"
"51","2022/02/05 5:00:00","2022/02/06 4:59:59","9004007","0","80006","3"
"52","2022/02/06 5:00:00","2022/02/07 4:59:59","9004008","0","80006","3"
"53","2022/02/07 5:00:00","2022/02/08 4:59:59","9004009","0","80006","3"
"54","2022/02/08 5:00:00","2022/02/09 4:59:59","9004010","0","80006","3"
"55","2022/02/09 5:00:00","2022/02/10 4:59:59","9004011","0","80006","3"
"56","2022/02/10 5:00:00","2022/02/11 4:59:59","9004012","0","80006","3"
"57","2022/02/11 5:00:00","2022/02/12 4:59:59","9004013","0","80006","3"
"58","2022/02/12 5:00:00","2022/02/13 4:59:59","9004014","0","80006","3"
"59","2022/02/13 5:00:00","2022/02/14 4:59:59","9004015","0","80006","3"
"60","2022/02/14 5:00:00","2022/02/15 4:59:59","9004016","0","80006","3"
"61","2022/02/15 5:00:00","2022/02/16 4:59:59","9004017","1","80006","3"
"62","0","0","436","0","70007","1"
"63","0","0","437","0","70007","2"
"64","0","0","438","0","70007","3"
"65","2022/08/01 5:00:00","2022/08/02 4:59:59","9005001","0","80007","3"
"66","2022/08/02 5:00:00","2022/08/03 4:59:59","9005002","0","80007","3"
"67","2022/08/03 5:00:00","2022/08/04 4:59:59","9005003","0","80007","3"
"68","2022/08/04 5:00:00","2022/08/05 4:59:59","9005004","0","80007","3"
"69","2022/08/05 5:00:00","2022/08/06 4:59:59","9005005","0","80007","3"
"70","2022/08/06 5:00:00","2022/08/07 4:59:59","9005006","0","80007","3"
"71","2022/08/07 5:00:00","2022/08/08 4:59:59","9005007","0","80007","3"
"72","2022/08/08 5:00:00","2022/08/09 4:59:59","9005008","0","80007","3"
"73","2022/08/09 5:00:00","2022/08/10 4:59:59","9005009","0","80007","3"
"74","2022/08/10 5:00:00","2022/08/11 4:59:59","9005010","0","80007","3"
"75","2022/08/11 5:00:00","2022/08/12 4:59:59","9005011","0","80007","3"
"76","2022/08/12 5:00:00","2022/08/13 4:59:59","9005012","0","80007","3"
"77","2022/08/13 5:00:00","2022/08/14 4:59:59","9005013","0","80007","3"
"78","2022/08/14 5:00:00","2022/08/15 4:59:59","9005014","0","80007","3"
"79","2022/08/15 5:00:00","2022/08/16 4:59:59","9005015","1","80007","3"
"80","2022/12/24 5:00:00","2022/12/25 4:59:59","400","0","70008","0"
"81","2022/12/25 5:00:00","2022/12/26 4:59:59","401","0","70008","0"
"82","0","0","439","0","70009","1"
"83","2023/01/31 5:00:00","2023/02/01 4:59:59","9006001","0","80008","3"
"84","2023/02/01 5:00:00","2023/02/02 4:59:59","9006002","0","80008","3"
"85","2023/02/02 5:00:00","2023/02/03 4:59:59","9006003","0","80008","3"
