6abe8e34afd74b8ae86927de22ed7c77f3efdb37bd8b28d25418112e81e4fe8a,010f8b7895e39dabfed6e1fe58e6cd15f4bc7e62ffb87fdf1b80870c14f0b3da,58bbcd6bdced75e58adc958787926a7f21843e23051b7245a7f08cd78537f4f2,061e10acfc26d531dcd461deee047163c7e1f7cf5a5895c4f905b13c9eccd783,a77eaffc9a7e3f8d61129bafb741a80db2aa61a575c5b9faf649f424543df7b3,2a8c967039045db245f5a17fe2d844422b95aaaa3c721ae8052efe8d039c1b7c,164c0f73784cd7aa6b2adfe6a1ab9d089304125f5a7a8a171c08da0cec077ee9,f23bf28224ae60ab81848689606d752038800cbe8c52b86f262ca5be5dc12043
"104","5","3","1","111","2","4","200"
"14","5","3","1","211","2","4","2"
"103","5","3","1","311","2","4","2"
"102","5","3","1","411","2","4","2"
"104","5","3","1","511","2","4","200"
"1","5","3","1","611","2","4","250"
"101","5","3","1","711","2","4","3"
"100","5","3","1","811","2","4","3"
"104","5","3","1","911","2","4","200"
"1","5","3","1","1011","2","4","250"
"3","5","3","1","1111","2","4","250"
"5","5","3","1","1112","2","4","250"
"6","5","3","1","1211","2","4","150"
"7","5","3","1","1212","2","4","150"
"104","5","3","1","1311","2","4","200"
"103","5","3","1","1411","2","4","2"
"102","5","3","1","1511","2","4","2"
"1","5","3","1","1611","2","4","250"
"104","5","3","1","1711","2","4","200"
"2","5","3","1","1811","2","4","500"
"4","5","3","1","1812","2","4","500"
"101","5","3","1","1911","2","4","3"
"100","5","3","1","2011","2","4","3"
"104","5","3","1","2111","2","4","200"
"1","5","3","1","2211","2","4","250"
"100","5","3","1","2311","2","4","3"
"101","5","3","1","2411","2","4","3"
"104","5","3","1","2511","2","4","200"
"2","5","3","1","2611","2","4","500"
"4","5","3","1","2612","2","4","500"
"6","5","3","1","2711","2","4","150"
"7","5","3","1","2712","2","4","150"
"2","5","3","1","2811","2","4","500"
"4","5","3","1","2812","2","4","500"
"104","5","3","1","2911","2","4","200"
"3","5","3","1","3011","2","4","250"
"5","5","3","1","3012","2","4","250"
"100","5","3","1","3111","2","4","3"
"101","5","3","1","3211","2","4","3"
"104","5","3","1","3311","2","4","200"
"100","5","3","1","3411","2","4","2"
"104","5","3","1","3511","2","4","200"
"103","5","3","1","3611","2","4","1"
"102","5","3","1","3711","2","4","1"
"2","5","3","1","3811","2","4","250"
"4","5","3","1","3812","2","4","250"
"102","5","3","1","3911","2","4","1"
"104","5","3","1","4011","2","4","200"
"100","5","3","1","4111","2","4","2"
"6","5","3","1","4211","2","4","150"
"7","5","3","1","4212","2","4","150"
"104","5","3","1","4311","2","4","200"
"103","5","3","1","4411","2","4","1"
"104","5","3","1","4511","2","4","200"
"101","5","3","1","4611","2","4","2"
"102","5","3","1","4711","2","4","1"
"104","5","3","1","4811","2","4","200"
"103","5","3","1","4911","2","4","1"
"104","5","3","1","5011","2","4","200"
"101","5","3","1","5111","2","4","2"
"102","5","3","1","5211","2","4","1"
"104","5","3","1","5311","2","4","200"
"6","5","3","1","5411","2","4","150"
"7","5","3","1","5412","2","4","150"
"103","5","3","1","5511","2","4","1"
"104","5","3","1","5611","2","4","200"
"100","5","3","1","5711","2","4","2"
"101","5","3","1","5811","2","4","2"
"103","5","3","1","5911","2","4","1"
"104","5","3","1","6011","2","4","200"
"102","5","3","1","6111","2","4","1"
"2","5","3","1","6211","2","4","250"
"4","5","3","1","6212","2","4","250"
"104","5","3","1","6311","2","4","200"
"103","5","3","1","6411","2","4","1"
"102","5","3","1","6511","2","4","1"
"104","5","3","1","6611","2","4","200"
"6","5","3","1","6711","2","4","150"
"7","5","3","1","6712","2","4","150"
"102","5","3","1","6811","2","4","1"
"104","5","3","1","6911","2","4","200"
"103","5","3","1","7011","2","4","1"
"101","5","3","1","7111","2","4","2"
"100","5","3","1","7211","2","4","2"
"104","5","3","1","7311","2","4","200"
"103","5","3","1","7411","2","4","1"
"102","5","3","1","7511","2","4","1"
"2","5","3","1","7611","2","4","250"
"4","5","3","1","7612","2","4","250"
"104","5","3","1","7711","2","4","200"
"101","5","3","1","7811","2","4","2"
"100","5","3","1","7911","2","4","2"
"104","5","3","1","8011","2","4","200"
"6","5","3","1","8111","2","4","150"
"7","5","3","1","8112","2","4","150"
"101","5","3","1","8211","2","4","2"
"2","5","3","1","8311","2","4","250"
"4","5","3","1","8312","2","4","250"
"103","5","3","1","8411","2","4","1"
"104","5","3","1","8511","2","4","200"
"100","5","3","1","8611","2","4","2"
"102","5","3","1","8711","2","4","1"
"103","5","3","1","8811","2","4","1"
"104","5","3","1","8911","2","4","200"
"102","5","3","1","9011","2","4","1"
"104","5","3","1","9111","2","4","200"
"2","5","3","1","9211","2","4","250"
"4","5","3","1","9212","2","4","250"
"104","5","3","1","9311","2","4","200"
"102","5","3","1","9411","2","4","1"
"103","5","3","1","9511","2","4","1"
"104","5","3","1","9611","2","4","200"
