9467134929a769ab430ce146805f8370adb05872e677eb63c68ccb6cff241be1,5efaacb6319792e0c056bb7ace24572ebd7afbb9cebd9dd218e935130f3826e1,e16ea77e69cd9fc4ba24d8fa3473f3a59b471c928e1b3bc5f90ced1831bbec5e,aafa633a3480da53adfe8165ae27b29f3ae777b22ddadf248dba8bfac5173393,804e2c847935be0a07f7f374488867cfdd6d37b303eba706e9afaac62378125d,bec054ef9ee660ef65c785597006e573775548af93c4e68792d661ee65d1fe35,2998937744bf33d656bcfaba641401427cec2ad25f9e2174435cda071b5c448a,74b4f6c88991994908f851012bff62994f311a9e5f49f67b7a9d7d76121449a1,e7e35a4204d465ffa8820e7907afbdf169012609f288c208e77c31fadf764262,54453f560b484024c820de888682b204b6c66b105a980406af83e568df1460d7
"1","30000","10","12000","0","0","1","90001","90043","10000"
"2","30000","20","24000","0","0","2","90002","90047","10000"
"3","30000","20","24000","0","0","3","90002","90047","10000"
"4","30000","20","24000","0","0","4","90002","90047","10000"
"5","30000","20","24000","0","0","5","90002","90047","10000"
"6","30000","20","24000","0","0","6","90002","90047","10000"
"7","30000","20","24000","0","0","7","90002","90047","10000"
"8","30000","20","24000","0","0","8","90002","90047","10000"
"9","30000","20","24000","0","0","9","90002","90047","10000"
"10","30000","20","24000","0","1","10","90002","90047","10000"
"11","30000","40","48000","90011","2","11","90003","90051","10000"
"12","30000","40","48000","90011","3","12","90003","90051","10000"
"13","30000","40","48000","90011","4","13","90003","90051","10000"
"14","30000","40","48000","90011","5","14","90003","90051","10000"
"15","30000","40","48000","90011","6","15","90003","90051","10000"
"16","30000","40","48000","90011","7","16","90003","90051","10000"
"17","30000","40","48000","90011","8","17","90003","90051","10000"
"18","30000","40","48000","90011","9","18","90003","90051","10000"
"19","30000","40","48000","90011","10","19","90003","90051","10000"
"20","30000","40","48000","90011","11","20","90003","90051","10000"
"21","30000","60","72000","90015","12","21","90004","90055","10000"
"22","30000","60","72000","90015","13","22","90004","90055","10000"
"23","30000","60","72000","90015","14","23","90004","90055","10000"
"24","30000","60","72000","90015","15","24","90004","90055","10000"
"25","30000","60","72000","90015","16","25","90004","90055","10000"
"26","30000","60","72000","90015","17","26","90004","90055","10000"
"27","30000","60","72000","90015","18","27","90004","90055","10000"
"28","30000","60","72000","90015","19","28","90004","90055","10000"
"29","30000","60","72000","90015","20","29","90004","90055","10000"
"30","30000","60","72000","90015","21","30","90004","90055","10000"
"31","30000","80","96000","90015","22","31","90005","90059","10000"
"32","30000","80","96000","90015","23","32","90005","90059","10000"
"33","30000","80","96000","90015","24","33","90005","90059","10000"
"34","30000","80","96000","90015","25","34","90005","90059","10000"
"35","30000","80","96000","90015","26","35","90005","90059","10000"
"36","30000","80","96000","90015","27","36","90005","90059","10000"
"37","30000","80","96000","90015","28","37","90005","90059","10000"
"38","30000","80","96000","90015","29","38","90005","90059","10000"
"39","30000","80","96000","90015","30","39","90005","90059","10000"
"40","30000","80","96000","90015","31","40","90005","90059","10000"
"41","30000","120","144000","90017","33","41","90005","90063","10000"
"42","30000","120","144000","90017","35","42","90005","90063","10000"
"43","30000","120","144000","90017","37","43","90005","90063","10000"
"44","30000","120","144000","90017","39","44","90005","90063","10000"
"45","30000","120","144000","90017","41","45","90005","90063","10000"
"46","30000","120","144000","90017","43","46","90005","90063","10000"
"47","30000","120","144000","90017","45","47","90005","90063","10000"
"48","30000","120","144000","90017","47","48","90005","90063","10000"
"49","30000","120","144000","90017","49","49","90005","90063","10000"
"50","30000","120","144000","90017","51","50","90005","90063","10000"
"51","30000","150","180000","90019","53","51","90006","90067","10000"
"52","30000","150","180000","90019","55","52","90006","90067","10000"
"53","30000","150","180000","90019","57","53","90006","90067","10000"
"54","30000","150","180000","90019","59","54","90006","90067","10000"
"55","30000","150","180000","90019","61","55","90006","90067","10000"
"56","30000","150","180000","90019","63","56","90006","90067","10000"
"57","30000","150","180000","90019","65","57","90006","90067","10000"
"58","30000","150","180000","90019","67","58","90006","90067","10000"
"59","30000","150","180000","90019","69","59","90006","90067","10000"
"60","30000","150","180000","90019","71","60","90006","90067","10000"
"61","30000","180","216000","90021","74","61","90007","90071","10000"
"62","30000","180","216000","90021","77","62","90007","90071","10000"
"63","30000","180","216000","90021","80","63","90007","90071","10000"
"64","30000","180","216000","90021","83","64","90007","90071","10000"
"65","30000","180","216000","90021","86","65","90007","90071","10000"
"66","30000","180","216000","90021","89","66","90007","90071","10000"
"67","30000","180","216000","90021","92","67","90007","90071","10000"
"68","30000","180","216000","90021","95","68","90007","90071","10000"
"69","30000","180","216000","90021","98","69","90007","90071","10000"
"70","30000","180","216000","90021","101","70","90007","90071","10000"
