e113324af8eadcf3c47aa8fb7f2a1290dbd620072307aa08f2cb88adfd5f9aba,073413813ff67bb4c93f9a3e8a15ff5b01ae659016ff84ec53c3460c5c0ce767,9b043688855a020dfbdc0fc04b8086ac7a695fd8ea548580515948c01f733da1,0e52565471e68968d67bc9e5741110f64e359365eb5d28ae1daa083d013162da,55d1a8034ae43d8d37e7686b64ddac3814b43a957d41aaa755efa03ef024ada1,1673968266bf8c27b93ed82c5a1437948b4f00ad67c9ed183968719bd1f5bbd6,4c89c9f15612b69df5a651ca2b6b0afa60e2105d7eeeadf324548337ad7e8aaf,96e10ffd632d2167e142b1b61e685a7f7896818c2e74cfa0cc0aff5367146b64
"ガーゴイル（EASY）をクリアしよう","70000","90110001","110001","0","110001","111","1"
"ガーゴイル（NORMAL）をクリアしよう","70000","90110002","110002","0","110001","112","1"
"ガーゴイル（HARD）をクリアしよう","70000","90110003","110003","0","110001","113","1"
"ガーゴイル（VERY HARD）をクリアしよう","70000","90110004","110004","0","110001","114","1"
"ガーゴイル（EXTREME）をクリアしよう","70000","90110005","110005","0","110001","115","1"
"マグスガーゴイル（EASY）をクリアしよう","70000","90120001","120001","0","110001","121","1"
"マグスガーゴイル（NORMAL）をクリアしよう","70000","90120002","120002","0","110001","122","1"
"マグスガーゴイル（HARD）をクリアしよう","70000","90120003","120003","0","110001","123","1"
"マグスガーゴイル（VERY HARD）をクリアしよう","70000","90120004","120004","0","110001","124","1"
"マグスガーゴイル（EXTREME）をクリアしよう","70000","90120005","120005","0","110001","125","1"
"ガードガーゴイル（EASY）をクリアしよう","70000","90130001","130001","0","110001","131","1"
"ガードガーゴイル（NORMAL）をクリアしよう","70000","90130002","130002","0","110001","132","1"
"ガードガーゴイル（HARD）をクリアしよう","70000","90130003","130003","0","110001","133","1"
"ガードガーゴイル（VERY HARD）をクリアしよう","70000","90130004","130004","0","110001","134","1"
"ガードガーゴイル（EXTREME）をクリアしよう","70000","90130005","130005","0","110001","135","1"
"ガーゴイル・バースト（EASY）をクリアしよう","70000","90140001","140001","0","110001","141","1"
"ガーゴイル・バースト（NORMAL）をクリアしよう","70000","90140002","140002","0","110001","142","1"
"ガーゴイル・バースト（HARD）をクリアしよう","70000","90140003","140003","0","110001","143","1"
"ガーゴイル・バースト（VERY HARD）をクリアしよう","70000","90140004","140004","0","110001","144","1"
"ガーゴイル・バースト（EXTREME）をクリアしよう","70000","90140005","140005","0","110001","145","1"
"ガーゴイル・マギ（EASY）をクリアしよう","70000","90150001","150001","0","110001","151","1"
"ガーゴイル・マギ（NORMAL）をクリアしよう","70000","90150002","150002","0","110001","152","1"
"ガーゴイル・マギ（HARD）をクリアしよう","70000","90150003","150003","0","110001","153","1"
"ガーゴイル・マギ（VERY HARD）をクリアしよう","70000","90150004","150004","0","110001","154","1"
"ガーゴイル・マギ（EXTREME）をクリアしよう","70000","90150005","150005","0","110001","155","1"
