f2be95bddb5a8eddb3a59b32baa93f6031a9242adf51d035d15f18f5a3115044,878367eabda990d5adbcf95f9a651c4758955c9378ea4b751de817474f5d92a5,79934ff31c1c33b6004b3b3ba5ab08950e73d7eee18fdde9cf3a99d7db8422eb,2382cda98bdecfcf389565806065de3874d710a4eab1f9fa9e1a281ecebf4513
"【アタッカー】攻撃力アップLv1","10101","1","81101"
"【アタッカー】攻撃力アップLv2","10101","2","81102"
"【アタッカー】攻撃力アップLv3","10101","3","81103"
"【アタッカー】攻撃力アップLv4","10101","4","81104"
"【アタッカー】攻撃力アップLv5","10101","5","81105"
"【アタッカー】攻撃力アップLv6","10101","6","81106"
"【アタッカー】攻撃力アップLv7","10101","7","81107"
"【アタッカー】攻撃力アップLv8","10101","8","81108"
"【アタッカー】攻撃力アップLv9","10101","9","81109"
"【アタッカー】攻撃力アップLv10","10101","10","81110"
"【アタッカー】クリティカルアップLv1","10102","1","81201"
"【アタッカー】クリティカルアップLv2","10102","2","81202"
"【アタッカー】クリティカルアップLv3","10102","3","81203"
"【アタッカー】クリティカルアップLv4","10102","4","81204"
"【アタッカー】クリティカルアップLv5","10102","5","81205"
"【アタッカー】クリティカルアップLv6","10102","6","81206"
"【アタッカー】クリティカルアップLv7","10102","7","81207"
"【アタッカー】クリティカルアップLv8","10102","8","81208"
"【アタッカー】クリティカルアップLv9","10102","9","81209"
"【アタッカー】クリティカルアップLv10","10102","10","81210"
"【アタッカー】与ダメージアップLv1","10103","1","81301"
"【アタッカー】与ダメージアップLv2","10103","2","81302"
"【アタッカー】与ダメージアップLv3","10103","3","81303"
"【アタッカー】与ダメージアップLv4","10103","4","81304"
"【アタッカー】与ダメージアップLv5","10103","5","81305"
"【アタッカー】与ダメージアップLv6","10103","6","81306"
"【アタッカー】与ダメージアップLv7","10103","7","81307"
"【アタッカー】与ダメージアップLv8","10103","8","81308"
"【アタッカー】与ダメージアップLv9","10103","9","81309"
"【アタッカー】与ダメージアップLv10","10103","10","81310"
"【アタッカー】通常攻撃強化Lv1","10104","1","81401"
"【アタッカー】通常攻撃強化Lv2","10104","2","81402"
"【アタッカー】通常攻撃強化Lv3","10104","3","81403"
"【アタッカー】通常攻撃強化Lv4","10104","4","81404"
"【アタッカー】通常攻撃強化Lv5","10104","5","81405"
"【アタッカー】通常攻撃強化Lv6","10104","6","81406"
"【アタッカー】通常攻撃強化Lv7","10104","7","81407"
"【アタッカー】通常攻撃強化Lv8","10104","8","81408"
"【アタッカー】通常攻撃強化Lv9","10104","9","81409"
"【アタッカー】通常攻撃強化Lv10","10104","10","81410"
"【ブレイカー】攻撃力アップLv1","10201","1","82101"
"【ブレイカー】攻撃力アップLv2","10201","2","82102"
"【ブレイカー】攻撃力アップLv3","10201","3","82103"
"【ブレイカー】攻撃力アップLv4","10201","4","82104"
"【ブレイカー】攻撃力アップLv5","10201","5","82105"
"【ブレイカー】攻撃力アップLv6","10201","6","82106"
"【ブレイカー】攻撃力アップLv7","10201","7","82107"
"【ブレイカー】攻撃力アップLv8","10201","8","82108"
"【ブレイカー】攻撃力アップLv9","10201","9","82109"
"【ブレイカー】攻撃力アップLv10","10201","10","82110"
"【ブレイカー】クリティカルアップLv1","10202","1","82201"
"【ブレイカー】クリティカルアップLv2","10202","2","82202"
"【ブレイカー】クリティカルアップLv3","10202","3","82203"
"【ブレイカー】クリティカルアップLv4","10202","4","82204"
"【ブレイカー】クリティカルアップLv5","10202","5","82205"
"【ブレイカー】クリティカルアップLv6","10202","6","82206"
"【ブレイカー】クリティカルアップLv7","10202","7","82207"
"【ブレイカー】クリティカルアップLv8","10202","8","82208"
