84fa85203daa4b522d3a25e0baefd1b7c5bf7be042789e45e37d4a8174465196,4c440fc96bcc82f0784b6ad4591410eaf175f1c73874b454ab33201ef925f4f8,49172656988b2a951082077f9be08997804f03df8601d5213ddbe9b130d1a6e1,0cb2440e7d7ac6e385746bfd22395346e01541b438daa029364ff826caba5b4d,596664c687ef1bbec827f9a2bb2cd3533fcf9f3cb3232c1751fc5d5027377d18,471aed89e3ffc79869e32ac5a32331c7792f4aad504e4b5b84773a09a38d769d
"1","1","0","10009101","10009106","1"
"1","1","0","10009101","10009112","2"
"1","1","0","10010101","10010110","3"
"2","1","0","10019101","1001901","4"
"1","1","0","10021101","10021112","5"
"1","1","0","10025101","10025109","6"
"3","2","500810","10025","5025001","7"
"1","1","0","20009101","20009106","8"
"1","1","0","20009101","20009112","9"
"1","1","0","20010101","20010110","10"
"3","2","501001","10042","5042001","12"
"2","1","0","20015101","2001501","13"
"3","2","501031","10044","5044001","14"
"1","1","0","20016101","20016112","15"
"3","2","501103","10046","5046002","16"
"1","1","0","10049101","10049109","17"
"1","1","0","10066101","10066112","19"
"3","2","501291","10066","5066005","20"
"3","2","501001","10069","5042001","21"
"3","2","501031","10071","5044001","22"
"3","2","501341","10068","5068001","23"
"3","2","501353","10070","5070004","24"
"3","2","500016","10070","5070005","25"
"3","2","501364","10072","5072004","26"
"3","2","501365","10072","5072006","27"
"3","2","501103","10073","5046002","28"
"3","2","501383","10074","5074001","29"
"1","1","0","10076101","10076112","30"
"3","2","505036","10076","5076005","31"
"3","2","501451","10078","5078004","32"
"3","2","501463","10080","5080005","33"
"1","1","0","10082101","10082105","34"
"1","1","0","10082102","10082108","35"
"1","1","0","10082103","10082111","36"
"3","2","501160","10082","5082002","37"
"3","2","501031","10082","5082004","38"
"3","2","501483","10082","5082005","39"
"3","2","500368","10084","5084001","40"
"3","2","510306","10084","5084002","41"
"3","2","500039","10084","5084003","42"
"3","2","500368","10085","5085002","43"
"3","2","510203","10085","5085003","44"
"3","2","500272","10085","5085004","45"
"3","2","501501","10085","5085005","46"
"3","2","501810","10088","5088005","47"
"3","2","501001","20025","5042001","50"
"3","2","501541","10090","5090002","51"
