e4c4d30ffb720425cf6d8a306810c3f9e8dfcd0fe8eedbedeb77a59c94f2b05c,a150ea28ba6fb70c3bf13ee6f45163e07f29d9b1cc8f00bf06126d72511e1247,0fd35d398abc1d93db9c6598dd97b83f8fa3b1529958fbfe67322e14905b4371,dfae0fe44c8e578c31413e38c1e48d1fb1a6c13d32ffe151f2225b064b16802d,f0dd018465132d2dbd0f2703bd5ccc2cc88ecd9ace191954ebc32250c6dbd230
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10101","1"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10102","1"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10201","2"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10202","2"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10203","2"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10204","2"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10205","2"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10301","3"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10302","3"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10303","3"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10304","3"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10305","3"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10306","3"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10401","4"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10402","4"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10403","4"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10404","4"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10405","4"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10406","4"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","10407","4"
"EXTREMEバトル時に一定確率で強敵が出現する。","強敵出現","add_monster","10501","5"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10502","5"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10503","5"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10504","5"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10505","5"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10506","5"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10507","5"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","10508","5"
"すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","tp_down_cut","10509","5"
"すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","hp_recovery_down","10510","5"
"EXTREMEバトル時に一定確率で強敵が出現する。","強敵出現","add_monster","10601","6"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10602","6"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10603","6"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10604","6"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10605","6"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10606","6"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10607","6"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","10608","6"
"すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","tp_down_cut","10609","6"
"すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","hp_recovery_down","10610","6"
"EXTREMEバトル時に一定確率で強敵が出現する。","強敵出現","add_monster","10701","7"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10702","7"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10703","7"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10704","7"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10705","7"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10706","7"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10707","7"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","10708","7"
"すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","tp_down_cut","10709","7"
"すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","hp_recovery_down","10710","7"
"バトル勝利時のアルファルピ獲得量がダウンする。","アルファルピ獲得量ダウン","decrease_income","10711","7"
"EXTREMEバトル時に一定確率で強敵が出現する。","強敵出現","add_monster","10801","8"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10802","8"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10803","8"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10804","8"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10805","8"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10806","8"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10807","8"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","10808","8"
"すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","tp_down_cut","10809","8"
"すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","hp_recovery_down","10810","8"
"バトル勝利時のアルファルピ獲得量がダウンする。","アルファルピ獲得量ダウン","decrease_income","10811","8"
"すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","継続ダメージ発生間隔/効果時間延長","increase_dot_interval","10812","8"
"EXTREMEバトル時に一定確率で強敵が出現する。","強敵出現","add_monster","10901","9"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","10902","9"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","10903","9"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","10904","9"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","10905","9"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","10906","9"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","10907","9"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","10908","9"
"すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","tp_down_cut","10909","9"
"すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","hp_recovery_down","10910","9"
"バトル勝利時のアルファルピ獲得量がダウンする。","アルファルピ獲得量ダウン","decrease_income","10911","9"
"すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","継続ダメージ発生間隔/効果時間延長","increase_dot_interval","10912","9"
"EXTREMEバトル時に一定確率で強敵が出現する。","強敵出現","add_monster","11001","10"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","damage_limit","11002","10"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","def_lower_limit","11003","10"
"すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","damage_cut","11004","10"
"すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","damage_up","11005","10"
"すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","def_up","11006","10"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","critical_down","11007","10"
"すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","life_steal_down","11008","10"
"すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","tp_down_cut","11009","10"
"すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","hp_recovery_down","11010","10"
"バトル勝利時のアルファルピ獲得量がダウンする。","アルファルピ獲得量ダウン","decrease_income","11011","10"
"すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","継続ダメージ発生間隔/効果時間延長","increase_dot_interval","11012","10"
"バトル時間が85秒になる。","バトル時間制限","limit_time","11013","10"
