b5269ed85cb4330ee4fce3c6e041f904a7c193e88a51199fe0789148298a0310,34ac3bfbd2beb53d4a66e4b104218880cba4b60a2f40a54a4034fd40dc8b78d8,9ef8d90507e5bd54b5762ca9b64c7f753ed34aa57cd6c09ef4ab5661e09bc74b
"装備中","通常時","106101"
"特殊スキル","通常時","106701"
"権能解放中","通常時","106801"
"特殊スキル","通常時","106901"
"変身中","通常時","115801"
"特殊スキル","通常時","116401"
"特殊スキル","通常時","118201"
"特殊スキル","通常時","118501"
"特殊スキル","通常時","118601"
"初回発動時","通常時","120801"
"特殊スキル","通常時","122001"
"共闘中","通常時","122301"
"特殊スキル","通常時","122701"
"特殊スキル","通常時","123001"
"共闘中","通常時","125001"
"特殊スキル","通常時","125801"
"特殊スキル","通常時","126001"
"特殊スキル","通常時","126101"
"特殊スキル","通常時","126201"
"【フルチャージ】中","通常時","126401"
"特殊スキル","通常時","126501"
"特殊スキル","通常時","129001"
"特殊スキル","通常時","129301"
"特殊スキル","通常時","129401"
"初回発動時","通常時","129501"
"特殊スキル","通常時","129601"
"特殊スキル","通常時","129701"
"特殊スキル","通常時","130001"
"特殊スキル","通常時","130101"
"特殊スキル","通常時","131201"
"特殊スキル","通常時","131801"
"特殊スキル","通常時","132001"
"鬼化中","通常時","132101"
"初回発動時","通常時","132901"
"特殊スキル","通常時","181201"
