49ffbc6b0ed8c88e381a7a4a0951bf13909bc9913722038328d37949d777ffcc,e9010a86f4e974fcb5ca5a95bbc6b54115784e58f9ef56cb1d9f7a9d841d5c49,c6cc43a84e165970727a92ac1d6e64fd58593130a566563b575e8d7af417d88e,2e2b9a0768babe903b9af5999ba8125fea865377d80a119ef6de10112e7465c0,7337716e9c9bd6aefe09d885551e44a234d81a27c5d28fbf71a9508c9366e86e
"1","0","1","1","2700"
"2","0","1","2","3600"
"3","0","1","3","5400"
"4","1","1","1","3600"
"5","1","1","2","5400"
"6","1","1","3","7200"
"7","0","2","1","1800"
"8","0","2","2","2700"
"9","0","2","3","3600"
"10","1","2","1","2700"
"11","1","2","2","4050"
"12","1","2","3","5400"
"13","0","3","1","1800"
"14","0","3","2","2700"
"15","0","3","3","3600"
"16","1","3","1","2700"
"17","1","3","2","4050"
"18","1","3","3","5400"
"19","0","4","1","1800"
"20","0","4","2","2700"
"21","0","4","3","3600"
"22","1","4","1","2700"
"23","1","4","2","4050"
"24","1","4","3","5400"
