cd37dcb8f3afb1570047eb8b1ea7db09e030370c09a9884ed0c6a70cd55beb92,36f3521ba4628b578ddff65e0014ca79401f83866de7e58b6db35e645c0a6198,9f321a76e4f630f68281e930b4ed1f3abe2c60205889aea6cd3418f4d1688d2d,f01428a1a81a74d1495cabe40fdc57eb1bb2e78a6ed1f0a0cdf5343dd1ba6b63,254fbabc7066c5048278104c33e73516920e63183f08ae8578f2c86f5f7a47ef,5f61c4172ed9fa4ff4cd94fee4c461cbabf1b83ced1f01bb9477b50057921ece,43ab9a6fd76ab97043e6e4b432b3523a67603d8a6e29f73aa2840d036e54ff2f,77c5888488a2936ce941aee59c950cb60ee8882fa4635f7bbcf53e3978b30e1f,95e16a804b1c0977523c5f5080dc91643a3e0cba34e931faa5103a12bea56e88,84cba2a47728275c243a1fe10b1b371dfa687effed9cc702331076aed9e5d939,545276adc06d60f2125f0e0a62a281267c7a7dd5880fab2534d9a34d91881944
"100","idle_normal","1.8","105811","-278","1","0","1","-225","5146061","61001"
"101","idle_normal","1.8","1058","-278","5","0","6","-225","5146061","61002"
"103","kokkoro_idle_normal","1.8","105911","-288","1","0","1","-385","5146061","61003"
"104","kokkoro_idle_normal","1.8","1059","-288","5","0","3","-385","5146061","61004"
"106","idle_normal","1.8","106011","-278","1","1","1","290","5146061","61005"
"107","idle_normal","1.8","1060","-278","5","1","4","290","5146061","61006"
"","","","200","","13","","105811","","5146061","61007"
"","","","203","","13","","105911","","5146061","61008"
"","","","206","","13","","106011","","5146061","61009"
"15","idle","0.85","7","-174","5","0","7","0","5146061","61010"
"210","empty","1","201","8","5","0","20","290","5146061","61011"
"211","empty","1","202","-78","5","0","20","0","5146061","61012"
"210","empty","1","203","16","5","0","20","-315","5146061","61013"
"60","empty","1","21","153","5","0","21","0","5146061","61014"
"0","","1","1","1","31","","1","0","5146061","61015"
"0","","0","2","1","31","","2","-57.7","5146061","61016"
"0","","0","10","1","31","","10","0","5146061","61017"
"0","","0","11","1","31","","11","0","5146061","61018"
"","","","0","","91","","0","","5146061","61019"
"0","","","0","","102","","0","","5146061","61020"
"","","","0","","93","","1","","5146061","61021"
"0","","0.2","doya_in_shy","1","3","0","106011","doya_talk_shy","5146061","61022"
"0","","0.2","doya_in_shy","1","3","0","1060","doya_talk_shy","5146061","61023"
"0","","","vo_apg_0101","","21","","vo_apg","0","5146061","61024"
"10","0","0","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","1","11","0","106011","1","5146061","61025"
"","","","","","91","","0","","5146061","61026"
"","","","1","","32","","2","","5146061","61027"
"","","","fade105_in","","37","","2","","5146061","61028"
"","","","0","","4","","106011","","5146061","61029"
"","","","0","","4","","1060","","5146061","61030"
"1","","0.5","sad_idle_dere_shy","","3","","106011","","5146061","61031"
"1","","0.5","sad_idle_dere_shy","","3","","1060","","5146061","61032"
"0","","","vo_apg_0102","","21","","vo_apg","0","5146061","61033"
"0","","0","0102_in","","3","","201","","5146061","61034"
"","","","1","","93","","4.6","","5146061","61035"
"0","","0","0102_mid","","3","","201","","5146061","61036"
"","","","","","92","","","","5146061","61037"
"0","","0","0102_out","","3","","201","","5146061","61038"
"","","","0","","93","","0.2","","5146061","61039"
"0","","0.2","kyaru_smile_in","1","3","0","106011","kyaru_smile_idle","5146061","61040"
"0","","0.2","kyaru_smile_in","1","3","0","1060","kyaru_smile_idle","5146061","61041"
"0","","","vo_apg_0103","","21","","vo_apg","0","5146061","61042"
"0","","0","0103_in","","3","","201","","5146061","61043"
"","","","1","","93","","5.4","","5146061","61044"
"0","","0","0103_mid","","3","","201","","5146061","61045"
"","","","","","92","","","","5146061","61046"
"0","","0","0103_out","","3","","201","","5146061","61047"
"","","","0","","93","","0.2","","5146061","61048"
"","","","fade105_out","","37","","2","","5146061","61049"
"","","","1","","4","","105811","","5146061","61050"
"","","","1","","4","","1058","","5146061","61051"
"1","","0.2","surprise_talk","","3","","105811","","5146061","61052"
"1","","0.2","surprise_talk","","3","","1058","","5146061","61053"
"0","","","vo_apg_0104","","21","","vo_apg","0","5146061","61054"
"10","0","0","……キャルちゃん、\n写真写りたくないんですかね…？","1","11","0","105811","1","5146061","61055"
"","","","","","91","","0","","5146061","61056"
"1","","0.2","surprise_idle_talk1R","","3","","105811","","5146061","61057"
