e7f63befadc8761096dff65e4721551845f40338c5706de15ae0487ce67d39c4,bd8b6ba59f9ca2c81c5f4e4449823944a6f24cbe640a51d1a6154080b7fda2e2,06e560972c2ab89ea4e0c60b5cb037928009722fe7d4139e40e6f7015ab514a1,6160c0f9f7239d9599e0c5477f8cc00e449debf710707d54b04d44c44d149944,8e26d801412986ef4ac5e08b506b87cfeb707360acaa598aac445ce792d0e210,357a8e03a79244cf1724cf79605bc82dad0382f507341e017599a7d82a6758d6,c360297f8e1fa7ab66bcac9ec9b54ed2441b4bdfee971ad6b9ede0e41dfac2c8,423d80913fea2467de5a98f5d87544adc051e4c0a9775ce23fe042999340f88c,012e97389ec2416db735c64b9c5350cd2ae28eed1bed158732aaa2479d5ffb4b,6b06bf652e2731f7e9336b508893f30c8d4cc2a4f07e29d9286c1bebe3a2c460,bc595ffa22e7eac7fd8e91d96734086f23769887ecf995284da57c5e14607e33,613e9cd72690d0305d8ec36697c4bbbf70c48f485498aa7018517a2229462793,1948d455fd52e54c9bf483b1fb1800e8594a97dfa528706e3e0dc3d2e9dabf22,5b614006c88e763ad5a74b90e48a6409cad08883508aa23156157ca5e8569565,f82407b8c4f1a8ca990503c6eb9509416420d42f9d2d56aa0d09bf791a27ca91,0e81ce441d189735169c14e28b631a64eaf8e2760d56bc761fe1dda9e82763f5,532ee557530fbd83809dcda74e5d67ec5b6a013809b67464f5ffd183c006d3e4
"108","1","11001","4101351","4104351","1","スィオネ\n樹林","43200","7200","4101401","11001001","4104401","10","-470","11001001","4201401","100000"
"90","2","11001","4106351","4110351","1","ヘリケ巨木","43200","7200","4106401","11001002","4110401","10","-235","11001002","4203401","100000"
"108","3","11001","4102351","4105351","1","イオカステ\n岩山","43200","7200","4102401","11001003","4105401","10","0","11001003","4201401","100000"
"90","4","11001","4108351","4109351","1","ハルパリ\n大滝","43200","7200","4108401","11001004","4109401","10","235","11001004","4203401","100000"
"108","5","11001","4103351","4107351","1","ムネメー川","43200","7200","4103401","11001005","4107401","10","470","11001005","4201401","100000"
"108","6","11002","4301351","4101401","1","アルバ浜堤","43200","7200","4104401","11002001","4201401","10","-470","11002003","4301401","100000"
"90","7","11002","4305351","4106401","1","サダルスド\n砂浜","43200","7200","4110401","11002002","4203401","10","-235","11002002","4305401","100000"
"108","8","11002","4302351","4102401","1","ダルリク\n巨岩","43200","7200","4105401","11002003","4201401","10","0","11002001","4302401","100000"
"90","9","11002","4304351","4108401","1","アンカル川","43200","7200","4109401","11002004","4203401","10","235","11001005","4304401","100000"
"108","10","11002","4303351","4103401","1","ダクビア\n森林","43200","7200","4107401","11002005","4201401","10","470","11001001","4303401","100000"
"108","11","11003","4201351","4201401","1","ミーマス\n洞穴","43200","7200","4101401","11003001","4104401","10","-470","11003001","4109401","100000"
"90","11","11003","4202351","4202401","1","レアント川","43200","7200","4108401","11003002","4102401","10","-155","11003002","4110401","100000"
"108","11","11003","4203351","4203401","1","ケランド\n廃墟","43200","7200","4103401","11003003","4105401","10","160","11003003","4109401","100000"
"90","11","11003","4204351","4204401","1","デオネカ\n氷海","43200","7200","4106401","11003004","4107401","10","470","11003004","4110401","100000"
