05c0198bf244db257e9cf2bea868fdae5dc4cf8478636535e828476933c12ce7,89bec4feb95cd930d193944dc4ddc01c6a14f2e9ab205bc931b21b1c68333d3f,ce14469ae244d287f7ebc77b531e67c861d1e4c6c95bb044bea59728706a54a1,6f3f8bad16fe0081a83753470f1dc9115ac6955c83822d36b0dba5d915e472be,42430527360ac03ab78633c8c83c36c9072aefe8309e50d4304db8bff1d0af49,3a1131ddeb8a3c74f052c98aeed9d938039a2a28d0664d4c306566f45d7597a0,ccb7388ad5f1a338cf90dbaca72375992cea4c77e4dcf4a8f7ae791e53a0dc0f,f02358327e22952d3e23fcc699a6ecba2c8c8113f2502b5f7fc663fbdee7ca87
"111","1","2","3","4","5","104","200"
"211","1","2","3","4","5","14","2"
"311","1","2","3","4","5","103","2"
"411","1","2","3","4","5","102","2"
"511","1","2","3","4","5","104","200"
"611","1","2","3","4","5","1","250"
"711","1","2","3","4","5","101","3"
"811","1","2","3","4","5","100","3"
"911","1","2","3","4","5","104","200"
"1011","1","2","3","4","5","1","250"
"1111","1","2","3","4","5","3","250"
"1112","1","2","3","4","5","5","250"
"1211","1","2","3","4","5","6","150"
"1212","1","2","3","4","5","7","150"
"1311","1","2","3","4","5","104","200"
"1411","1","2","3","4","5","103","2"
"1511","1","2","3","4","5","102","2"
"1611","1","2","3","4","5","1","250"
"1711","1","2","3","4","5","104","200"
"1811","1","2","3","4","5","2","500"
"1812","1","2","3","4","5","4","500"
"1911","1","2","3","4","5","101","3"
"2011","1","2","3","4","5","100","3"
"2111","1","2","3","4","5","104","200"
"2211","1","2","3","4","5","1","250"
"2311","1","2","3","4","5","100","3"
"2411","1","2","3","4","5","101","3"
"2511","1","2","3","4","5","104","200"
"2611","1","2","3","4","5","2","500"
"2612","1","2","3","4","5","4","500"
"2711","1","2","3","4","5","6","150"
"2712","1","2","3","4","5","7","150"
"2811","1","2","3","4","5","2","500"
"2812","1","2","3","4","5","4","500"
"2911","1","2","3","4","5","104","200"
"3011","1","2","3","4","5","3","250"
"3012","1","2","3","4","5","5","250"
"3111","1","2","3","4","5","100","3"
"3211","1","2","3","4","5","101","3"
"3311","1","2","3","4","5","104","200"
