4364e7cdbc2ae661bdc63ee10d21f7a2112b73c2d93bdc3367fe091d26a51c1f,4e0cce60baf2c43b474958a8b5a4be6d27451c06392005f0d67d180484e61643,18cdef958d84f3c3063affbf31622d14a3d724ba59306a7929c3073cce307c6a,04773d62465957a575e0be6f6f056d22def1cff63ba565120f7bccef0afc157a,a53ff2df94bf73d7c478d8afeeb942a6d5d784e875d4f9bc381ed1aa091ac632,072f3c93a6711e34aa610428a19eb75c40532f5ff9abbffb3eaa97fbcb47abb8
"50000","2","26202","1","50000","1"
"10","2","90013","2","10","1"
"1","2","26203","3","0","1"
"55000","2","26202","4","55000","2"
"10","2","90013","5","10","2"
"1","2","26203","6","0","2"
"60000","2","26202","7","60000","3"
"10","2","90013","8","10","3"
"1","2","26203","9","0","3"
"65000","2","26202","10","65000","4"
"10","2","90013","11","10","4"
"1","2","26203","12","0","4"
"70000","2","26202","13","70000","5"
"10","2","90013","14","10","5"
"1","2","26203","15","0","5"
"75000","2","26202","16","75000","6"
"10","2","90013","17","10","6"
"1","2","26203","18","0","6"
"80000","2","26202","19","80000","7"
"10","2","90013","20","10","7"
"1","2","26203","21","0","7"
"85000","2","26202","22","85000","8"
"10","2","90013","23","10","8"
"1","2","26203","24","0","8"
"90000","2","26202","25","90000","9"
"20","2","90013","26","20","9"
"1","2","26203","27","0","9"
"95000","2","26202","28","95000","10"
"20","2","90013","29","20","10"
"1","2","26203","30","0","10"
"100000","2","26202","31","100000","11"
"20","2","90013","32","20","11"
"1","2","26203","33","0","11"
"105000","2","26202","34","105000","12"
"20","2","90013","35","20","12"
"1","2","26203","36","0","12"
