c583412db1189b3c3a193bab50c923dc5d3ffb36c4eddaeaaa767f61a5b9d163,d18845e5b97e3153af0119220882f41ab119f6b830fe82093aa07f375260a9bc,3f97ec14528fe29bf25a4412deadca42648b158c59e8a4c4ff984b9abea9dbb4,a5133a5e679909861c14780e080b7dd486c95b1cfdb8461568db5d12bcba24a0,be3074117e675436285e8ca83f6c11a52f874d0c0e659e5be285dbae01e1c780,9e6e4ccb610550a318586249e953581dbe80706f3d067f0818ba302efbbc89f4,c86950244ba2683b1f1acf8d9ff020dd6404dc6434d46eb5ffe5a7302865e448
"12","94002","累計スコアを2500pt 獲得しよう","2500","1","50000","5126700"
"12","94002","累計スコアを5000pt 獲得しよう","5000","1","50000","0"
"12","94002","累計スコアを7500pt 獲得しよう","7500","1","50000","0"
"7","2839","累計スコアを10000pt 獲得しよう","10000","1","1","5126701"
"12","94002","累計スコアを12500pt 獲得しよう","12500","1","80000","0"
"12","94002","累計スコアを15000pt 獲得しよう","15000","1","80000","0"
"12","94002","累計スコアを17500pt 獲得しよう","17500","1","80000","0"
"8","91002","累計スコアを20000pt 獲得しよう","20000","1","25","5126702"
"12","94002","累計スコアを22500pt 獲得しよう","22500","1","100000","0"
"12","94002","累計スコアを25000pt 獲得しよう","25000","1","100000","0"
"8","91002","累計スコアを27500pt 獲得しよう","27500","1","100","0"
"15","11001262","累計スコアを30000pt 獲得しよう","30000","1","1","5126703"
"12","94002","累計スコアを2500pt 獲得しよう","2500","2","50000","5126710"
"12","94002","累計スコアを5000pt 獲得しよう","5000","2","50000","0"
"12","94002","累計スコアを7500pt 獲得しよう","7500","2","50000","0"
"7","2840","累計スコアを10000pt 獲得しよう","10000","2","1","5126711"
"12","94002","累計スコアを12500pt 獲得しよう","12500","2","80000","0"
"12","94002","累計スコアを15000pt 獲得しよう","15000","2","80000","0"
"12","94002","累計スコアを17500pt 獲得しよう","17500","2","80000","0"
"8","91002","累計スコアを20000pt 獲得しよう","20000","2","25","5126712"
"12","94002","累計スコアを22500pt 獲得しよう","22500","2","100000","0"
"12","94002","累計スコアを25000pt 獲得しよう","25000","2","100000","0"
"8","91002","累計スコアを27500pt 獲得しよう","27500","2","100","0"
"15","11001263","累計スコアを30000pt 獲得しよう","30000","2","1","5126713"
