70e13edd24ac07aa52e467092e9361f351118f98343169ba1b07ea36dd3a9b05,ebb2c94207217de8cdaa642340f307a8a474b30da9bb68a828728657ac714d17,66f08c08e7eb92270baac386b0f5bf4b8b0f2c69f6ffcef61a458dafa35492ad,2e9cbd5433f98ee6029143fc91d03ead8308952aca5af69a9020e3b74108528b,330745af2b9d5154bb904b22fd6b177cecbf0bf2623e1b70893a5a54f3d602c5,ba8f4d4987e674eec246363f2938ddbe89ecca92ff51c51145e28b4a2bf23081,d76c8366e5294f7870dc639e19ccfd3b3780c220ce4c1d6448eada89024ba648,b3df07b3c4e575e79d58eba08cde34aeaf5c485b5bda0cf080a18d33bd108154,8f70b98bee29d16f48a1fb4697d9e248d4a1934c306cb8e134ba3d2b5f2c612d,ea8df2bbcfb820fb32b5f8b76df0a4742698404bd7de9d40ad020de369c65e94,c7531c7193d548e9d475205881b83f7c723650567b9a2899702c80aba541ea21
"0","0","bsm_idle_yamato","100","1.3","1","1001","0","1","1","130011"
"1","0","","0","0.2","1","1002","bsm_drama_arm_crossed_loop","130011","3","bsm_drama_arm_crossed"
"","","","0","","1","1003","0","vo_minigame_1014","21","vo_minigame_1014_top_1000"
"0","0","1","5","0","1","1004","1","130011","11","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな"
"","","","","","1","1005","","0","91",""
"","","","1","0.3","1","1006","","130011","3","bsm_idle_yamato"
"0","0","bsm_idle_yamato","100","1.3","2","2001","0","1","1","130011"
"","","","1","0.2","2","2002","","130011","3","bsm_drama_thinking"
"","","","0","","2","2003","0","vo_minigame_1014","21","vo_minigame_1014_top_1001"
"0","0","1","6","0","2","2004","1","130011","11","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね"
"","","","","","2","2005","","0","91",""
"","","","1","0.3","2","2006","","130011","3","bsm_idle_yamato"
"0","0","bsm_idle_yamato","100","1.3","3","3001","0","1","1","130011"
"1","0","","0","0.2","3","3002","bsm_drama_doya_loop","130011","3","bsm_drama_doya"
"","","","0","","3","3003","0","vo_minigame_1014","21","vo_minigame_1014_top_1002"
"0","0","1","7","0","3","3004","1","130011","11","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ"
"","","","","","3","3005","","0","91",""
"","","","1","0.3","3","3006","","130011","3","bsm_idle_yamato"
"0","0","bsm_idle_wakana","100","1.3","4","4001","0","1","1","130111"
"1","0","","0","0.2","4","4002","bsm_drama_guts_loop","130111","3","bsm_drama_guts"
"","","","0","","4","4003","0","vo_minigame_1014","21","vo_minigame_1014_top_2000"
"0","0","1","8","0","4","4004","1","130111","11","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！"
"","","","","","4","4005","","0","91",""
"","","","1","0.3","4","4006","","130111","3","bsm_idle_wakana"
"0","0","bsm_idle_wakana","100","1.3","5","5001","0","1","1","130111"
"","","","1","0.2","5","5002","","130111","3","bsm_drama_wish"
"","","","0","","5","5003","0","vo_minigame_1014","21","vo_minigame_1014_top_2001"
"0","0","1","8","0","5","5004","1","130111","11","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです"
"","","","","","5","5005","","0","91",""
"","","","1","0.3","5","5006","","130111","3","bsm_idle_wakana"
"0","0","bsm_idle_wakana","100","1.3","6","6001","0","1","1","130111"
"","","","1","0.2","6","6002","","130111","3","bsm_drama_pazzled"
"","","","0","","6","6003","0","vo_minigame_1014","21","vo_minigame_1014_top_2002"
"0","0","1","7","0","6","6004","1","130111","11","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？"
"","","","","","6","6005","","0","91",""
"","","","1","0.3","6","6006","","130111","3","bsm_idle_wakana"
"0","0","bsm_idle_fubuki","100","1.3","7","7001","0","1","1","130211"
"","","","1","0.2","7","7002","","130211","3","bsm_drama_smile"
"","","","0","","7","7003","0","vo_minigame_1014","21","vo_minigame_1014_top_3000"
"0","0","1","5","0","7","7004","1","130211","11","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡"
"","","","","","7","7005","","0","91",""
"","","","1","0.2","7","7006","","130211","3","bsm_idle_fubuki"
"0","0","bsm_idle_fubuki","100","1.3","8","8001","0","1","1","130211"
"1","","","0","0.2","8","8002","bsm_drama_doya_loop","130211","3","bsm_drama_doya"
"","","","0","","8","8003","0","vo_minigame_1014","21","vo_minigame_1014_top_3001"
"0","0","1","7","0","8","8004","1","130211","11","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？"
"","","","","","8","8005","","0","91",""
"","","","1","0.2","8","8006","","130211","3","bsm_idle_fubuki"
"0","0","bsm_idle_fubuki","100","1.3","9","9001","0","1","1","130211"
"1","0","","0","0.2","9","9002","bsm_drama_laugh_loop","130211","3","bsm_drama_laugh"
"","","","0","","9","9003","0","vo_minigame_1014","21","vo_minigame_1014_top_3002"
"0","0","1","7","0","9","9004","1","130211","11","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡"
"","","","","","9","9005","","0","91",""
"","","","1","0.2","9","9006","","130211","3","bsm_idle_fubuki"
