66b8d8d46812518404e914a8e5847a780f74115c09f3cc0825cffcc8547a9cbe,03881185b6121ad672e8c7b3a1f7eab66358e2e7f5d450c6526210fd37e2e5e5,e2e7da2d4a4f78f36a697e94f19937973e339b718bb9583e22cfa509d9faa2e9,5acc887f063a73c658a1178c671f28d77791b73b6452e5baeb33579467f3845b,8e5147d59b124f0bb07005478c878d2fa0e1c09389b7891fcc83256c7ec5038c,9880329659f891224f33c276d24892de4748d281c023c232a34fc0e1d3053b35,266cce17a4fa1ca174ce158c29669ae2236506e055c2f34003522e287b87d123,8d6b84719d1e31d4be0fb542a202d075925a25f6e53c85aa895fa559d990708d,c8d9b8a1081ad41c91f6e4ffbbf05cac762495c913b6ce1ea54f2de56b44dad8,ff67510bf5578eb2c5a17ab97cb37109d79e2979145bd134794be339ae7a17c7,0c552da4ce0f780f1ed8d15ebe3f3efa08b5a98017dc9abc75e074467d8517f3,dfe917aaedd09d1e15e922397329d7841694742bcb113a6ec50675fa856e3874,afe87790ea14c66e77cc4dcec2fa487c91926f33ce7b1c261738c3fd3e56c59a,eefffe607c49049f9dd0b147bdd06039fd8f8c8e091c84231a6478647147c3b2,58a99fb91c17d394660555d4f1afd7730015c1cd0164bae2b7f7c6bf46d1d4f3,9210c0d29b95c5f8ce1c52374547d551c5dadffe17eb78a3ac3dd230c8193b2b
"1001101","2","40","0","0","22002","0","8","0","90006","0","40","0","1","91002","2"
"1001102","2","60","0","0","22002","0","8","0","90006","0","50","0","2","91002","2"
"1001103","2","80","0","0","22002","0","8","0","90006","0","60","0","3","91002","2"
"1001104","2","100","0","0","22002","0","8","0","90006","0","80","0","4","91002","2"
"1001105","2","200","0","0","22003","0","8","0","90006","0","150","0","2","91002","2"
"1001106","0","20","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1001107","0","20","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1001108","0","20","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1001109","0","20","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1001110","0","20","0","0","0","0","2","0","22003","0","1","0","0","90006","2"
"1002101","2","40","0","0","22002","0","8","0","90006","0","40","0","1","91002","2"
"1002102","2","60","0","0","22002","0","8","0","90006","0","50","0","2","91002","2"
"1002103","2","80","0","0","22002","0","8","0","90006","0","60","0","3","91002","2"
"1002104","2","100","0","0","22002","0","8","0","90006","0","80","0","4","91002","2"
"1002105","2","200","0","0","22003","0","8","0","90006","0","150","0","2","91002","2"
"1002106","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1002107","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1002108","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1002109","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1002110","0","40","0","0","0","0","2","0","22003","0","1","0","0","90006","2"
"1003101","2","40","0","0","22002","0","8","0","90006","0","40","0","1","91002","2"
"1003102","2","60","0","0","22002","0","8","0","90006","0","50","0","2","91002","2"
"1003103","2","80","0","0","22002","0","8","0","90006","0","60","0","3","91002","2"
"1003104","2","100","0","0","22002","0","8","0","90006","0","80","0","4","91002","2"
"1003105","2","200","0","0","22003","0","8","0","90006","0","150","0","2","91002","2"
"1003106","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1003107","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1003108","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1003109","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1003110","0","40","0","0","0","0","2","0","22003","0","1","0","0","90006","2"
"1004101","2","40","0","0","22002","0","8","0","90006","0","40","0","1","91002","2"
"1004102","2","60","0","0","22002","0","8","0","90006","0","50","0","2","91002","2"
"1004103","2","80","0","0","22002","0","8","0","90006","0","60","0","3","91002","2"
"1004104","2","100","0","0","22002","0","8","0","90006","0","80","0","4","91002","2"
"1004105","2","200","0","0","22003","0","8","0","90006","0","150","0","2","91002","2"
"1004106","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1004107","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1004108","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1004109","0","40","0","0","0","0","2","0","22002","0","1","0","0","90006","2"
"1004110","0","40","0","0","0","0","2","0","22003","0","1","0","0","90006","2"
