e80c25152deffdf5929eef3022954443e07a139a0e36f7824a24c04c33d8b421,ef85177c57ea36fb88cbb872b04855c683ec6d669d1621adc1237468d0b8c7ba,ae0d29f3673cb8ac1932eb8a1d4fd5acfceab6af78a0e5f7028d0099cfdf6d7f,cf3fa4f4dbe5a994f9359f920c5289ab3ab51689dac99a1687dc29ee91ac2a9c,9d25e34cc5cb7085d52f70bce25b643f646f6413515be3badd79be8d609b4fec,8a6e2c2704255ec2838586f7fd66089682fac272e14c5ef4d15ac24cd3848002,5586718e6832fc754ddb0dc3ca4e01b5f810d31f2fc81836c485e98bb6684a3d,53a276c41b54cc59fe2b17d9ea9ca84b8e9fd84f5dd4000173a75d308cb10ca2,d388e27f190351f4466f5553baf3ce665832d98b8b780c57860eabd5005cb9d8,a508fd1e38483328a5ca3b7959afd708f8e8f1f76579ef64d7547844511ae34b,9fd093b00c8332bc87388670f277ce1b4baf6f697d8fe76b185e3bba174d80dd,063ecacfad8262c6b0fb959042d5d6f617f04b95179efad36be9e3815ddfa47f,37aa4df397adcf490c1b598f2dacaed77f71e0d6bfa7ec937cc706aab63ab4ab,263643b50ba17b2604226bf0d14e9309008606ab81062b5e7a386a0f6963d20e,4bc7e7afc41881e6cca35f9598b889c60582202343ff0e30587adae0cb3a67e4,4358c7647a249401410f88db8bc73fa09beca4f096d86a0b603fa731f2d5d889,7aca42c73fff7780e84991adcd06cc0515c7894368b6ff779dfc4f086cfe3aab
"4","2","2","0","50","5","0","0","0","25202","25204","50","150001","0","0","6","1"
"4","2","2","0","50","20","100","0","25011","25202","25204","40","150001","0","2","9","1"
"4","2","2","0","50","25","0","0","0","25202","25204","30","150002","0","0","12","1"
"2","2","2","500","20","30","50","25011","150002","25202","25204","20","25206","2","4","15","1"
"4","2","2","0","50","5","0","0","0","25202","25204","50","150001","0","0","6","2"
"4","2","2","0","50","20","100","0","25012","25202","25204","40","150001","0","2","9","2"
"4","2","2","0","50","25","0","0","0","25202","25204","30","150002","0","0","12","2"
"2","2","2","500","20","30","50","25012","150002","25202","25204","20","25206","2","4","15","2"
"4","2","2","0","50","5","0","0","0","25202","25204","50","150001","0","0","6","3"
"4","2","2","0","50","20","100","0","25013","25202","25204","40","150001","0","2","9","3"
"4","2","2","0","50","25","0","0","0","25202","25204","30","150002","0","0","12","3"
"2","2","2","500","20","30","50","25013","150002","25202","25204","20","25206","2","4","15","3"
"4","2","2","0","50","5","0","0","0","25202","25204","50","150001","0","0","6","4"
"4","2","2","0","50","20","100","0","25014","25202","25204","40","150001","0","2","9","4"
"4","2","2","0","50","25","0","0","0","25202","25204","30","150002","0","0","12","4"
"2","2","2","500","20","30","50","25014","150002","25202","25204","20","25206","2","4","15","4"
"4","2","2","0","50","5","0","0","0","25202","25204","50","150001","0","0","6","5"
"4","2","2","0","50","20","100","0","25015","25202","25204","40","150001","0","2","9","5"
"4","2","2","0","50","25","0","0","0","25202","25204","30","150002","0","0","12","5"
"2","2","2","500","20","30","50","25015","150002","25202","25204","20","25206","2","4","15","5"
