4ef1b3a0b92bd294e2dfedc0fd7888e833f331758c98e2f8614ca0f3ca5d72d2,a27b644709c05047c43e6483bc97f0daa982ee6c104f3413073b6a68d36f5dff,eed499aecf8084d21493d2428457a6f912188d062a7866f0f16c4e5195c21e62,c37f73cf054229fb7d2ec4328b434d5c3560bf7b3b88868a0e491f0a016853b6,cd4b191ba1fdf934db01b68f3d157c04ac040a12dabd81abc67346293aadb872,ec3ce700cca1b151ee669ff0bed30f852a9836ea0332d0c12be7dce70cd995d3,21040413017a3e6c151e30cc1e27b4659e39f16c9e26569cfafc18ba75f043f7,20f81933ff407c26003869bcf9453c687a525ef5f35e3a4821e1bf1293cf6475,5ec91dd1043f54075d789810e096519f629decae883f32877bc84a42b42d5c23,19da2dcf5ac2ca1caba1cc785455c82d67f7d986bb82733964ce2b1404fcaf16,a995040453a08e855b53bcdfae43d7f48e0bfae637f6ef4bbbf7a112fd8cdf98,ffbb0a9077d9f5880e8f9ce0900bd5b760164d073f5e60f6f4c2488f303a9477,ce1988e6438ea33ab4d9215dc132728a4b54ff9d7ce2550ef51b9fdf5bff08a7,1b153965b393aff9ff145a6d667d931badafb287b1535e0f44de44224466444c,425125f7c623ec5b9ffed08d3171afa5b1aa1ed154205ad4a7e2379875321d19,b25a6beeb13515ef3d371a091f2c477b0d537dfc7e9d082ecb7606dedbe95f9a,8216e4e60547afdbae4963e33bcc62e521a065b7bfb6c0577005a87877ae1963,9ec0720896ca740dcc5c86e87d1485e2f0718da0fa9c6a30b6c20b9159c35606,4397fc4d064cdfb4a1a4aa8b2e4c9d03cdf93eaac861f0350b5da5ab232e2a38,ab8a46f0729da0a264429474be3162c0461d8bf0b6841f5dc5456c9200db30f8,dab1d6e64ec4422ffc464d9dfb9d9783266222478772259cd1b57c5f83abcfdc
"30","0","1","-1","1","30","0","0","0","1","0","敵単体に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","2.4","100100101","1","0"
"50","0","3","-1","3","0","0","0","0","99","0","","1","","1","0","3","500","100100102","1","0"
"13.5","0","1","600","1","13.5","0","0","0","99","0","範囲内の敵に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","1.08","100100103","1","0"
"20","0","1","-1","1","20","0","0","0","1","0","敵単体に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","1.6","100100201","1","0"
"1","0","10","0","10","30","0","0","1","1","0","自分の物理攻撃力を{0}アップ","2","物理攻撃力アップ+{0}","1","180","7","30","100100301","1","1"
"22.5","0","1","-1","1","22.5","0","0","0","1","0","敵単体に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","1.8","100100302","1","0"
"1","0","701","2160","28","2","100100304","0","0","99","0","","1","","3","0","3","0","100100303","1","0"
"22.5","0","1","600","1","22.5","0","0","0","99","0","敵の数が２キャラ以上の場合、範囲内の敵に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","1.8","100100304","1","0"
"75","0","1","-1","1","75","0","0","0","1","0","敵単体に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","6","100101101","1","0"
"45","0","1","600","1","45","0","0","0","99","0","範囲内の敵に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","3.6","100101102","1","0"
"30","0","1","-1","1","30","0","0","0","1","0","敵単体に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","2.4","100101201","1","0"
"9","0","1","600","1","9","0","0","0","99","0","範囲内の敵に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","0.72","100101202","1","0"
"45","0","1","-1","1","45","0","0","0","1","0","敵単体に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","3.6","100102201","1","0"
"30","0","1","600","1","30","0","0","0","99","0","範囲内の敵に{0}の物理ダメージ","1","物理ダメージ+{0}","1","0","3","2.4","100102202","1","0"
"1","0","701","2160","28","2","100102204","0","0","99","0","攻撃する度にダメージ1500増加","1","","3","0","3","0","100102203","1","0"
"3","0","2","-1","8","0","0","0","0","1","0","敵の数が２キャラ以上の場合、以下の効果が発動する","2","","3","0","7","18","100102204","1","0"
