64681a8f83aa32a6e05e28da34da95bc283952ae04f6982a89e3582bd99417cb,ab531d6cd7225fbf179fa6d7abcd5d7593f4cd01fcdc64480ac85116a354b1fe,c2285b4b06229ddc2858b496b884e1bfe04dc082fb913c37b13b8644c4f25fcc,fb19b6dda9f45e950b078bc3fa7a5b060e15b6c873de89c4e11ad272531d3589,c47aad3e40573108ce805bedb51d1469fd7f2ae56349eecab23684e858807e3a,ba43c312f404f8a6382550507f61746acf0affdc0b97ee641539cea65d22addf,d6cb954e632c41343c2711bd868d1f91eca7bea75552ca9bb1717d050acedb93,fe6c308b7f2b1b35ea2442424a1686279dfa6d9fce38c176d3398788e44119f8
"100","1","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","平凡な\n未鑑定トレジャー","53001","1","平凡な未鑑定トレジャー"
"200","2","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","貴重な\n未鑑定トレジャー","53002","1","貴重な未鑑定トレジャー"
"400","3","800","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","至高の\n未鑑定トレジャー","53003","1","至高の未鑑定トレジャー"
"100","1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なジェムストーン","53004","0","平凡なジェムストーン"
"200","2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なジェムストーン","53005","0","貴重なジェムストーン"
"400","3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のジェムストーン","53006","0","至高のジェムストーン"
"100","1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なインゴット","53007","0","平凡なインゴット"
"200","2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なインゴット","53008","0","貴重なインゴット"
"400","3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のインゴット","53009","0","至高のインゴット"
"100","1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なスクロール","53010","0","平凡なスクロール"
"200","2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なスクロール","53011","0","貴重なスクロール"
"400","3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のスクロール","53012","0","至高のスクロール"
"100","1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なティアラ","53013","0","平凡なティアラ"
"200","2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なティアラ","53014","0","貴重なティアラ"
"400","3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のティアラ","53015","0","至高のティアラ"
"100","1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なルーン","53016","0","平凡なルーン"
"200","2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なルーン","53017","0","貴重なルーン"
"400","3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のルーン","53018","0","至高のルーン"
"100","1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なクラウン","53019","0","平凡なクラウン"
"200","2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なクラウン","53020","0","貴重なクラウン"
"400","3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のクラウン","53021","0","至高のクラウン"
"100","1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なアーティファクト","53022","0","平凡なアーティファクト"
"200","2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なアーティファクト","53023","0","貴重なアーティファクト"
"400","3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のアーティファクト","53024","0","至高のアーティファクト"
