82de8bf1dc18c4d725fc6ce4a4e667cb9d2e6f0fff21fceb8ef9b92828899953,62713a574e266b5c5043e6bb200ce1928bf6300c0a6855925d79af2513f5bb75,b5b99c602492c28b7271a7f79b275e921fa6c5a38865ccae9523be800fe49870,2168997a64d935d69b9cf4e2803d63e184d4e6723b2884774b883d894a88ced3,a30cd06bb327c652ef6471ffbd2800c6c39de3660d47d72e88b4b246aa6e09ab
"damage_limit","1","10101","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"def_lower_limit","1","10102","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。"
"damage_limit","2","10201","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"def_lower_limit","2","10202","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。"
"damage_cut","2","10203","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。"
"damage_up","2","10204","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。"
"def_up","2","10205","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。"
"damage_limit","3","10301","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"def_lower_limit","3","10302","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。"
"damage_cut","3","10303","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。"
"damage_up","3","10304","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。"
"def_up","3","10305","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。"
"critical_down","3","10306","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。"
"damage_limit","4","10401","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"def_lower_limit","4","10402","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。"
"damage_cut","4","10403","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。"
"damage_up","4","10404","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。"
"def_up","4","10405","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。"
"critical_down","4","10406","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。"
"life_steal_down","4","10407","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。"
"add_monster","5","10501","強敵出現","EXTREMEバトル時に一定確率で強敵が出現する。"
"damage_limit","5","10502","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"def_lower_limit","5","10503","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。"
"damage_cut","5","10504","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。"
"damage_up","5","10505","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。"
"def_up","5","10506","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。"
"critical_down","5","10507","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。"
"life_steal_down","5","10508","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。"
"tp_down_cut","5","10509","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。"
"hp_recovery_down","5","10510","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。"
