dc11bd7adac131711fb42871e4ff9f93898ef7b5a9d5f021e9097b85fac43541,562307298484a63eeb9e5303f9eda0a4a9a49e5b1132239f5690ae5fd8514ada,a1307b836eea051db42791d3af37c278d64f36ee66724192a7ccaad4faaa3b58,f65eea78be326f3a64de6de11dc7a7207c0f94fa77842d07f17e902a6b13e464,a90898d462e7d73b418f28444c5047956939abb82a0d43d10974a4ea18b8e9b0,8e8b9f3cb77c0dea8fdd76c2bb8cda90c7b1075ea262f506a77f33a0d68dc838
"1000000","100","100","100","100","100"
"2000000","150","100","100","100","100"
"2000001","100","150","100","100","100"
"2000002","100","100","150","100","100"
"2000003","100","100","100","150","100"
"2000004","100","100","100","100","150"
"2000010","250","100","100","100","100"
"2000011","100","250","100","100","100"
"2000012","100","100","250","100","100"
"2000013","100","100","100","250","100"
"2000014","100","100","100","100","250"
"3000000","150","150","100","100","100"
"3000001","150","100","150","100","100"
"3000002","150","100","100","150","100"
"3000003","150","100","100","100","150"
"3000004","100","150","150","100","100"
"3000005","100","150","100","150","100"
"3000006","100","150","100","100","150"
"3000007","100","100","150","150","100"
"3000008","100","100","150","100","150"
"3000009","100","100","100","150","150"
"3000010","250","250","100","100","100"
"3000011","250","100","250","100","100"
"3000012","250","100","100","250","100"
"3000013","250","100","100","100","250"
"3000014","100","250","250","100","100"
"3000015","100","250","100","250","100"
"3000016","100","250","100","100","250"
"3000017","100","100","250","250","100"
"3000018","100","100","250","100","250"
"3000019","100","100","100","250","250"
"4000000","150","150","150","100","100"
"4000001","150","150","100","150","100"
"4000002","150","150","100","100","150"
"4000003","150","100","150","150","100"
"4000004","150","100","150","100","150"
"4000005","150","100","100","150","150"
"4000006","100","150","150","150","100"
"4000007","100","150","150","100","150"
"4000008","100","150","100","150","150"
"4000009","100","100","150","150","150"
"4000010","250","250","250","100","100"
"4000011","250","250","100","250","100"
"4000012","250","250","100","100","250"
"4000013","250","100","250","250","100"
"4000014","250","100","250","100","250"
"4000015","250","100","100","250","250"
"4000016","100","250","250","250","100"
"4000017","100","250","250","100","250"
"4000018","100","250","100","250","250"
"4000019","100","100","250","250","250"
"5000000","150","150","150","150","100"
"5000001","150","150","150","100","150"
"5000002","150","150","100","150","150"
"5000003","150","100","150","150","150"
"5000004","100","150","150","150","150"
"5000010","250","250","250","250","100"
"5000011","250","250","250","100","250"
"5000012","250","250","100","250","250"
"5000013","250","100","250","250","250"
"5000014","100","250","250","250","250"
