ab3770c491b5ede34fcec9c36ec3c92e19c2c45c01931943a3d2a9f12e124a20,dd1313cc1ffea9b6c877970cd3a4692ebfa329320a92c6744ad3b24b5cdd262b,9430e775200db2433f84b169127d9263dc410d1a62549b0374465a13a0c025ae,a0db98bdecc9533a9039615483ae7d0781dff9ea951ab788bcbf52ddf657331f,97b5d66317d476b50d65caf0892ae3851bfe339bf2d2995e511a4c91e4f770e5,4623a3c3983b5280a385708777a7cb280fce2e5621e3b1a47daa42922dd9238d,db6f33fdd2b50a54d9abdcd5b67f4bf28c907a85a74f40266bb0a5824b688fc9
"100","150","50","1004","1","200","250"
"160","240","80","1004","2","320","400"
"100","150","50","1004","3","200","250"
"100","150","50","1004","5","200","250"
"160","240","80","1004","6","320","400"
"1","1","1","1004","12","2","3"
"100","150","50","1005","1","200","250"
"100","150","50","1005","3","200","250"
"160","240","80","1005","4","320","400"
"100","150","50","1005","5","200","250"
"160","240","80","1005","7","320","400"
"1","1","1","1005","13","2","3"
"50","75","25","1010","1","100","125"
"80","120","40","1010","2","160","200"
"50","75","25","1010","3","100","125"
"50","75","25","1010","5","100","125"
"80","120","40","1010","6","160","200"
"50","75","25","1011","1","100","125"
"50","75","25","1011","3","100","125"
"80","120","40","1011","4","160","200"
"50","75","25","1011","5","100","125"
"80","120","40","1011","7","160","200"
"200","300","100","1006","1","400","500"
"100","150","50","1006","2","200","250"
"200","300","100","1006","3","400","500"
"200","300","100","1006","5","400","500"
"100","150","50","1006","6","200","250"
"1","1","1","1006","12","2","3"
"200","300","100","1007","1","400","500"
"200","300","100","1007","3","400","500"
"100","150","50","1007","4","200","250"
"200","300","100","1007","5","400","500"
"100","150","50","1007","7","200","250"
"1","1","1","1007","13","2","3"
"100","150","50","1012","1","200","250"
"160","240","80","1012","2","320","400"
"100","150","50","1012","3","200","250"
"100","150","50","1012","5","200","250"
"160","240","80","1012","6","320","400"
"2","3","1","1012","12","4","5"
