3531bd57b766dbec97efca4e246cb35ea320d933d8b74b700a77b23e53ed156b,497f14919df43957514929bcf064a223e47a4854bbedcd6936d6c36c8a0638a2,3dba7375ce3027e6fa311a44da856d80df8c1422682d4c8e4b79498aad575ea1,53829b7de4be603cfbbe4f74222bf040f0b4eb65fc61ad97e563254752cfd911,b862bc7f44b952b567c6352f1a93dbafee75d36facad3694006309c5714b9094,88cd21052608dd542df6e655e2ab30c78652349615d885ad78e8044f6d950497,b80f23b4647911a6483dfcb076d33070aedfa657e6f583b762433e32a094a4da,32495fd1bccd3e621c728a2655780f404c101df008cbdb51469eac10751324ac
"200","5","2","104","3","1","4","111"
"2","5","2","14","3","1","4","211"
"2","5","2","103","3","1","4","311"
"2","5","2","102","3","1","4","411"
"200","5","2","104","3","1","4","511"
"250","5","2","1","3","1","4","611"
"3","5","2","101","3","1","4","711"
"3","5","2","100","3","1","4","811"
"200","5","2","104","3","1","4","911"
"250","5","2","1","3","1","4","1011"
"250","5","2","3","3","1","4","1111"
"250","5","2","5","3","1","4","1112"
"150","5","2","6","3","1","4","1211"
"150","5","2","7","3","1","4","1212"
"200","5","2","104","3","1","4","1311"
"2","5","2","103","3","1","4","1411"
"2","5","2","102","3","1","4","1511"
"250","5","2","1","3","1","4","1611"
"200","5","2","104","3","1","4","1711"
"500","5","2","2","3","1","4","1811"
"500","5","2","4","3","1","4","1812"
"3","5","2","101","3","1","4","1911"
"3","5","2","100","3","1","4","2011"
"200","5","2","104","3","1","4","2111"
"250","5","2","1","3","1","4","2211"
"3","5","2","100","3","1","4","2311"
"3","5","2","101","3","1","4","2411"
"200","5","2","104","3","1","4","2511"
"500","5","2","2","3","1","4","2611"
"500","5","2","4","3","1","4","2612"
"150","5","2","6","3","1","4","2711"
"150","5","2","7","3","1","4","2712"
"500","5","2","2","3","1","4","2811"
"500","5","2","4","3","1","4","2812"
"200","5","2","104","3","1","4","2911"
"250","5","2","3","3","1","4","3011"
"250","5","2","5","3","1","4","3012"
"3","5","2","100","3","1","4","3111"
"3","5","2","101","3","1","4","3211"
"200","5","2","104","3","1","4","3311"
"2","5","2","100","3","1","4","3411"
"200","5","2","104","3","1","4","3511"
"1","5","2","103","3","1","4","3611"
"1","5","2","102","3","1","4","3711"
"250","5","2","2","3","1","4","3811"
"250","5","2","4","3","1","4","3812"
"1","5","2","102","3","1","4","3911"
"200","5","2","104","3","1","4","4011"
"2","5","2","100","3","1","4","4111"
"150","5","2","6","3","1","4","4211"
"150","5","2","7","3","1","4","4212"
"200","5","2","104","3","1","4","4311"
"1","5","2","103","3","1","4","4411"
"200","5","2","104","3","1","4","4511"
"2","5","2","101","3","1","4","4611"
"1","5","2","102","3","1","4","4711"
"200","5","2","104","3","1","4","4811"
"1","5","2","103","3","1","4","4911"
"200","5","2","104","3","1","4","5011"
"2","5","2","101","3","1","4","5111"
"1","5","2","102","3","1","4","5211"
"200","5","2","104","3","1","4","5311"
"150","5","2","6","3","1","4","5411"
"150","5","2","7","3","1","4","5412"
"1","5","2","103","3","1","4","5511"
"200","5","2","104","3","1","4","5611"
"2","5","2","100","3","1","4","5711"
"2","5","2","101","3","1","4","5811"
"1","5","2","103","3","1","4","5911"
"200","5","2","104","3","1","4","6011"
"1","5","2","102","3","1","4","6111"
"250","5","2","2","3","1","4","6211"
"250","5","2","4","3","1","4","6212"
"200","5","2","104","3","1","4","6311"
"1","5","2","103","3","1","4","6411"
"1","5","2","102","3","1","4","6511"
"200","5","2","104","3","1","4","6611"
