e89bfc787658424f7704f41cfa43aad0d64899e5ca5acd59f3c6b5395098af42,b9bc1f15e2c5eed10b43e7bacdec1ad8f04a0d1cb55d76bdf10265cc23686b56,df953a13459b3df7e33d6e784abdbd1853dad0d874908716c76ce3937372f5de,14e402a8e13f7e2d81e2168e9cda50c0067d66d76d0a305431d81f418a7a4324,bb2c4f9a710fb2887036bb82c026f6341c9d7d81e25902bbdace2b0f9eb5c24e,afce87fb83c75eadf272dcbdcda5b8d39a7430f77917865cf6f7fd442ffc0199,41a8ae52b725a155e9b7b7b004b9c571e5afc15def5e7cc756ef8909ec0a4a37,30268516e2a147a8055a471e53bbbf98dd1f9ae1251251c62d817cfe956b8ec8
"1","0","2019/02/28 11:59:59","0","27","3","2019/02/15 23:00:00","106101"
"2","0","2019/03/19 14:59:59","0","28","3","2019/02/28 12:00:00","101401"
"3","0","2019/03/26 14:59:59","0","29","1","2019/03/19 15:00:00","105501"
"4","0","2019/03/26 14:59:59","0","29","3","2019/03/19 15:00:00","106301"
"5","0","2019/03/26 14:59:59","0","29","2","2019/03/19 15:00:00","101501"
"6","0","2019/03/31 11:59:59","0","30","3","2019/03/26 15:00:00","103601"
"7","0","2019/03/31 11:59:59","0","30","3","2019/03/26 15:00:00","104901"
"8","0","2019/03/31 11:59:59","0","30","3","2019/03/26 15:00:00","104401"
"9","0","2019/03/31 11:59:59","0","30","2","2019/03/26 15:00:00","100701"
"10","0","2019/03/31 11:59:59","0","30","2","2019/03/26 15:00:00","104601"
"11","0","2019/03/31 11:59:59","0","30","2","2019/03/26 15:00:00","102701"
"12","0","2019/03/31 11:59:59","0","30","1","2019/03/26 15:00:00","100301"
"13","0","2019/03/31 11:59:59","0","30","1","2019/03/26 15:00:00","103401"
"14","0","2019/03/31 11:59:59","0","30","1","2019/03/26 15:00:00","100101"
"15","0","2019/04/19 14:59:59","0","31","3","2019/03/31 12:00:00","109201"
"16","0","2019/04/30 11:59:59","0","32","3","2019/04/19 15:00:00","109401"
"17","0","2019/05/07 14:59:59","0","33","3","2019/04/30 12:00:00","109501"
"18","0","2019/05/07 14:59:59","0","33","3","2019/04/30 12:00:00","107101"
"19","0","2019/05/14 14:59:59","0","34","3","2019/05/07 15:00:00","109501"
"20","0","2019/05/17 14:59:59","0","35","3","2019/05/14 15:00:00","103601"
"21","0","2019/05/17 14:59:59","0","35","2","2019/05/14 15:00:00","102001"
"22","0","2019/05/17 14:59:59","0","35","1","2019/05/14 15:00:00","100401"
"23","0","2019/05/31 11:59:59","0","36","3","2019/05/17 15:00:00","109601"
"24","0","2019/06/15 11:59:59","0","37","3","2019/05/31 12:00:00","109701"
"25","0","2019/06/18 14:59:59","0","38","3","2019/06/15 12:00:00","104401"
"26","0","2019/06/18 14:59:59","0","38","3","2019/06/15 12:00:00","101001"
"27","0","2019/06/18 14:59:59","0","38","2","2019/06/15 12:00:00","101701"
"28","0","2019/06/30 11:59:59","0","39","3","2019/06/18 15:00:00","109901"
"29","0","2019/07/13 11:59:59","0","40","3","2019/06/30 12:00:00","110001"
"30","0","2019/07/18 14:59:59","0","41","3","2019/07/13 12:00:00","107501"
"31","0","2019/07/18 14:59:59","0","41","3","2019/07/13 12:00:00","107801"
"32","0","2019/07/31 11:59:59","0","42","3","2019/07/18 15:00:00","110301"
"33","0","2019/08/10 11:59:59","0","43","3","2019/07/31 12:00:00","110401"
"34","0","2019/08/15 14:59:59","0","44","3","2019/08/10 12:00:00","107701"
"35","0","2019/08/15 14:59:59","0","44","3","2019/08/10 12:00:00","107901"
"36","0","2019/08/26 11:59:59","0","45","3","2019/08/15 15:00:00","110601"
"37","0","2019/08/31 11:59:59","0","46","3","2019/08/26 12:00:00","104401"
"38","0","2019/08/31 11:59:59","0","46","2","2019/08/26 12:00:00","100601"
"39","0","2019/08/31 11:59:59","0","46","2","2019/08/26 12:00:00","100701"
"40","0","2019/08/31 11:59:59","0","46","2","2019/08/26 12:00:00","103101"
"41","0","2019/08/31 11:59:59","0","46","1","2019/08/26 12:00:00","102201"
"42","0","2019/09/03 20:59:59","0","47","3","2019/08/31 12:00:00","107001"
"43","0","2019/09/03 20:59:59","0","47","3","2019/08/31 12:00:00","106101"
"44","0","2019/09/03 20:59:59","0","47","3","2019/08/31 12:00:00","107101"
"45","0","2019/09/12 11:59:59","0","48","3","2019/09/03 21:00:00","110701"
