7c7108a75f8c3250d2822e4567e4f4239c15c063a67f861274333f10fdf712c6,5cd5e5a6b57c6ada944086c7ff204ae9c735543c5abed6daffe17f4ba9aacf76,0b2f631db07628058dddfbe5452792613b36f222cf6fd253f735b07d027b5876,de4cb3395b70d0ccc233534dc792893d8151a834e23a1bd24d7c50d3f42da0cc,192918a20525f9499471b5357ef776ac1a985d10b0854bbc1ea97926d4a82d89,582657ced54c0c073bb86308c221f330a3248748c30e59502a8b9ebc0c186d99,788e1d2e2c33e69ec8d0a8c4671030939bd8c1d550d4d32472f97904b6642eb4,12cb163ff7420882761197b7623bbed7308efc38f40053baed0630535c1d6d0e,ee9ef953a7c19cf5500d399ca5f65716ee569f57968e6b9ab0ed2c216d96ddce,2db1131a9de8b0fecfe0dc8b21eafa94162b640938ffa47e3454bbcf79ca1a75
"","1","ライラエル","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","126501","1001"
"","2","モニカ","2","10001","0","最大1000マイルを入手する","","105301","1002"
"","3","クローチェ","1","1","0","料理を{0}つ入手する","","126401","1003"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","マツリ","3","1","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","100501","1004"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ナナカ","2","2","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","101301","1005"
"","5","マコト","2","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","104301","1006"
"","5","エリコ","3","3","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","102701","1007"
"","6","アンナ","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","100901","1008"
"","1","ミツキ","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","105101","1009"
"","2","イオ","2","10001","0","最大1000マイルを入手する","","101801","1010"
"","8","ネフィ＝ネラ","2","0","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","129701","1011"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","スズナ","3","1","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","101601","1012"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ルカ","2","2","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","105601","1013"
"","5","ミミ","3","3","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","102001","1014"
"","6","アネモネ","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","129601","1015"
"","10","ミソギ","2","1","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","100401","1016"
